,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchEvaluateFeature,Grants permission to send a batched evaluate feature request,Write,Feature*,,
1,CreateExperiment,Grants permission to create an experiment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateFeature,Grants permission to create a feature,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateLaunch,Grants permission to create a launch,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateProject,Grants permission to create a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,iam:CreateServiceLinkedRole  iam:GetRole
5,CreateSegment,Grants permission to create a segment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteExperiment,Grants permission to delete an experiment,Write,Experiment*,,
7,DeleteFeature,Grants permission to delete a feature,Write,Feature*,,
8,DeleteLaunch,Grants permission to delete a launch,Write,Launch*,,
9,DeleteProject,Grants permission to delete a project,Write,Project*,,
10,DeleteSegment,Grants permission to delete a segment,Write,Segment*,,
11,EvaluateFeature,Grants permission to send an evaluate feature request,Write,Feature*,,
12,GetExperiment,Grants permission to get experiment details,Read,Experiment*,,
13,GetExperimentResults,Grants permission to get experiment result,Read,Experiment*,,
14,GetFeature,Grants permission to get feature details,Read,Feature*,,
15,GetLaunch,Grants permission to get launch details,Read,Launch*,,
16,GetProject,Grants permission to get project details,Read,Project*,,
17,GetSegment,Grants permission to get segment details,Read,Segment*,,
18,ListExperiments,Grants permission to list experiments,Read,,,
19,ListFeatures,Grants permission to list features,Read,,,
20,ListLaunches,Grants permission to list launches,Read,,,
21,ListProjects,Grants permission to list projects,Read,,,
22,ListSegmentReferences,Grants permission to list resources referencing a segment,Read,,,
23,ListSegments,Grants permission to list segments,Read,,,
24,ListTagsForResource,Grants permission to list tags for resources,Read,,,
25,PutProjectEvents,Grants permission to send performance events,Write,Project*,,
26,StartExperiment,Grants permission to start an experiment,Write,Experiment*,,
27,StartLaunch,Grants permission to start a launch,Write,Launch*,,
28,StopExperiment,Grants permission to stop an experiment,Write,Experiment*,,
29,StopLaunch,Grants permission to stop a launch,Write,Launch*,,
30,TagResource,Grants permission to tag resources,Tagging,Experiment,,
31,TagResource,Grants permission to tag resources,Tagging,Feature,,
32,TagResource,Grants permission to tag resources,Tagging,Launch,,
33,TagResource,Grants permission to tag resources,Tagging,Project,,
34,TagResource,Grants permission to tag resources,Tagging,Segment,,
35,TagResource,Grants permission to tag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
36,TestSegmentPattern,Grants permission to test a segment pattern,Read,,,
37,UntagResource,Grants permission to untag resources,Tagging,Experiment,,
38,UntagResource,Grants permission to untag resources,Tagging,Feature,,
39,UntagResource,Grants permission to untag resources,Tagging,Launch,,
40,UntagResource,Grants permission to untag resources,Tagging,Project,,
41,UntagResource,Grants permission to untag resources,Tagging,Segment,,
42,UntagResource,Grants permission to untag resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
43,UpdateExperiment,Grants permission to update experiment,Write,Experiment*,,
44,UpdateFeature,Grants permission to update feature,Write,Feature*,,
45,UpdateLaunch,Grants permission to update a launch,Write,Launch*,,
46,UpdateProject,Grants permission to update project,Write,Project*,,iam:CreateServiceLinkedRole  iam:GetRole
47,UpdateProjectDataDelivery,Grants permission to update project data delivery,Write,Project*,,
