,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateKmsKey,Grants permission to associate the specified AWS Key Management Service (AWS KMS) customer master key (CMK) with the specified log group,Write,log-group*,,
1,CancelExportTask,Grants permission to cancel an export task if it is in PENDING or RUNNING state,Write,,,
2,CreateExportTask,Grants permission to create an ExportTask which allows you to efficiently export data from a Log Group to your Amazon S3 bucket,Write,log-group*,,
3,CreateLogDelivery [permission only],Grants permission to create the log delivery,Write,,,
4,CreateLogGroup,Grants permission to create a new log group with the specified name,Write,log-group*,,
5,CreateLogGroup,Grants permission to create a new log group with the specified name,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateLogStream,Grants permission to create a new log stream with the specified name,Write,log-group*,,
7,DeleteDestination,Grants permission to delete the destination with the specified name,Write,destination*,,
8,DeleteLogDelivery [permission only],Grants permission to delete the log delivery information for specified log delivery,Write,,,
9,DeleteLogGroup,Grants permission to delete the log group with the specified name,Write,log-group*,,
10,DeleteLogStream,Grants permission to delete a log stream,Write,log-stream*,,
11,DeleteMetricFilter,Grants permission to delete a metric filter associated with the specified log group,Write,log-group*,,
12,DeleteQueryDefinition,Grants permission to delete a saved CloudWatch Logs Insights query definition,Write,,,
13,DeleteResourcePolicy,Grants permission to delete a resource policy from this account,Permissions management,,,
14,DeleteRetentionPolicy,Grants permission to delete the retention policy of the specified log group,Write,log-group*,,
15,DeleteSubscriptionFilter,Grants permission to delete a subscription filter associated with the specified log group,Write,log-group*,,
16,DescribeDestinations,Grants permission to return all the destinations that are associated with the AWS account making the request,List,,,
17,DescribeExportTasks,Grants permission to return all the export tasks that are associated with the AWS account making the request,List,,,
18,DescribeLogGroups,Grants permission to return all the log groups that are associated with the AWS account making the request,List,log-group*,,
19,DescribeLogStreams,Grants permission to return all the log streams that are associated with the specified log group,List,log-group*,,
20,DescribeMetricFilters,Grants permission to return all the metrics filters associated with the specified log group,List,log-group*,,
21,DescribeQueries,"Grants permission to return a list of CloudWatch Logs Insights queries that are scheduled, executing, or have been executed recently in this account",List,,,
22,DescribeQueryDefinitions,Grants permission to return a paginated list of your saved CloudWatch Logs Insights query definitions,List,,,
23,DescribeResourcePolicies,Grants permission to return all the resource policies in this account,List,,,
24,DescribeSubscriptionFilters,Grants permission to return all the subscription filters associated with the specified log group,List,log-group*,,
25,DisassociateKmsKey,Grants permission to disassociate the associated AWS Key Management Service (AWS KMS) customer master key (CMK) from the specified log group,Write,log-group*,,
26,FilterLogEvents,"Grants permission to retrieve log events, optionally filtered by a filter pattern from the specified log group",Read,log-group*,,
27,GetLogDelivery [permission only],Grants permission to get the log delivery information for specified log delivery,Read,,,
28,GetLogEvents,Grants permission to retrieve log events from the specified log stream,Read,log-stream*,,
29,GetLogGroupFields,"Grants permission to return a list of the fields that are included in log events in the specified log group, along with the percentage of log events that contain each field",Read,log-group*,,
30,GetLogRecord,Grants permission to retrieve all the fields and values of a single log event,Read,,,
31,GetQueryResults,Grants permission to return the results from the specified query,Read,,,
32,ListLogDeliveries [permission only],Grants permission to list all the log deliveries for specified account and/or log source,List,,,
33,ListTagsForResource,Grants permission to list the tags for the specified resource,List,destination,,
34,ListTagsForResource,Grants permission to list the tags for the specified resource,List,log-group,,
35,ListTagsLogGroup,Grants permission to list the tags for the specified log group,List,log-group*,,
36,PutDestination,Grants permission to create or update a Destination,Write,destination*,,iam:PassRole
37,PutDestination,Grants permission to create or update a Destination,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
38,PutDestinationPolicy,Grants permission to create or update an access policy associated with an existing Destination,Write,destination*,,
39,PutLogEvents,Grants permission to upload a batch of log events to the specified log stream,Write,log-stream*,,
40,PutMetricFilter,Grants permission to create or update a metric filter and associates it with the specified log group,Write,log-group*,,
41,PutQueryDefinition,Grants permission to create or update a query definition,Write,,,
42,PutResourcePolicy,Grants permission to create or update a resource policy allowing other AWS services to put log events to this account,Permissions management,,,
43,PutRetentionPolicy,Grants permission to set the retention of the specified log group,Write,log-group*,,
44,PutSubscriptionFilter,Grants permission to create or update a subscription filter and associates it with the specified log group,Write,log-group*,,iam:PassRole
45,PutSubscriptionFilter,Grants permission to create or update a subscription filter and associates it with the specified log group,Write,destination,,
46,StartQuery,Grants permission to schedule a query of a log group using CloudWatch Logs Insights,Read,log-group*,,
47,StopQuery,Grants permission to stop a CloudWatch Logs Insights query that is in progress,Read,,,
48,TagLogGroup,Grants permission to add or update the specified tags for the specified log group,Tagging,log-group*,,
49,TagLogGroup,Grants permission to add or update the specified tags for the specified log group,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
50,TagResource,Grants permission to add or update the specified tags for the specified resource,Tagging,destination,,
51,TagResource,Grants permission to add or update the specified tags for the specified resource,Tagging,log-group,,
52,TagResource,Grants permission to add or update the specified tags for the specified resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
53,TestMetricFilter,Grants permission to test the filter pattern of a metric filter against a sample of log event messages,Read,,,
54,UntagLogGroup,Grants permission to remove the specified tags from the specified log group,Tagging,log-group*,,
55,UntagLogGroup,Grants permission to remove the specified tags from the specified log group,Tagging,,aws:TagKeys,
56,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,destination,,
57,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,log-group,,
58,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,,aws:TagKeys,
59,UpdateLogDelivery [permission only],Grants permission to update the log delivery information for specified log delivery,Write,,,
