,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateResource,Grants permission to associate a resource with a group,Write,group*,,
1,AssociateResource,Grants permission to associate a resource with a group,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
2,CreateCanary,Grants permission to create a canary,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateGroup,Grants permission to create a group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteCanary,Grants permission to delete a canary. Amazon Synthetics deletes all the resources except for the Lambda function and the CloudWatch Alarms if you created one,Write,canary*,,
5,DeleteCanary,Grants permission to delete a canary. Amazon Synthetics deletes all the resources except for the Lambda function and the CloudWatch Alarms if you created one,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
6,DeleteGroup,Grants permission to delete a group,Write,group*,,
7,DeleteGroup,Grants permission to delete a group,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
8,DescribeCanaries,Grants permission to list information of all canaries,Read,,synthetics:Names,
9,DescribeCanariesLastRun,Grants permission to list information about the last test run associated with all canaries,Read,,synthetics:Names,
10,DescribeRuntimeVersions,Grants permission to list information about Synthetics canary runtime versions,Read,,,
11,DisassociateResource,Grants permission to disassociate a resource from a group,Write,group*,,
12,DisassociateResource,Grants permission to disassociate a resource from a group,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
13,GetCanary,Grants permission to view the details of a canary,Read,canary*,,
14,GetCanary,Grants permission to view the details of a canary,Read,,aws:ResourceTag/${TagKey}  aws:TagKeys,
15,GetCanaryRuns,Grants permission to list information about all the test runs associated with a canary,Read,canary*,,
16,GetCanaryRuns,Grants permission to list information about all the test runs associated with a canary,Read,,aws:ResourceTag/${TagKey}  aws:TagKeys,
17,GetGroup,Grants permission to view the details of a group,Read,group*,,
18,GetGroup,Grants permission to view the details of a group,Read,,aws:ResourceTag/${TagKey}  aws:TagKeys,
19,ListAssociatedGroups,Grants permission to list information about the associated groups of a canary,List,canary*,,
20,ListAssociatedGroups,Grants permission to list information about the associated groups of a canary,List,,aws:ResourceTag/${TagKey}  aws:TagKeys,
21,ListGroupResources,Grants permission to list information about canaries in a group,List,group*,,
22,ListGroupResources,Grants permission to list information about canaries in a group,List,,aws:ResourceTag/${TagKey}  aws:TagKeys,
23,ListGroups,Grants permission to list information of all groups,List,,,
24,ListTagsForResource,Grants permission to list all tags and values associated with a resource,Read,canary,,
25,ListTagsForResource,Grants permission to list all tags and values associated with a resource,Read,group,,
26,StartCanary,"Grants permission to start a canary, so that Amazon CloudWatch Synthetics starts monitoring a website",Write,canary*,,
27,StartCanary,"Grants permission to start a canary, so that Amazon CloudWatch Synthetics starts monitoring a website",Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
28,StopCanary,Grants permission to stop a canary,Write,canary*,,
29,StopCanary,Grants permission to stop a canary,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
30,TagResource,Grants permission to add one or more tags to a resource,Tagging,canary,,
31,TagResource,Grants permission to add one or more tags to a resource,Tagging,group,,
32,TagResource,Grants permission to add one or more tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
33,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,canary,,
34,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,group,,
35,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,,aws:ResourceTag/${TagKey}  aws:TagKeys,
36,UpdateCanary,Grants permission to update a canary,Write,canary*,,
37,UpdateCanary,Grants permission to update a canary,Write,,aws:ResourceTag/${TagKey}  aws:TagKeys,
