,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddNotificationChannels,Grants permission to add up to 2 topic ARNs of existing AWS SNS topics to publish notifications,Write,ProfilingGroup*,,
1,BatchGetFrameMetricData,Grants permission to get the frame metric data for a Profiling Group,List,ProfilingGroup*,,
2,ConfigureAgent,"Grants permission to register with the orchestration service and retrieve profiling configuration information, used by agents",Write,ProfilingGroup*,,
3,CreateProfilingGroup,Grants permission to create a profiling group,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
4,DeleteProfilingGroup,Grants permission to delete a profiling group,Write,ProfilingGroup*,,
5,DescribeProfilingGroup,Grants permission to describe a profiling group,Read,ProfilingGroup*,,
6,GetFindingsReportAccountSummary,Grants permission to get a summary of recent recommendations for each profiling group in the account,Read,,,
7,GetNotificationConfiguration,Grants permission to get the notification configuration,Read,ProfilingGroup*,,
8,GetPolicy,Grants permission to get the resource policy associated with the specified Profiling Group,Read,ProfilingGroup*,,
9,GetProfile,Grants permission to get aggregated profiles for a specific profiling group,Read,ProfilingGroup*,,
10,GetRecommendations,Grants permission to get recommendations,Read,ProfilingGroup*,,
11,ListFindingsReports,Grants permission to list the available recommendations reports for a specific profiling group,List,ProfilingGroup*,,
12,ListProfileTimes,Grants permission to list the start times of the available aggregated profiles for a specific profiling group,List,ProfilingGroup*,,
13,ListProfilingGroups,Grants permission to list profiling groups in the account,List,,,
14,ListTagsForResource,Grants permission to list tags for a Profiling Group,List,ProfilingGroup*,,
15,PostAgentProfile,Grants permission to submit a profile collected by an agent belonging to a specific profiling group for aggregation,Write,ProfilingGroup*,,
16,PutPermission,Grants permission to update the list of principals allowed for an action group in the resource policy associated with the specified Profiling Group,Permissions management,ProfilingGroup*,,
17,RemoveNotificationChannel,Grants permission to delete an already configured SNStopic arn from the notification configuration,Write,ProfilingGroup*,,
18,RemovePermission,Grants permission to remove the permission of specified Action Group from the resource policy associated with the specified Profiling Group,Permissions management,ProfilingGroup*,,
19,SubmitFeedback,Grants permission to submit user feedback for useful or non useful anomaly,Write,ProfilingGroup*,,
20,TagResource,Grants permission to add or overwrite tags to a Profiling Group,Tagging,ProfilingGroup*,,
21,TagResource,Grants permission to add or overwrite tags to a Profiling Group,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
22,UntagResource,Grants permission to remove tags from a Profiling Group,Tagging,ProfilingGroup*,,
23,UntagResource,Grants permission to remove tags from a Profiling Group,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
24,UpdateProfilingGroup,Grants permission to update a specific profiling group,Write,ProfilingGroup*,,
