,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,codecommit:GetRepository  codecommit:ListRepositories  codecommit:TagResource  codestar-connections:PassConnection  events:PutRule  events:PutTargets  iam:CreateServiceLinkedRole  s3:CreateBucket  s3:ListBucket  s3:PutBucketPolicy  s3:PutLifecycleConfiguration
1,CreateCodeReview,Grants permission to create a code review,Write,association*,,s3:GetObject
2,CreateCodeReview,Grants permission to create a code review,Write,,aws:ResourceTag/${TagKey},
3,CreateConnectionToken [permission only],Grants permission to perform webbased oauth handshake for 3rd party providers,Read,,,
4,DescribeCodeReview,Grants permission to describe a code review,Read,association*,,
5,DescribeCodeReview,Grants permission to describe a code review,Read,,aws:ResourceTag/${TagKey},
6,DescribeRecommendationFeedback,Grants permission to describe a recommendation feedback on a code review,Read,association*,,
7,DescribeRecommendationFeedback,Grants permission to describe a recommendation feedback on a code review,Read,,aws:ResourceTag/${TagKey},
8,DescribeRepositoryAssociation,Grants permission to describe a repository association,Read,association*,,
9,DescribeRepositoryAssociation,Grants permission to describe a repository association,Read,,aws:ResourceTag/${TagKey},
10,DisassociateRepository,Grants permission to disassociate a repository with Amazon CodeGuru Reviewer,Write,association*,,codecommit:UntagResource  events:DeleteRule  events:RemoveTargets
11,DisassociateRepository,Grants permission to disassociate a repository with Amazon CodeGuru Reviewer,Write,,aws:ResourceTag/${TagKey},
12,GetMetricsData [permission only],Grants permission to view pull request metrics in console,Read,,,
13,ListCodeReviews,Grants permission to list summary of code reviews,List,,,
14,ListRecommendationFeedback,Grants permission to list summary of recommendation feedback on a code review,List,association*,,
15,ListRecommendationFeedback,Grants permission to list summary of recommendation feedback on a code review,List,,aws:ResourceTag/${TagKey},
16,ListRecommendations,Grants permission to list summary of recommendations on a code review,List,association*,,
17,ListRecommendations,Grants permission to list summary of recommendations on a code review,List,,aws:ResourceTag/${TagKey},
18,ListRepositoryAssociations,Grants permission to list summary of repository associations,List,,,
19,ListTagsForResource,Grants permission to list the resource attached to a associated repository ARN,List,association*,,
20,ListTagsForResource,Grants permission to list the resource attached to a associated repository ARN,List,,aws:ResourceTag/${TagKey},
21,ListThirdPartyRepositories [permission only],Grants permission to list 3rd party providers repositories in console,Read,,,
22,PutRecommendationFeedback,Grants permission to put feedback for a recommendation on a code review,Write,association*,,
23,PutRecommendationFeedback,Grants permission to put feedback for a recommendation on a code review,Write,,aws:ResourceTag/${TagKey},
24,TagResource,Grants permission to attach resource tags to an associated repository ARN,Tagging,association*,,
25,TagResource,Grants permission to attach resource tags to an associated repository ARN,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,UnTagResource,Grants permission to disassociate resource tags from an associated repository ARN,Tagging,association*,,
27,UnTagResource,Grants permission to disassociate resource tags from an associated repository ARN,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
