,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BulkPublish,Grants permission to initiate a bulk publish of all existing datasets for an Identity Pool to the configured stream,Write,identitypool*,,
1,DeleteDataset,Grants permission to delete a specific dataset,Write,dataset*,,
2,DescribeDataset,Grants permission to get metadata about a dataset by identity and dataset name,Read,dataset*,,
3,DescribeIdentityPoolUsage,"Grants permission to get usage details (for example, data storage) about a particular identity pool",Read,identitypool*,,
4,DescribeIdentityUsage,"Grants permission to get usage information for an identity, including number of datasets and data usage",Read,identity*,,
5,GetBulkPublishDetails,Grants permission to get the status of the last BulkPublish operation for an identity pool,Read,identitypool*,,
6,GetCognitoEvents,Grants permission to get the events and the corresponding Lambda functions associated with an identity pool,Read,identitypool*,,
7,GetIdentityPoolConfiguration,Grants permission to get the configuration settings of an identity pool,Read,identitypool*,,
8,ListDatasets,Grants permission to list datasets for an identity,List,dataset*,,
9,ListIdentityPoolUsage,Grants permission to get a list of identity pools registered with Cognito,Read,identitypool*,,
10,ListRecords,"Grants permission to get paginated records, optionally changed after a particular sync count for a dataset and identity",Read,dataset*,,
11,QueryRecords [permission only],Grants permission to query records,Read,,,
12,RegisterDevice,Grants permission to register a device to receive push sync notifications,Write,identity*,,
13,SetCognitoEvents,Grants permission to set the AWS Lambda function for a given event type for an identity pool,Write,identitypool*,,
14,SetDatasetConfiguration [permission only],Grants permission to configure datasets,Write,dataset*,,
15,SetIdentityPoolConfiguration,Grants permission to set the necessary configuration for push sync,Write,identitypool*,,
16,SubscribeToDataset,Grants permission to subscribe to receive notifications when a dataset is modified by another device,Write,dataset*,,
17,UnsubscribeFromDataset,Grants permission to unsubscribe from receiving notifications when a dataset is modified by another device,Write,dataset*,,
18,UpdateRecords,Grants permission to post updates to records and add and delete records for a dataset and user,Write,dataset*,,
