,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddCustomAttributes,Grants permission to add user attributes to the user pool schema,Write,userpool*,,
1,AdminAddUserToGroup,Grants permission to add any user to any group,Write,userpool*,,
2,AdminConfirmSignUp,Grants permission to confirm any user's registration without a confirmation code,Write,userpool*,,
3,AdminCreateUser,Grants permission to create new users and send welcome messages via email or SMS,Write,userpool*,,
4,AdminDeleteUser,Grants permission to delete any user,Write,userpool*,,
5,AdminDeleteUserAttributes,Grants permission to delete attributes from any user,Write,userpool*,,
6,AdminDisableProviderForUser,Grants permission to unlink any user pool user from a third-party identity provider (IdP) user,Write,userpool*,,
7,AdminDisableUser,Grants permission to deactivate any user,Write,userpool*,,
8,AdminEnableUser,Grants permission to activate any user,Write,userpool*,,
9,AdminForgetDevice,Grants permission to deregister any user's devices,Write,userpool*,,
10,AdminGetDevice,Grants permission to get information about any user's devices,Read,userpool*,,
11,AdminGetUser,Grants permission to look up any user by user name,Read,userpool*,,
12,AdminInitiateAuth,Grants permission to authenticate any user,Write,userpool*,,
13,AdminLinkProviderForUser,Grants permission to link any user pool user to a third-party IdP user,Write,userpool*,,
14,AdminListDevices,Grants permission to list any user's remembered devices,List,userpool*,,
15,AdminListGroupsForUser,Grants permission to list the groups that any user belongs to,List,userpool*,,
16,AdminListUserAuthEvents,Grants permission to lists sign-in events for any user,Read,userpool*,,
17,AdminRemoveUserFromGroup,Grants permission to remove any user from any group,Write,userpool*,,
18,AdminResetUserPassword,Grants permission to reset any user's password,Write,userpool*,,
19,AdminRespondToAuthChallenge,Grants permission to respond to an authentication challenge during the authentication of any user,Write,userpool*,,
20,AdminSetUserMFAPreference,Grants permission to set any user's preferred MFA method,Write,userpool*,,
21,AdminSetUserPassword,Grants permission to set any user's password,Write,userpool*,,
22,AdminSetUserSettings,Grants permission to set user settings for any user,Write,userpool*,,
23,AdminUpdateAuthEventFeedback,Grants permission to update advanced security feedback for any user's authentication event,Write,userpool*,,
24,AdminUpdateDeviceStatus,Grants permission to update the status of any user's remembered devices,Write,userpool*,,
25,AdminUpdateUserAttributes,Grants permission to updates any user's standard or custom attributes,Write,userpool*,,
26,AdminUserGlobalSignOut,Grants permission to sign out any user from all sessions,Write,userpool*,,
27,AssociateSoftwareToken,Returns a unique generated shared secret key code for the user account,Write,,,
28,AssociateWebACL [permission only],Grants permission to associate the user pool with an AWS WAF web ACL,Write,userpool*,,
29,AssociateWebACL [permission only],Grants permission to associate the user pool with an AWS WAF web ACL,Write,webacl*,,
30,ChangePassword,Changes the password for a specified user in a user pool,Write,,,
31,ConfirmDevice,Confirms tracking of the device. This API call is the call that begins device tracking,Write,,,
32,ConfirmForgotPassword,Allows a user to enter a confirmation code to reset a forgotten password,Write,,,
33,ConfirmSignUp,Confirms registration of a user and handles the existing alias from a previous user,Write,,,
34,CreateGroup,Grants permission to create new user pool groups,Write,userpool*,,
35,CreateIdentityProvider,Grants permission to add identity providers to user pools,Write,userpool*,,
36,CreateResourceServer,Grants permission to create and configure scopes for OAuth 2.0 resource servers,Write,userpool*,,
37,CreateUserImportJob,Grants permission to create user CSV import jobs,Write,userpool*,,
38,CreateUserPool,Grants permission to create and set password policy for user pools,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  aws:ResourceTag/${TagKey},
39,CreateUserPoolClient,Grants permission to create user pool app clients,Write,userpool*,,
40,CreateUserPoolDomain,Grants permission to add user pool domains,Write,userpool*,,
41,DeleteGroup,Grants permission to delete any empty user pool group,Write,userpool*,,
42,DeleteIdentityProvider,Grants permission to delete any identity provider from user pools,Write,userpool*,,
43,DeleteResourceServer,Grants permission to delete any OAuth 2.0 resource server from user pools,Write,userpool*,,
44,DeleteUser,Allows a user to delete one's self,Write,,,
45,DeleteUserAttributes,Deletes the attributes for a user,Write,,,
46,DeleteUserPool,Grants permission to delete user pools,Write,userpool*,,
47,DeleteUserPoolClient,Grants permission to delete any user pool app client,Write,userpool*,,
48,DeleteUserPoolDomain,Grants permission to delete any user pool domain,Write,userpool*,,
49,DescribeIdentityProvider,Grants permission to describe any user pool identity provider,Read,userpool*,,
50,DescribeResourceServer,Grants permission to describe any OAuth 2.0 resource server,Read,userpool*,,
51,DescribeRiskConfiguration,Grants permission to describe the risk configuration settings of user pools and app clients,Read,userpool*,,
52,DescribeUserImportJob,Grants permission to describe any user import job,Read,userpool*,,
53,DescribeUserPool,Grants permission to describe user pools,Read,userpool*,,
54,DescribeUserPoolClient,Grants permission to describe any user pool app client,Read,userpool*,,
55,DescribeUserPoolDomain,Grants permission to describe any user pool domain,Read,,,
56,DisassociateWebACL [permission only],Grants permission to disassociate the user pool with an AWS WAF web ACL,Write,userpool*,,
57,ForgetDevice,Forgets the specified device,Write,,,
58,ForgotPassword,Calling this API causes a message to be sent to the end user with a confirmation code that is required to change the user's password,Write,,,
59,GetCSVHeader,Grants permission to generate headers for a user import .csv file,Read,userpool*,,
60,GetDevice,Gets the device,Read,,,
61,GetGroup,Grants permission to describe a user pool group,Read,userpool*,,
62,GetIdentityProviderByIdentifier,Grants permission to correlate a user pool IdP identifier to the IdP Name,Read,userpool*,,
63,GetSigningCertificate,Grants permission to look up signing certificates for user pools,Read,userpool*,,
64,GetUICustomization,Grants permission to get UI customization information for the hosted UI of any app client,Read,userpool*,,
65,GetUser,Gets the user attributes and metadata for a user,Read,,,
66,GetUserAttributeVerificationCode,Gets the user attribute verification code for the specified attribute name,Read,,,
67,GetUserPoolMfaConfig,Grants permission to look up the MFA configuration of user pools,Read,userpool*,,
68,GetWebACLForResource [permission only],Grants permission to get the AWS WAF web ACL that is associated with an Amazon Cognito user pool,Read,userpool*,,
69,GlobalSignOut,Signs out users from all devices,Write,,,
70,InitiateAuth,Initiates the authentication flow,Write,,,
71,ListDevices,Lists the devices,List,,,
72,ListGroups,Grants permission to list all groups in user pools,List,userpool*,,
73,ListIdentityProviders,Grants permission to list all identity providers in user pools,List,userpool*,,
74,ListResourceServers,Grants permission to list all resource servers in user pools,List,userpool*,,
75,ListResourcesForWebACL [permission only],Grants permission to list the user pools that are associated with an AWS WAF web ACL,List,webacl*,,
76,ListTagsForResource,Grants permission to list the tags that are assigned to an Amazon Cognito user pool,List,userpool,,
77,ListUserImportJobs,Grants permission to list all user import jobs,List,userpool*,,
78,ListUserPoolClients,Grants permission to list all app clients in user pools,List,userpool*,,
79,ListUserPools,Grants permission to list all user pools,List,,,
80,ListUsers,Grants permission to list all user pool users,List,userpool*,,
81,ListUsersInGroup,Grants permission to list the users in any group,List,userpool*,,
82,ResendConfirmationCode,Resends the confirmation (for confirmation of registration) to a specific user in the user pool,Write,,,
83,RespondToAuthChallenge,Responds to the authentication challenge,Write,,,
84,RevokeToken,Revokes all of the access tokens generated by the specified refresh token,Write,,,
85,SetRiskConfiguration,Grants permission to set risk configuration for user pools and app clients,Write,userpool*,,
86,SetUICustomization,Grants permission to customize the hosted UI for any app client,Write,userpool*,,
87,SetUserMFAPreference,Sets MFA preference for the user in the userpool,Write,,,
88,SetUserPoolMfaConfig,Grants permission to set user pool MFA configuration,Write,userpool*,,
89,SetUserSettings,Sets the user settings like multi-factor authentication (MFA),Write,,,
90,SignUp,"Registers the user in the specified user pool and creates a user name, password, and user attributes",Write,,,
91,StartUserImportJob,Grants permission to start any user import job,Write,userpool*,,
92,StopUserImportJob,Grants permission to stop any user import job,Write,userpool*,,
93,TagResource,Grants permission to tag a user pool,Tagging,userpool,,
94,TagResource,Grants permission to tag a user pool,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
95,UntagResource,Grants permission to untag a user pool,Tagging,userpool,,
96,UntagResource,Grants permission to untag a user pool,Tagging,,aws:TagKeys,
97,UpdateAuthEventFeedback,Updates the feedback for the user authentication event,Write,userpool*,,
98,UpdateDeviceStatus,Updates the device status,Write,,,
99,UpdateGroup,Grants permission to update the configuration of any group,Write,userpool*,,
100,UpdateIdentityProvider,Grants permission to update the configuration of any user pool IdP,Write,userpool*,,
101,UpdateResourceServer,Grants permission to update the configuration of any OAuth 2.0 resource server,Write,userpool*,,
102,UpdateUserAttributes,Allows a user to update a specific attribute (one at a time),Write,,,
103,UpdateUserPool,Grants permission to updates the configuration of user pools,Write,userpool*,,
104,UpdateUserPool,Grants permission to updates the configuration of user pools,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
105,UpdateUserPoolClient,Grants permission to update any user pool client,Write,userpool*,,
106,UpdateUserPoolDomain,Grants permission to replace the certificate for any custom domain,Write,userpool*,,
107,VerifySoftwareToken,Registers a user's entered TOTP code and mark the user's software token MFA status as verified if successful,Write,,,
108,VerifyUserAttribute,Verifies a user attribute using a one time verification code,Write,,,
