,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetField,Grants permission to retrieve information about the fields in the case domain,Read,Domain*,,
1,BatchGetField,Grants permission to retrieve information about the fields in the case domain,Read,Field*,,
2,BatchPutFieldOptions,Grants permission to update the field options in the case domain,Write,Domain*,,
3,BatchPutFieldOptions,Grants permission to update the field options in the case domain,Write,Field*,,
4,CreateCase,Grants permission to create a case in the case domain,Write,Domain*,,
5,CreateCase,Grants permission to create a case in the case domain,Write,Field*,,
6,CreateCase,Grants permission to create a case in the case domain,Write,Template*,,
7,CreateDomain,Grants permission to create a new case domain,Write,,,
8,CreateField,Grants permission to create a field in the case domain,Write,Domain*,,
9,CreateLayout,Grants permission to create a layout in the case domain,Write,Domain*,,
10,CreateRelatedItem,Grants permission to create a related item associated to a case in the case domain,Write,Case*,,
11,CreateRelatedItem,Grants permission to create a related item associated to a case in the case domain,Write,Domain*,,
12,CreateTemplate,Grants permission to create a template in the case domain,Write,Domain*,,
13,CreateTemplate,Grants permission to create a template in the case domain,Write,Layout*,,
14,GetCase,Grants permission to retrieve information about a case in the case domain,Read,Case*,,
15,GetCase,Grants permission to retrieve information about a case in the case domain,Read,Domain*,,
16,GetCase,Grants permission to retrieve information about a case in the case domain,Read,Field*,,
17,GetCaseEventConfiguration,Grants permission to retrieve information about the case event configuraton in the case domain,Read,Domain*,,
18,GetDomain,Grants permission to retrieve information about the case domain,Read,Domain*,,
19,GetLayout,Grants permission to retrieve information about the layout in the case domain,Read,Domain*,,
20,GetLayout,Grants permission to retrieve information about the layout in the case domain,Read,Layout*,,
21,GetTemplate,Grants permission to retrieve information about the template in the case domain,Read,Domain*,,
22,GetTemplate,Grants permission to retrieve information about the template in the case domain,Read,Template*,,
23,ListCasesForContact,Grants permission to list cases for a specific contact in the case domain,List,Domain*,,
24,ListFieldOptions,Grants permission to list field options for a single select field in the case domain,List,Domain*,,
25,ListFieldOptions,Grants permission to list field options for a single select field in the case domain,List,Field*,,
26,ListFields,Grants permission to list fields in the case domain,List,Domain*,,
27,ListTagsForResource,Grants permission to list the tags for the specified resource,Read,,,
28,ListTemplates,Grants permission to list templates in the case domain,List,Domain*,,
29,PutCaseEventConfiguration,Grants permission to insert or update the case event configuration in the case domain,Write,Domain*,,
30,SearchCases,Grants permission to search for cases in the case domain,Read,Domain*,,
31,SearchRelatedItems,Grants permission to search for related items associated to the case in the case domain,Read,Case*,,
32,SearchRelatedItems,Grants permission to search for related items associated to the case in the case domain,Read,Domain*,,
33,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,Case,,
34,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,Domain,,
35,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,Field,,
36,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,Layout,,
37,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,RelatedItem,,
38,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,Template,,
39,TagResource,Grants permission to add the specified tags to the specified resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
40,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,Case,,
41,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,Domain,,
42,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,Field,,
43,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,Layout,,
44,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,RelatedItem,,
45,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,Template,,
46,UntagResource,Grants permission to remove the specified tags from the specified resource,Tagging,,aws:TagKeys,
47,UpdateCase,Grants permission to update the field values on the case in the case domain,Write,Case*,,
48,UpdateCase,Grants permission to update the field values on the case in the case domain,Write,Domain*,,
49,UpdateCase,Grants permission to update the field values on the case in the case domain,Write,Field*,,
50,UpdateField,Grants permission to update the field in the case domain,Write,Domain*,,
51,UpdateField,Grants permission to update the field in the case domain,Write,Field*,,
52,UpdateLayout,Grants permission to update the layout in the case domain,Write,Domain*,,
53,UpdateLayout,Grants permission to update the layout in the case domain,Write,Layout*,,
54,UpdateTemplate,Grants permission to update the template in the case domain,Write,Domain*,,
55,UpdateTemplate,Grants permission to update the template in the case domain,Write,Template*,,
