,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddProfileKey,Grants permission to add a profile key,Write,domains*,,
1,CreateDomain,Grants permission to create a Domain,Write,domains*,,
2,CreateDomain,Grants permission to create a Domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateIntegrationWorkflow,Grants permission to create an integration workflow in a domain,Write,domains*,,
4,CreateIntegrationWorkflow,Grants permission to create an integration workflow in a domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateProfile,Grants permission to create a profile in the domain,Write,domains*,,
6,DeleteDomain,Grants permission to delete a Domain,Write,domains*,,
7,DeleteIntegration,Grants permission to delete a integration in a domain,Write,domains*,,
8,DeleteIntegration,Grants permission to delete a integration in a domain,Write,integrations*,,
9,DeleteProfile,Grants permission to delete a profile,Write,domains*,,
10,DeleteProfileKey,Grants permission to delete a profile key,Write,domains*,,
11,DeleteProfileObject,Grants permission to delete a profile object,Write,domains*,,
12,DeleteProfileObject,Grants permission to delete a profile object,Write,object-types*,,
13,DeleteProfileObjectType,Grants permission to delete a specific profile object type in the domain,Write,domains*,,
14,DeleteProfileObjectType,Grants permission to delete a specific profile object type in the domain,Write,object-types*,,
15,DeleteWorkflow,Grants permission to delete a workflow in a domain,Write,domains*,,
16,GetAutoMergingPreview,Grants permission to get a preview of auto merging in a domain,Read,domains*,,
17,GetDomain,Grants permission to get a specific domain in an account,Read,domains*,,
18,GetIdentityResolutionJob,Grants permission to get an identity resolution job in a domain,Read,domains*,,
19,GetIntegration,Grants permission to get a specific integrations in a domain,Read,domains*,,
20,GetIntegration,Grants permission to get a specific integrations in a domain,Read,integrations*,,
21,GetMatches,Grants permission to get profile matches in a domain,List,domains*,,
22,GetProfileObjectType,Grants permission to get a specific profile object type in the domain,Read,domains*,,
23,GetProfileObjectType,Grants permission to get a specific profile object type in the domain,Read,object-types*,,
24,GetProfileObjectTypeTemplate,Grants permission to get a specific object type template,Read,,,
25,GetWorkflow,Grants permission to get workflow details in a domain,Read,domains*,,
26,GetWorkflowSteps,Grants permission to get workflow step details in a domain,Read,domains*,,
27,ListAccountIntegrations,Grants permission to list all the integrations in the account,List,,,
28,ListDomains,Grants permission to list all the domains in an account,List,,,
29,ListIdentityResolutionJobs,Grants permission to list identity resolution jobs in a domain,List,domains*,,
30,ListIntegrations,Grants permission to list all the integrations in a specific domain,List,domains*,,
31,ListProfileObjectTypeTemplates,Grants permission to list all the profile object type templates in the account,List,,,
32,ListProfileObjectTypes,Grants permission to list all the profile object types in the domain,List,domains*,,
33,ListProfileObjects,Grants permission to list all the profile objects for a profile,List,domains*,,
34,ListProfileObjects,Grants permission to list all the profile objects for a profile,List,object-types*,,
35,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
36,ListWorkflows,Grants permission to list all the workflows in a specific domain,List,domains*,,
37,MergeProfiles,Grants permission to merge profiles in a domain,Write,domains*,,
38,PutIntegration,Grants permission to put a integration in a domain,Write,domains*,,
39,PutIntegration,Grants permission to put a integration in a domain,Write,integrations*,,
40,PutIntegration,Grants permission to put a integration in a domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
41,PutProfileObject,Grants permission to put an object for a profile,Write,domains*,,
42,PutProfileObject,Grants permission to put an object for a profile,Write,object-types*,,
43,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,domains*,,
44,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,object-types*,,
45,PutProfileObjectType,Grants permission to put a specific profile object type in the domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
46,SearchProfiles,Grants permission to search for profiles in a domain,Read,domains*,,
47,TagResource,Grants permission to adds tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
48,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
49,UpdateDomain,Grants permission to update a Domain,Write,domains*,,
50,UpdateProfile,Grants permission to update a profile in the domain,Write,domains*,,
