,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateLifecyclePolicy,Grants permission to create a data lifecycle policy to manage the scheduled creation and retention of Amazon EBS snapshots. You may have up to 100 policies,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteLifecyclePolicy,"Grants permission to delete an existing data lifecycle policy. In addition, this action halts the creation and deletion of snapshots that the policy specified. Existing snapshots are not affected",Write,policy*,,
2,GetLifecyclePolicies,Grants permission to returns a list of summary descriptions of data lifecycle policies,List,,,
3,GetLifecyclePolicy,Grants permission to return a complete description of a single data lifecycle policy,Read,policy*,,
4,ListTagsForResource,Grants permission to list the tags associated with a resource,Read,policy*,,
5,TagResource,Grants permission to add or update tags of a resource,Tagging,policy*,,
6,TagResource,Grants permission to add or update tags of a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,UntagResource,Grants permission to remove tags associated with a resource,Tagging,policy*,,
8,UntagResource,Grants permission to remove tags associated with a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,UpdateLifecyclePolicy,Grants permission to update an existing data lifecycle policy,Write,policy*,,
