,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AttachInstances,Grants permission to attach one or more EC2 instances to the specified Auto Scaling group,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
1,AttachLoadBalancerTargetGroups,Grants permission to attach one or more target groups to the specified Auto Scaling group,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
2,AttachLoadBalancerTargetGroups,Grants permission to attach one or more target groups to the specified Auto Scaling group,Write,,autoscaling:TargetGroupARNs,
3,AttachLoadBalancers,Grants permission to attach one or more load balancers to the specified Auto Scaling group,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
4,AttachLoadBalancers,Grants permission to attach one or more load balancers to the specified Auto Scaling group,Write,,autoscaling:LoadBalancerNames,
5,BatchDeleteScheduledAction,Grants permission to delete the specified scheduled actions,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
6,BatchPutScheduledUpdateGroupAction,Grants permission to create or update multiple scheduled scaling actions for an Auto Scaling group,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
7,CancelInstanceRefresh,Grants permission to cancel an instance refresh operation in progress,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
8,CompleteLifecycleAction,Grants permission to complete the lifecycle action for the specified token or instance with the specified result,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},
9,CreateAutoScalingGroup,Grants permission to create an Auto Scaling group with the specified name and attributes,Write,autoScalingGroup*,autoscaling:ResourceTag/${TagKey}  aws:ResourceTag/${TagKey},iam:CreateServiceLinkedRole  iam:PassRole
10,CreateAutoScalingGroup,Grants permission to create an Auto Scaling group with the specified name and attributes,Write,,autoscaling:InstanceTypes  autoscaling:LaunchConfigurationName  autoscaling:LaunchTemplateVersionSpecified  autoscaling:LoadBalancerNames  autoscaling:MaxSize  autoscaling:MinSize  autoscaling:TargetGroupARNs  autoscaling:VPCZoneIdentifiers  aws:RequestTag/${TagKey}  aws:TagKeys,
