,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelImageCreation,Grants permission to cancel an image creation,Write,image*,,
1,CreateComponent,Grants permission to create a new component,Write,component*,,iam:CreateServiceLinkedRole  imagebuilder:TagResource  kms:Encrypt  kms:GenerateDataKey  kms:GenerateDataKeyWithoutPlaintext
2,CreateComponent,Grants permission to create a new component,Write,kmsKey,,
3,CreateComponent,Grants permission to create a new component,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateContainerRecipe,Grants permission to create a new Container Recipe,Write,containerRecipe*,,ecr:DescribeImages  ecr:DescribeRepositories  iam:CreateServiceLinkedRole  imagebuilder:GetComponent  imagebuilder:GetImage  imagebuilder:TagResource  kms:Encrypt  kms:GenerateDataKey  kms:GenerateDataKeyWithoutPlaintext
5,CreateContainerRecipe,Grants permission to create a new Container Recipe,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateDistributionConfiguration,Grants permission to create a new distribution configuration,Write,distributionConfiguration*,,iam:CreateServiceLinkedRole  imagebuilder:TagResource
7,CreateDistributionConfiguration,Grants permission to create a new distribution configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateImage,Grants permission to create a new image,Write,image*,,iam:CreateServiceLinkedRole  imagebuilder:GetContainerRecipe  imagebuilder:GetDistributionConfiguration  imagebuilder:GetImageRecipe  imagebuilder:GetInfrastructureConfiguration  imagebuilder:TagResource
9,CreateImage,Grants permission to create a new image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateImagePipeline,Grants permission to create a new image pipeline,Write,imagePipeline*,,iam:CreateServiceLinkedRole  imagebuilder:GetContainerRecipe  imagebuilder:GetImageRecipe  imagebuilder:TagResource
11,CreateImagePipeline,Grants permission to create a new image pipeline,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateImageRecipe,Grants permission to create a new Image Recipe,Write,imageRecipe*,,ec2:DescribeImages  iam:CreateServiceLinkedRole  imagebuilder:GetComponent  imagebuilder:GetImage  imagebuilder:TagResource
13,CreateImageRecipe,Grants permission to create a new Image Recipe,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateInfrastructureConfiguration,Grants permission to create a new infrastructure configuration,Write,infrastructureConfiguration*,,iam:CreateServiceLinkedRole  iam:PassRole  imagebuilder:TagResource  sns:Publish
15,CreateInfrastructureConfiguration,Grants permission to create a new infrastructure configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  imagebuilder:CreatedResourceTagKeys  imagebuilder:CreatedResourceTag/<key>  imagebuilder:Ec2MetadataHttpTokens  imagebuilder:StatusTopicArn,
16,DeleteComponent,Grants permission to delete a component,Write,component*,,
17,DeleteContainerRecipe,Grants permission to delete a container recipe,Write,containerRecipe*,,
18,DeleteDistributionConfiguration,Grants permission to delete a distribution configuration,Write,distributionConfiguration*,,
19,DeleteImage,Grants permission to delete an image,Write,image*,,
