,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptAddressTransfer,Grants permission to accept an Elastic IP address transfer,Write,elastic-ip*,ec2:AllocationId  ec2:Domain  ec2:PublicIpAddress,ec2:CreateTags
1,AcceptAddressTransfer,Grants permission to accept an Elastic IP address transfer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  ec2:Region,
2,AcceptReservedInstancesExchangeQuote,Grants permission to accept a Convertible Reserved Instance exchange quote,Write,,ec2:Region,
3,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,transit-gateway-attachment,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
4,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,transit-gateway-multicast-domain,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
5,AcceptTransitGatewayMulticastDomainAssociations,Grants permission to accept a request to associate subnets with a transit gateway multicast domain,Write,,ec2:Region,
6,AcceptTransitGatewayPeeringAttachment,Grants permission to accept a transit gateway peering attachment request,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
7,AcceptTransitGatewayPeeringAttachment,Grants permission to accept a transit gateway peering attachment request,Write,,ec2:Region,
8,AcceptTransitGatewayVpcAttachment,Grants permission to accept a request to attach a VPC to a transit gateway,Write,transit-gateway-attachment*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
9,AcceptTransitGatewayVpcAttachment,Grants permission to accept a request to attach a VPC to a transit gateway,Write,,ec2:Region,
10,AcceptVpcEndpointConnections,Grants permission to accept one or more interface VPC endpoint connections to your VPC endpoint service,Write,vpc-endpoint-service*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
11,AcceptVpcEndpointConnections,Grants permission to accept one or more interface VPC endpoint connections to your VPC endpoint service,Write,,ec2:Region,
12,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,vpc*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey}  ec2:Tenancy  ec2:VpcID,
13,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,vpc-peering-connection*,aws:ResourceTag/${TagKey}  ec2:AccepterVpc  ec2:RequesterVpc  ec2:ResourceTag/${TagKey}  ec2:VpcPeeringConnectionID,
14,AcceptVpcPeeringConnection,Grants permission to accept a VPC peering connection request,Write,,ec2:Region,
15,AdvertiseByoipCidr,Grants permission to advertise an IP address range that is provisioned for use in AWS through bring your own IP addresses (BYOIP),Write,,ec2:Region,
16,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,elastic-ip*,,ec2:CreateTags
17,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,ipv4pool-ec2,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
18,AllocateAddress,Grants permission to allocate an Elastic IP address (EIP) to your account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  ec2:Region,
19,AllocateHosts,Grants permission to allocate a Dedicated Host to your account,Write,dedicated-host*,ec2:AutoPlacement  ec2:AvailabilityZone  ec2:HostRecovery  ec2:InstanceType  ec2:Quantity,ec2:CreateTags
20,AllocateHosts,Grants permission to allocate a Dedicated Host to your account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  ec2:Region,
21,AllocateIpamPoolCidr,Grants permission to allocate a CIDR from an Amazon VPC IP Address Manager (IPAM) pool,Write,ipam-pool*,aws:ResourceTag/${TagKey}  ec2:ResourceTag/${TagKey},
22,AllocateIpamPoolCidr,Grants permission to allocate a CIDR from an Amazon VPC IP Address Manager (IPAM) pool,Write,,ec2:Region,
