,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJobRun,Grants permission to cancel a job run,Write,jobRun*,,
1,CreateApplication,Grants permission to create an Application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteApplication,Grants permission to delete an application,Write,application*,,
3,GetApplication,Grants permission to get application,Read,application*,,
4,GetDashboardForJobRun,Grants permission to get job run dashboard,Read,jobRun*,,
5,GetJobRun,Grants permission to get a job run,Read,jobRun*,,
6,ListApplications,Grants permission to list applications,List,,,
7,ListJobRuns,Grants permission to list job runs associated with an application,List,application*,,
8,ListTagsForResource,Grants permission to list tags for the specified resource,Read,application,,
9,ListTagsForResource,Grants permission to list tags for the specified resource,Read,jobRun,,
10,StartApplication,Grants permission to Start an application,Write,application*,,
11,StartJobRun,Grants permission to start a job run,Write,application*,,iam:PassRole
12,StartJobRun,Grants permission to start a job run,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,StopApplication,Grants permission to Stop an application,Write,application*,,
14,TagResource,Grants permission to tag the specified resource,Tagging,application,,
15,TagResource,Grants permission to tag the specified resource,Tagging,jobRun,,
16,TagResource,Grants permission to tag the specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,UntagResource,Grants permission to untag the specified resource,Tagging,application,,
18,UntagResource,Grants permission to untag the specified resource,Tagging,jobRun,,
19,UntagResource,Grants permission to untag the specified resource,Tagging,,aws:TagKeys,
20,UpdateApplication,Grants permission to Update an application,Write,application*,,
