,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJobRun,Grants permission to cancel a job run,Write,jobRun*,,
1,CreateJobTemplate,Grants permission to create a job template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateManagedEndpoint,Grants permission to create a managed endpoint,Write,virtualCluster*,,
3,CreateManagedEndpoint,Grants permission to create a managed endpoint,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  emr-containers:ExecutionRoleArn,
4,CreateVirtualCluster,Grants permission to create a virtual cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteJobTemplate,Grants permission to delete a job template,Write,jobTemplate*,,
6,DeleteManagedEndpoint,Grants permission to delete a managed endpoint,Write,managedEndpoint*,,
7,DeleteVirtualCluster,Grants permission to delete a virtual cluster,Write,virtualCluster*,,
8,DescribeJobRun,Grants permission to describe a job run,Read,jobRun*,,
9,DescribeJobTemplate,Grants permission to describe a job template,Read,jobTemplate*,,
10,DescribeManagedEndpoint,Grants permission to describe a managed endpoint,Read,managedEndpoint*,,
11,DescribeVirtualCluster,Grants permission to describe a virtual cluster,Read,virtualCluster*,,
12,ListJobRuns,Grants permission to list job runs associated with a virtual cluster,List,virtualCluster*,,
13,ListJobTemplates,Grants permission to list job templates,List,,,
14,ListManagedEndpoints,Grants permission to list managed endpoints associated with a virtual cluster,List,virtualCluster*,,
15,ListTagsForResource,Grants permission to list tags for the specified resource,List,jobRun,,
16,ListTagsForResource,Grants permission to list tags for the specified resource,List,jobTemplate,,
17,ListTagsForResource,Grants permission to list tags for the specified resource,List,managedEndpoint,,
18,ListTagsForResource,Grants permission to list tags for the specified resource,List,virtualCluster,,
19,ListVirtualClusters,Grants permission to list virtual clusters,List,,,
20,StartJobRun,Grants permission to start a job run,Write,virtualCluster*,,
21,StartJobRun,Grants permission to start a job run,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  emr-containers:ExecutionRoleArn  emr-containers:JobTemplateArn,
22,TagResource,Grants permission to tag the specified resource,Tagging,jobRun,,
23,TagResource,Grants permission to tag the specified resource,Tagging,jobTemplate,,
24,TagResource,Grants permission to tag the specified resource,Tagging,managedEndpoint,,
25,TagResource,Grants permission to tag the specified resource,Tagging,virtualCluster,,
26,TagResource,Grants permission to tag the specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,UntagResource,Grants permission to untag the specified resource,Tagging,jobRun,,
28,UntagResource,Grants permission to untag the specified resource,Tagging,jobTemplate,,
29,UntagResource,Grants permission to untag the specified resource,Tagging,managedEndpoint,,
30,UntagResource,Grants permission to untag the specified resource,Tagging,virtualCluster,,
31,UntagResource,Grants permission to untag the specified resource,Tagging,,aws:TagKeys,
