,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,cluster,,
1,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,parametergroup,,
2,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,replicationgroup,,
3,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,reserved-instance,,
4,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,securitygroup,,
5,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,snapshot,,
6,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,subnetgroup,,
7,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,user,,
8,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,usergroup,,
9,AddTagsToResource,Grants permission to add tags to an ElastiCache resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
10,AuthorizeCacheSecurityGroupIngress,Grants permission to authorize an EC2 security group on a ElastiCache security group,Write,securitygroup*,,ec2:AuthorizeSecurityGroupIngress
11,AuthorizeCacheSecurityGroupIngress,Grants permission to authorize an EC2 security group on a ElastiCache security group,Write,,aws:ResourceTag/${TagKey},
12,BatchApplyUpdateAction,Grants permission to apply ElastiCache service updates to sets of clusters and replication groups,Write,cluster,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs  s3:GetObject
13,BatchApplyUpdateAction,Grants permission to apply ElastiCache service updates to sets of clusters and replication groups,Write,replicationgroup,,
14,BatchApplyUpdateAction,Grants permission to apply ElastiCache service updates to sets of clusters and replication groups,Write,,aws:ResourceTag/${TagKey},
15,BatchStopUpdateAction,Grants permission to stop ElastiCache service updates from being executed on a set of clusters,Write,cluster,,
16,BatchStopUpdateAction,Grants permission to stop ElastiCache service updates from being executed on a set of clusters,Write,replicationgroup,,
17,BatchStopUpdateAction,Grants permission to stop ElastiCache service updates from being executed on a set of clusters,Write,,aws:ResourceTag/${TagKey},
18,CompleteMigration,Grants permission to complete an online migration of data from hosted Redis on Amazon EC2 to ElastiCache,Write,cluster,,
19,CompleteMigration,Grants permission to complete an online migration of data from hosted Redis on Amazon EC2 to ElastiCache,Write,replicationgroup,,
20,CompleteMigration,Grants permission to complete an online migration of data from hosted Redis on Amazon EC2 to ElastiCache,Write,,aws:ResourceTag/${TagKey},
21,Connect,Allows an IAM user or role to connect as a specified EliastCache user to a node in a replication group,Write,replicationgroup*,,
22,Connect,Allows an IAM user or role to connect as a specified EliastCache user to a node in a replication group,Write,user*,,
23,Connect,Allows an IAM user or role to connect as a specified EliastCache user to a node in a replication group,Write,,aws:ResourceTag/${TagKey},
24,CopySnapshot,Grants permission to make a copy of an existing snapshot,Write,snapshot*,,elasticache:AddTagsToResource  s3:DeleteObject  s3:GetBucketAcl  s3:PutObject
25,CopySnapshot,Grants permission to make a copy of an existing snapshot,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  elasticache:KmsKeyId,
26,CreateCacheCluster,Grants permission to create a cache cluster,Write,parametergroup*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs  elasticache:AddTagsToResource  s3:GetObject
27,CreateCacheCluster,Grants permission to create a cache cluster,Write,cluster,aws:RequestTag/${TagKey}  aws:TagKeys  elasticache:CacheNodeType  elasticache:EngineVersion  elasticache:EngineType  elasticache:MultiAZEnabled  elasticache:AuthTokenEnabled  elasticache:SnapshotRetentionLimit  elasticache:CacheParameterGroupName,
