,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchCheckLayerAvailability,Grants permission to check the availability of multiple image layers in a specified registry and repository,Read,repository*,,
1,BatchDeleteImage,Grants permission to delete a list of specified images within a specified repository,Write,repository*,,
2,CompleteLayerUpload,"Grants permission to inform Amazon ECR that the image layer upload for a specified registry, repository name, and upload ID, has completed",Write,repository*,,
3,CreateRepository,Grants permission to create an image repository,Write,repository*,,
4,CreateRepository,Grants permission to create an image repository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteRepository,Grants permission to delete an existing image repository,Write,repository*,,
6,DeleteRepositoryPolicy,Grants permission to delete the repository policy from a specified repository,Write,repository*,,
7,DescribeImageTags,Grants permission to describe all the image tags for a given repository,List,repository*,,
8,DescribeImages,"Grants permission to get metadata about the images in a repository, including image size, image tags, and creation date",Read,repository*,,
9,DescribeRegistries,Grants permission to retrieve the catalog data associated with a registry,List,registry*,,
10,DescribeRepositories,Grants permission to describe image repositories in a registry,List,repository,,
11,GetAuthorizationToken,Grants permission to retrieve a token that is valid for a specified registry for 12 hours,Read,,,
12,GetRegistryCatalogData,Grants permission to retrieve the catalog data associated with a registry,Read,registry*,,
13,GetRepositoryCatalogData,Grants permission to retrieve the catalog data associated with a repository,Read,repository*,,
14,GetRepositoryPolicy,Grants permission to retrieve the repository policy for a specified repository,Read,repository*,,
15,InitiateLayerUpload,Grants permission to notify Amazon ECR that you intend to upload an image layer,Write,repository*,,
16,ListTagsForResource,Grants permission to list the tags for an Amazon ECR resource,Read,repository*,,
17,PutImage,Grants permission to create or update the image manifest associated with an image,Write,repository*,,
18,PutRegistryCatalogData,Grants permission to create and update the catalog data associated with a registry,Write,registry*,,
19,PutRepositoryCatalogData,Grants permission to update the catalog data associated with a repository,Write,repository*,,
20,SetRepositoryPolicy,Grants permission to apply a repository policy on a specified repository to control access permissions,Permissions management,repository*,,
21,TagResource,Grants permission to tag an Amazon ECR resource,Tagging,repository*,,
22,TagResource,Grants permission to tag an Amazon ECR resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,UntagResource,Grants permission to untag an Amazon ECR resource,Tagging,repository*,,
24,UntagResource,Grants permission to untag an Amazon ECR resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,UploadLayerPart,Grants permission to upload an image layer part to Amazon ECR Public,Write,repository*,,
