,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchCheckLayerAvailability,Grants permission to check the availability of multiple image layers in a specified registry and repository,Read,repository*,,
1,BatchDeleteImage,Grants permission to delete a list of specified images within a specified repository,Write,repository*,,
2,BatchGetImage,Grants permission to get detailed information for specified images within a specified repository,Read,repository*,,
3,BatchGetRepositoryScanningConfiguration,Grants permission to retrieve repository scanning configuration for a list of repositories,Read,repository*,,
4,BatchImportUpstreamImage,Grants permission to retrieve the image from the upstream registry and import it to your private registry,Write,,,
5,CompleteLayerUpload,"Grants permission to inform Amazon ECR that the image layer upload for a specified registry, repository name, and upload ID, has completed",Write,repository*,,
6,CreatePullThroughCacheRule,Grants permission to create new pull-through cache rule,Write,,,
7,CreateRepository,Grants permission to create an image repository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteLifecyclePolicy,Grants permission to delete the specified lifecycle policy,Write,repository*,,
9,DeletePullThroughCacheRule,Grants permission to delete the pull-through cache rule,Write,,,
10,DeleteRegistryPolicy,Grants permission to delete the registry policy,Permissions management,,,
11,DeleteRepository,Grants permission to delete an existing image repository,Write,repository*,,
12,DeleteRepositoryPolicy,Grants permission to delete the repository policy from a specified repository,Permissions management,repository*,,
13,DescribeImageReplicationStatus,"Grants permission to retrieve replication status about an image in a registry, including failure reason if replication fails",Read,repository*,,
14,DescribeImageScanFindings,Grants permission to describe the image scan findings for the specified image,Read,repository*,,
15,DescribeImages,"Grants permission to get metadata about the images in a repository, including image size, image tags, and creation date",List,repository*,,
16,DescribePullThroughCacheRules,Grants permission to describe the pull-through cache rules,List,,,
17,DescribeRegistry,Grants permission to describe the registry settings,Read,,,
18,DescribeRepositories,Grants permission to describe image repositories in a registry,Read,repository,,
19,GetAuthorizationToken,Grants permission to retrieve a token that is valid for a specified registry for 12 hours,Read,,,
20,GetDownloadUrlForLayer,Grants permission to retrieve the download URL corresponding to an image layer,Read,repository*,,
21,GetLifecyclePolicy,Grants permission to retrieve the specified lifecycle policy,Read,repository*,,
22,GetLifecyclePolicyPreview,Grants permission to retrieve the results of the specified lifecycle policy preview request,Read,repository*,,
23,GetRegistryPolicy,Grants permission to retrieve the registry policy,Read,,,
24,GetRegistryScanningConfiguration,Grants permission to retrieve registry scanning configuration,Read,,,
25,GetRepositoryPolicy,Grants permission to retrieve the repository policy for a specified repository,Read,repository*,,
26,InitiateLayerUpload,Grants permission to notify Amazon ECR that you intend to upload an image layer,Write,repository*,,
27,ListImages,Grants permission to list all the image IDs for a given repository,List,repository*,,
28,ListTagsForResource,Grants permission to list the tags for an Amazon ECR resource,Read,repository*,,
29,ListTagsForResource,Grants permission to list the tags for an Amazon ECR resource,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
30,PutImage,Grants permission to create or update the image manifest associated with an image,Write,repository*,,
31,PutImageScanningConfiguration,Grants permission to update the image scanning configuration for a repository,Write,repository*,,
32,PutImageTagMutability,Grants permission to update the image tag mutability settings for a repository,Write,repository*,,
33,PutLifecyclePolicy,Grants permission to create or update a lifecycle policy,Write,repository*,,
34,PutRegistryPolicy,Grants permission to update the registry policy,Permissions management,,,
35,PutRegistryScanningConfiguration,Grants permission to update registry scanning configuration,Write,,,
36,PutReplicationConfiguration,Grants permission to update the replication configuration for the registry,Write,,,
37,ReplicateImage [permission only],Grants permission to replicate images to the destination registry,Write,repository*,,
38,SetRepositoryPolicy,Grants permission to apply a repository policy on a specified repository to control access permissions,Permissions management,repository*,,
39,StartImageScan,Grants permission to start an image scan,Write,repository*,,
40,StartLifecyclePolicyPreview,Grants permission to start a preview of the specified lifecycle policy,Write,repository*,,
41,TagResource,Grants permission to tag an Amazon ECR resource,Tagging,repository*,,
42,TagResource,Grants permission to tag an Amazon ECR resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
43,UntagResource,Grants permission to untag an Amazon ECR resource,Tagging,repository*,,
44,UntagResource,Grants permission to untag an Amazon ECR resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,UploadLayerPart,Grants permission to upload an image layer part to Amazon ECR,Write,repository*,,
