,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateSchedule,Grants permission to create an Amazon EventBridge Scheduler schedule,Write,schedule*,,
1,CreateSchedule,Grants permission to create an Amazon EventBridge Scheduler schedule,Write,,aws:ResourceTag/${TagKey},
2,CreateScheduleGroup,Grants permission to create an Amazon EventBridge Scheduler schedule group,Write,schedule-group*,,
3,CreateScheduleGroup,Grants permission to create an Amazon EventBridge Scheduler schedule group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteSchedule,Grants permission to delete an Amazon EventBridge Scheduler schedule,Write,schedule*,,
5,DeleteSchedule,Grants permission to delete an Amazon EventBridge Scheduler schedule,Write,,aws:ResourceTag/${TagKey},
6,DeleteScheduleGroup,Grants permission to delete an Amazon EventBridge Scheduler schedule group,Write,schedule-group*,,
7,DeleteScheduleGroup,Grants permission to delete an Amazon EventBridge Scheduler schedule group,Write,,aws:ResourceTag/${TagKey},
8,GetSchedule,Grants permission to view details about an Amazon EventBridge Scheduler schedule,Read,schedule*,,
9,GetSchedule,Grants permission to view details about an Amazon EventBridge Scheduler schedule,Read,,aws:ResourceTag/${TagKey},
10,GetScheduleGroup,Grants permission to view details about an Amazon EventBridge Scheduler schedule group,Read,schedule-group*,,
11,GetScheduleGroup,Grants permission to view details about an Amazon EventBridge Scheduler schedule group,Read,,aws:ResourceTag/${TagKey},
12,ListScheduleGroups,Grants permission to list the Amazon EventBridge Scheduler schedule groups in your account,List,,,
13,ListSchedules,Grants permission to list the Amazon EventBridge Scheduler schedules in your account,List,,,
14,ListTagsForResource,Grants permission to lists tag for an Amazon EventBridge Scheduler resource,Read,schedule-group,,
15,ListTagsForResource,Grants permission to lists tag for an Amazon EventBridge Scheduler resource,Read,,aws:ResourceTag/${TagKey},
16,TagResource,Grants permission to tag an Amazon EventBridge Scheduler resource,Tagging,schedule-group*,,
17,TagResource,Grants permission to tag an Amazon EventBridge Scheduler resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
18,UntagResource,Grants permission to untag an Amazon EventBridge Scheduler resource,Tagging,schedule-group*,,
19,UntagResource,Grants permission to untag an Amazon EventBridge Scheduler resource,Tagging,,aws:TagKeys  aws:ResourceTag/${TagKey},
20,UpdateSchedule,Grants permission to modify an Amazon EventBridge Scheduler schedule,Write,schedule*,,
21,UpdateSchedule,Grants permission to modify an Amazon EventBridge Scheduler schedule,Write,,aws:ResourceTag/${TagKey},
