,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDiscoverer,"Grants permission to create an event schema discoverer. Once created, your events will be automatically map into corresponding schema documents",Write,discoverer*,,
1,CreateDiscoverer,"Grants permission to create an event schema discoverer. Once created, your events will be automatically map into corresponding schema documents",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateRegistry,Grants permission to create a new schema registry in your account,Write,registry*,,
3,CreateRegistry,Grants permission to create a new schema registry in your account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateSchema,Grants permission to create a new schema in your account,Write,schema*,,
5,CreateSchema,Grants permission to create a new schema in your account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteDiscoverer,Grants permission to delete discoverer in your account,Write,discoverer*,,
7,DeleteRegistry,Grants permission to delete an existing registry in your account,Write,registry*,,
8,DeleteResourcePolicy,Grants permission to delete the resource-based policy attached to a given registry,Write,registry*,,
9,DeleteSchema,Grants permission to delete an existing schema in your account,Write,schema*,,
10,DeleteSchemaVersion,Grants permission to delete a specific version of schema in your account,Write,schema*,,
11,DescribeCodeBinding,Grants permission to retrieve metadata for generated code for specific schema in your account,Read,schema*,,
12,DescribeDiscoverer,Grants permission to retrieve discoverer metadata in your account,Read,discoverer*,,
13,DescribeRegistry,Grants permission to describe an existing registry metadata in your account,Read,registry*,,
14,DescribeSchema,Grants permission to retrieve an existing schema in your account,Read,schema*,,
15,ExportSchema,Grants permission to export the AWS registry or discovered schemas in OpenAPI 3 format to JSONSchema format,Read,registry*,,
16,ExportSchema,Grants permission to export the AWS registry or discovered schemas in OpenAPI 3 format to JSONSchema format,Read,schema*,,
17,GetCodeBindingSource,Grants permission to retrieve metadata for generated code for specific schema in your account,Read,schema*,,
18,GetDiscoveredSchema,Grants permission to retrieve a schema for the provided list of sample events,Read,,,
19,GetResourcePolicy,Grants permission to retrieve the resource-based policy attached to a given registry,Read,registry*,,
20,ListDiscoverers,Grants permission to list all discoverers in your account,List,discoverer*,,
21,ListRegistries,Grants permission to list all registries in your account,List,registry*,,
22,ListSchemaVersions,Grants permission to list all versions of a schema,List,schema*,,
23,ListSchemas,Grants permission to list all schemas,List,schema*,,
24,ListTagsForResource,Grants permission to lists tags for a resource,Read,discoverer,,
25,ListTagsForResource,Grants permission to lists tags for a resource,Read,registry,,
26,ListTagsForResource,Grants permission to lists tags for a resource,Read,schema,,
27,PutCodeBinding,Grants permission to generate code for specific schema in your account,Write,schema*,,
28,PutResourcePolicy,Grants permission to attach a resource-based policy to a given registry,Write,registry*,,
29,SearchSchemas,Grants permission to search schemas based on specified keywords in your account,List,schema*,,
30,StartDiscoverer,Grants permission to start the specified discoverer. Once started the discoverer will automatically register schemas for published events to configured source in your account,Write,discoverer*,,
31,StopDiscoverer,Grants permission to stop the specified discoverer. Once stopped the discoverer will no longer register schemas for published events to configured source in your account,Write,discoverer*,,
32,TagResource,Grants permission to tag a resource,Tagging,discoverer,,
33,TagResource,Grants permission to tag a resource,Tagging,registry,,
34,TagResource,Grants permission to tag a resource,Tagging,schema,,
35,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
36,UntagResource,Grants permission to remove a tag from a resource,Tagging,discoverer,,
37,UntagResource,Grants permission to remove a tag from a resource,Tagging,registry,,
38,UntagResource,Grants permission to remove a tag from a resource,Tagging,schema,,
39,UntagResource,Grants permission to remove a tag from a resource,Tagging,,aws:TagKeys,
40,UpdateDiscoverer,Grants permission to update an existing discoverer in your account,Write,discoverer*,,
41,UpdateRegistry,Grants permission to update an existing registry metadata in your account,Write,registry*,,
42,UpdateSchema,Grants permission to update an existing schema in your account,Write,schema*,,
