,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateEventSource,Grants permission to activate partner event sources,Write,event-source*,,
1,CancelReplay,Grants permission to cancel a replay,Write,replay*,,
2,CreateApiDestination,Grants permission to create a new api destination,Write,api-destination*,,
3,CreateApiDestination,Grants permission to create a new api destination,Write,connection*,,
4,CreateArchive,Grants permission to create a new archive,Write,archive*,,
5,CreateArchive,Grants permission to create a new archive,Write,event-bus*,,
6,CreateConnection,Grants permission to create a new connection,Write,connection*,,
7,CreateEndpoint,Grants permission to create an endpoint,Write,endpoint*,,
8,CreateEndpoint,Grants permission to create an endpoint,Write,,events:EventBusArn,
9,CreateEventBus,Grants permission to create event buses,Write,event-bus*,,
10,CreateEventBus,Grants permission to create event buses,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreatePartnerEventSource,Grants permission to create partner event sources,Write,event-source*,,
12,DeactivateEventSource,Grants permission to deactivate event sources,Write,event-source*,,
13,DeauthorizeConnection,"Grants permission to deauthorize a connection, deleting its stored authorization secrets",Write,connection*,,
14,DeleteApiDestination,Grants permission to delete an api destination,Write,api-destination*,,
15,DeleteArchive,Grants permission to delete an archive,Write,archive*,,
16,DeleteConnection,Grants permission to delete a connection,Write,connection*,,
17,DeleteEndpoint,Grants permission to delete an endpoint,Write,endpoint*,,
18,DeleteEventBus,Grants permission to delete event buses,Write,event-bus*,,
19,DeletePartnerEventSource,Grants permission to delete partner event sources,Write,event-source*,,
20,DeleteRule,Grants permission to delete rules,Write,rule-on-custom-event-bus,,
21,DeleteRule,Grants permission to delete rules,Write,rule-on-default-event-bus,,
22,DeleteRule,Grants permission to delete rules,Write,,events:creatorAccount  events:ManagedBy,
23,DescribeApiDestination,Grants permission to retrieve details about an api destination,Read,api-destination*,,
24,DescribeApiDestination,Grants permission to retrieve details about an api destination,Read,connection*,,
25,DescribeArchive,Grants permission to retrieve details about an archive,Read,archive*,,
26,DescribeConnection,Grants permission to retrieve details about a conection,Read,connection*,,
27,DescribeEndpoint,Grants permission to retrieve details about an endpoint,Read,endpoint*,,
28,DescribeEventBus,Grants permission to retrieve details about event buses,Read,event-bus,,
29,DescribeEventSource,Grants permission to retrieve details about event sources,Read,event-source*,,
30,DescribePartnerEventSource,Grants permission to retrieve details about partner event sources,Read,event-source*,,
31,DescribeReplay,Grants permission to retrieve the details of a replay,Read,replay*,,
32,DescribeRule,Grants permission to retrieve details about rules,Read,rule-on-custom-event-bus,,
