,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAutoPredictor,Grants permission to create an auto predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateDataset,Grants permission to create a dataset,Write,dataset*,,
2,CreateDataset,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateDatasetGroup,Grants permission to create a dataset group,Write,datasetGroup*,,
4,CreateDatasetGroup,Grants permission to create a dataset group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateDatasetImportJob,Grants permission to create a dataset import job,Write,datasetImportJob*,,
6,CreateDatasetImportJob,Grants permission to create a dataset import job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateExplainability,Grants permission to create an explainability,Write,forecast*,,
8,CreateExplainability,Grants permission to create an explainability,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateExplainabilityExport,Grants permission to create an explainability export using an explainability resource,Write,explainability*,,
10,CreateExplainabilityExport,Grants permission to create an explainability export using an explainability resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateForecast,Grants permission to create a forecast,Write,predictor*,,
12,CreateForecast,Grants permission to create a forecast,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateForecastEndpoint [permission only],Grants permission to create an endpoint using a Predictor resource,Write,predictor*,,
14,CreateForecastEndpoint [permission only],Grants permission to create an endpoint using a Predictor resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateForecastExportJob,Grants permission to create a forecast export job using a forecast resource,Write,forecast*,,
16,CreateForecastExportJob,Grants permission to create a forecast export job using a forecast resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateMonitor,Grants permission to create an monitor using a Predictor resource,Write,predictor*,,
18,CreateMonitor,Grants permission to create an monitor using a Predictor resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreatePredictor,Grants permission to create a predictor,Write,datasetGroup*,,
20,CreatePredictor,Grants permission to create a predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreatePredictorBacktestExportJob,Grants permission to create a predictor backtest export job using a predictor,Write,predictor*,,
22,CreatePredictorBacktestExportJob,Grants permission to create a predictor backtest export job using a predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateWhatIfAnalysis,Grants permission to create a what-if analysis,Write,forecast*,,
24,CreateWhatIfAnalysis,Grants permission to create a what-if analysis,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateWhatIfForecast,Grants permission to create a what-if forecast,Write,whatIfAnalysis*,,
26,CreateWhatIfForecast,Grants permission to create a what-if forecast,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,CreateWhatIfForecastExport,Grants permission to create a what-if forecast export using what-if forecast resources,Write,whatIfForecast*,,
28,CreateWhatIfForecastExport,Grants permission to create a what-if forecast export using what-if forecast resources,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,DeleteDataset,Grants permission to delete a dataset,Write,dataset*,,
30,DeleteDatasetGroup,Grants permission to delete a dataset group,Write,datasetGroup*,,
31,DeleteDatasetImportJob,Grants permission to delete a dataset import job,Write,datasetImportJob*,,
32,DeleteExplainability,Grants permission to delete an explainability,Write,explainability*,,
33,DeleteExplainabilityExport,Grants permission to delete an explainability export,Write,explainabilityExport*,,
34,DeleteForecast,Grants permission to delete a forecast,Write,forecast*,,
35,DeleteForecastEndpoint [permission only],Grants permission to delete an endpoint resource,Write,endpoint*,,
36,DeleteForecastExportJob,Grants permission to delete a forecast export job,Write,forecastExport*,,
37,DeleteMonitor,Grants permission to delete a monitor resource,Write,monitor*,,
38,DeletePredictor,Grants permission to delete a predictor,Write,predictor*,,
39,DeletePredictorBacktestExportJob,Grants permission to delete a predictor backtest export job,Write,predictorBacktestExportJob*,,
40,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,dataset*,,
41,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,datasetGroup*,,
42,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,datasetImportJob*,,
43,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,endpoint*,,
44,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,explainability*,,
