,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptInvitation,Grants permission to accept invitations to become a GuardDuty member account,Write,,,
1,ArchiveFindings,Grants permission to archive GuardDuty findings,Write,,,
2,CreateDetector,Grants permission to create a detector,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateFilter,Grants permission to create GuardDuty filters. A filters defines finding attributes and conditions used to filter findings,Write,filter*,,
4,CreateFilter,Grants permission to create GuardDuty filters. A filters defines finding attributes and conditions used to filter findings,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateIPSet,Grants permission to create an IPSet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,iam:DeleteRolePolicy  iam:PutRolePolicy
6,CreateMembers,"Grants permission to create GuardDuty member accounts, where the account used to create a member becomes the GuardDuty administrator account",Write,,,
7,CreatePublishingDestination,Grants permission to create a publishing destination,Write,,,s3:GetObject  s3:ListBucket
8,CreateSampleFindings,Grants permission to create sample findings,Write,,,
9,CreateThreatIntelSet,"Grants permission to create GuardDuty ThreatIntelSets, where a ThreatIntelSet consists of known malicious IP addresses used by GuardDuty to generate findings",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,DeclineInvitations,Grants permission to decline invitations to become a GuardDuty member account,Write,,,
11,DeleteDetector,Grants permission to delete GuardDuty detectors,Write,detector*,,
12,DeleteFilter,Grants permission to delete GuardDuty filters,Write,filter*,,
13,DeleteIPSet,Grants permission to delete GuardDuty IPSets,Write,ipset*,,
14,DeleteInvitations,Grants permission to delete invitations to become a GuardDuty member account,Write,,,
15,DeleteMembers,Grants permission to delete GuardDuty member accounts,Write,,,
16,DeletePublishingDestination,Grants permission to delete a publishing destination,Write,publishingDestination*,,
17,DeleteThreatIntelSet,Grants permission to delete GuardDuty ThreatIntelSets,Write,threatintelset*,,
18,DescribeMalwareScans,Grants permission to retrieve details about malware scans,Read,,,
19,DescribeOrganizationConfiguration,Grants permission to retrieve details about the delegated administrator associated with a GuardDuty detector,Read,,,
20,DescribePublishingDestination,Grants permission to retrieve details about a publishing destination,Read,publishingDestination*,,
21,DisableOrganizationAdminAccount,Grants permission to disable the organization delegated administrator for GuardDuty,Write,,,
22,DisassociateFromMasterAccount,Grants permission to disassociate a GuardDuty member account from its GuardDuty administrator account,Write,,,
23,DisassociateMembers,Grants permission to disassociate GuardDuty member accounts from their administrator GuardDuty account,Write,,,
24,EnableOrganizationAdminAccount,Grants permission to enable an organization delegated administrator for GuardDuty,Write,,,
25,GetDetector,Grants permission to retrieve GuardDuty detectors,Read,detector*,,
26,GetFilter,Grants permission to retrieve GuardDuty filters,Read,filter*,,
27,GetFindings,Grants permission to retrieve GuardDuty findings,Read,,,
28,GetFindingsStatistics,Grants permission to retrieve a list of GuardDuty finding statistics,Read,,,
29,GetIPSet,Grants permission to retrieve GuardDuty IPSets,Read,ipset*,,
30,GetInvitationsCount,"Grants permission to retrieve the count of all GuardDuty invitations sent to a specified account, which does not include the accepted invitation",Read,,,
