,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateFHIRDatastore,Grants permission to create a datastore that can ingest and export FHIR data,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateResource,Grants permission to create resource,Write,datastore*,,
2,DeleteFHIRDatastore,Grants permission to delete a datastore,Write,datastore*,,
3,DeleteResource,Grants permission to delete resource,Write,datastore*,,
4,DescribeFHIRDatastore,"Grants permission to get the properties associated with the FHIR datastore, including the datastore ID, datastore ARN, datastore name, datastore status, created at, datastore type version, and datastore endpoint",Read,datastore*,,
5,DescribeFHIRExportJob,"Grants permission to display the properties of a FHIR export job, including the ID, ARN, name, and the status of the datastore",Read,datastore*,,
6,DescribeFHIRImportJob,"Grants permission to display the properties of a FHIR import job, including the ID, ARN, name, and the status of the datastore",Read,datastore*,,
7,GetCapabilities,Grants permission to get the capabilities of a FHIR datastore,Read,datastore*,,
8,ListFHIRDatastores,"Grants permission to list all FHIR datastores that are in the user’s account, regardless of datastore status",List,,,
9,ListFHIRExportJobs,Grants permission to get a list of export jobs for the specified datastore,List,datastore*,,
10,ListFHIRImportJobs,Grants permission to get a list of import jobs for the specified datastore,List,datastore*,,
11,ListTagsForResource,Grants permission to get a list of tags for the specified datastore,Read,datastore,,
12,ReadResource,Grants permission to read resource,Read,datastore*,,
13,SearchWithGet,Grants permission to search resources with GET method,Read,datastore*,,
14,SearchWithPost,Grants permission to search resources with POST method,Read,datastore*,,
15,StartFHIRExportJob,Grants permission to begin a FHIR Export job,Write,datastore*,,
16,StartFHIRImportJob,Grants permission to begin a FHIR Import job,Write,datastore*,,
17,TagResource,Grants permission to add tags to a datastore,Tagging,datastore,,
18,TagResource,Grants permission to add tags to a datastore,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
19,UntagResource,Grants permission to remove tags associated with a datastore,Tagging,datastore,,
20,UntagResource,Grants permission to remove tags associated with a datastore,Tagging,,aws:TagKeys,
21,UpdateResource,Grants permission to update resource,Write,datastore*,,
