,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddAttributesToFindings,Grants permission to assign attributes (key and value pairs) to the findings that are specified by the ARNs of the findings,Write,,,
1,CreateAssessmentTarget,Grants permission to create a new assessment target using the ARN of the resource group that is generated by CreateResourceGroup,Write,,,
2,CreateAssessmentTemplate,Grants permission to create an assessment template for the assessment target that is specified by the ARN of the assessment target,Write,,,
3,CreateExclusionsPreview,Grants permission to start the generation of an exclusions preview for the specified assessment template,Write,,,
4,CreateResourceGroup,Grants permission to create a resource group using the specified set of tags (key and value pairs) that are used to select the EC2 instances to be included in an Amazon Inspector assessment target,Write,,,
5,DeleteAssessmentRun,Grants permission to delete the assessment run that is specified by the ARN of the assessment run,Write,,,
6,DeleteAssessmentTarget,Grants permission to delete the assessment target that is specified by the ARN of the assessment target,Write,,,
7,DeleteAssessmentTemplate,Grants permission to delete the assessment template that is specified by the ARN of the assessment template,Write,,,
8,DescribeAssessmentRuns,Grants permission to describe the assessment runs that are specified by the ARNs of the assessment runs,Read,,,
9,DescribeAssessmentTargets,Grants permission to describe the assessment targets that are specified by the ARNs of the assessment targets,Read,,,
10,DescribeAssessmentTemplates,Grants permission to describe the assessment templates that are specified by the ARNs of the assessment templates,Read,,,
11,DescribeCrossAccountAccessRole,Grants permission to describe the IAM role that enables Amazon Inspector to access your AWS account,Read,,,
12,DescribeExclusions,Grants permission to describe the exclusions that are specified by the exclusions' ARNs,Read,,,
13,DescribeFindings,Grants permission to describe the findings that are specified by the ARNs of the findings,Read,,,
14,DescribeResourceGroups,Grants permission to describe the resource groups that are specified by the ARNs of the resource groups,Read,,,
15,DescribeRulesPackages,Grants permission to describe the rules packages that are specified by the ARNs of the rules packages,Read,,,
16,GetAssessmentReport,Grants permission to produce an assessment report that includes detailed and comprehensive results of a specified assessment run,Read,,,
17,GetExclusionsPreview,Grants permission to retrieve the exclusions preview (a list of ExclusionPreview objects) specified by the preview token,Read,,,
18,GetTelemetryMetadata,Grants permission to get information about the data that is collected for the specified assessment run,Read,,,
19,ListAssessmentRunAgents,Grants permission to list the agents of the assessment runs that are specified by the ARNs of the assessment runs,List,,,
20,ListAssessmentRuns,Grants permission to list the assessment runs that correspond to the assessment templates that are specified by the ARNs of the assessment templates,List,,,
21,ListAssessmentTargets,Grants permission to list the ARNs of the assessment targets within this AWS account,List,,,
22,ListAssessmentTemplates,Grants permission to list the assessment templates that correspond to the assessment targets that are specified by the ARNs of the assessment targets,List,,,
23,ListEventSubscriptions,Grants permission to list all the event subscriptions for the assessment template that is specified by the ARN of the assessment template,List,,,
24,ListExclusions,Grants permission to list exclusions that are generated by the assessment run,List,,,
25,ListFindings,Grants permission to list findings that are generated by the assessment runs that are specified by the ARNs of the assessment runs,List,,,
26,ListRulesPackages,Grants permission to list all available Amazon Inspector rules packages,List,,,
27,ListTagsForResource,Grants permission to list all tags associated with an assessment template,Read,,,
28,PreviewAgents,Grants permission to preview the agents installed on the EC2 instances that are part of the specified assessment target,Read,,,
29,RegisterCrossAccountAccessRole,Grants permission to register the IAM role that Amazon Inspector uses to list your EC2 instances at the start of the assessment run or when you call the PreviewAgents action,Write,,,
30,RemoveAttributesFromFindings,Grants permission to remove entire attributes (key and value pairs) from the findings that are specified by the ARNs of the findings where an attribute with the specified key exists,Write,,,
31,SetTagsForResource,Grants permission to set tags (key and value pairs) to the assessment template that is specified by the ARN of the assessment template,Tagging,,,
32,StartAssessmentRun,Grants permission to start the assessment run specified by the ARN of the assessment template,Write,,,
33,StopAssessmentRun,Grants permission to stop the assessment run that is specified by the ARN of the assessment run,Write,,,
34,SubscribeToEvent,Grants permission to enable the process of sending Amazon Simple Notification Service (SNS) notifications about a specified event to a specified SNS topic,Write,,,
35,UnsubscribeFromEvent,Grants permission to disable the process of sending Amazon Simple Notification Service (SNS) notifications about a specified event to a specified SNS topic,Write,,,
36,UpdateAssessmentTarget,Grants permission to update the assessment target that is specified by the ARN of the assessment target,Write,,,
