,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateChatToken,Grants permission to create an encrypted token that is used to establish an individual WebSocket connection to a room,Write,Room*,,
1,CreateChatToken,Grants permission to create an encrypted token that is used to establish an individual WebSocket connection to a room,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,CreateLoggingConfiguration,Grants permission to create a logging configuration that allows clients to record room messages,Write,Logging-Configuration*,,
3,CreateLoggingConfiguration,Grants permission to create a logging configuration that allows clients to record room messages,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
4,CreateRoom,Grants permission to create a room that allows clients to connect and pass messages,Write,Room*,,
5,CreateRoom,Grants permission to create a room that allows clients to connect and pass messages,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,DeleteLoggingConfiguration,Grants permission to delete the logging configuration for a specified logging configuration ARN,Write,Logging-Configuration*,,
7,DeleteMessage,Grants permission to send an event to a specific room which directs clients to delete a specific message,Write,Room*,,
8,DeleteRoom,Grants permission to delete the room for a specified room ARN,Write,Room*,,
9,DisconnectUser,Grants permission to disconnect all connections using a specified user ID from a room,Write,Room*,,
10,GetLoggingConfiguration,Grants permission to get the logging configuration for a specified logging configuration ARN,Read,Logging-Configuration*,,
11,GetRoom,Grants permission to get the room configuration for a specified room ARN,Read,Room*,,
12,ListLoggingConfigurations,Grants permission to get summary information about logging configurations,List,Logging-Configuration*,,
13,ListRooms,Grants permission to get summary information about rooms,List,Room*,,
14,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,Room,,
15,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,,aws:TagKeys  aws:RequestTag/${TagKey},
16,SendEvent,Grants permission to send an event to a room,Write,Room*,,
17,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,Room,,
18,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
19,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,Room,,
20,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,,aws:TagKeys,
21,UpdateLoggingConfiguration,Grants permission to update the logging configuration for a specified logging configuration ARN,Write,Logging-Configuration*,,
22,UpdateRoom,Grants permission to update the room configuration for a specified room ARN,Write,Room*,,
