,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetChannel,Grants permission to get multiple channels simultaneously by channel ARN,Read,Channel*,,
1,BatchGetStreamKey,Grants permission to get multiple stream keys simultaneously by stream key ARN,Read,Stream-Key*,,
2,CreateChannel,Grants permission to create a new channel and an associated stream key,Write,Channel*,,
3,CreateChannel,Grants permission to create a new channel and an associated stream key,Write,Stream-Key*,,
4,CreateChannel,Grants permission to create a new channel and an associated stream key,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
5,CreateRecordingConfiguration,Grants permission to create a a new recording configuration,Write,Recording-Configuration*,,
6,CreateRecordingConfiguration,Grants permission to create a a new recording configuration,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
7,CreateStreamKey,Grants permission to create a stream key,Write,Stream-Key*,,
8,CreateStreamKey,Grants permission to create a stream key,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
9,DeleteChannel,Grants permission to delete a channel and channel's stream keys,Write,Channel*,,
10,DeleteChannel,Grants permission to delete a channel and channel's stream keys,Write,Stream-Key*,,
11,DeletePlaybackKeyPair,Grants permission to delete the playback key pair for a specified ARN,Write,Playback-Key-Pair*,,
12,DeleteRecordingConfiguration,Grants permission to delete a recording configuration for the specified ARN,Write,Recording-Configuration*,,
13,DeleteStreamKey,Grants permission to delete the stream key for a specified ARN,Write,Stream-Key*,,
14,GetChannel,Grants permission to get the channel configuration for a specified channel ARN,Read,Channel*,,
15,GetPlaybackKeyPair,Grants permission to get the playback keypair information for a specified ARN,Read,Playback-Key-Pair*,,
16,GetRecordingConfiguration,Grants permission to get the recording configuration for the specified ARN,Read,Recording-Configuration*,,
17,GetStream,Grants permission to get information about the active (live) stream on a specified channel,Read,Channel*,,
18,GetStreamKey,Grants permission to get stream-key information for a specified ARN,Read,Stream-Key*,,
19,GetStreamSession,Grants permission to get information about the stream session on a specified channel,Read,Channel*,,
20,ImportPlaybackKeyPair,Grants permission to import the public key,Write,Playback-Key-Pair*,,
21,ImportPlaybackKeyPair,Grants permission to import the public key,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
22,ListChannels,Grants permission to get summary information about channels,List,Channel*,,
23,ListPlaybackKeyPairs,Grants permission to get summary information about playback key pairs,List,Playback-Key-Pair*,,
24,ListRecordingConfigurations,Grants permission to get summary information about recording configurations,List,Recording-Configuration*,,
25,ListStreamKeys,Grants permission to get summary information about stream keys,List,Channel*,,
26,ListStreamKeys,Grants permission to get summary information about stream keys,List,Stream-Key*,,
27,ListStreamSessions,Grants permission to get summary information about streams sessions on a specified channel,List,Channel*,,
28,ListStreams,Grants permission to get summary information about live streams,List,Channel*,,
29,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,Channel,,
30,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,Playback-Key-Pair,,
31,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,Recording-Configuration,,
32,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,Stream-Key,,
33,ListTagsForResource,Grants permission to get information about the tags for a specified ARN,Read,,aws:TagKeys  aws:RequestTag/${TagKey},
34,PutMetadata,Grants permission to insert metadata into an RTMP stream for a specified channel,Write,Channel*,,
35,StopStream,Grants permission to disconnect a streamer on a specified channel,Write,Channel*,,
36,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,Channel,,
37,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,Playback-Key-Pair,,
38,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,Recording-Configuration,,
39,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,Stream-Key,,
40,TagResource,Grants permission to add or update tags for a resource with a specified ARN,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
41,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,Channel,,
42,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,Playback-Key-Pair,,
43,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,Recording-Configuration,,
44,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,Stream-Key,,
45,UntagResource,Grants permission to remove tags for a resource with a specified ARN,Tagging,,aws:TagKeys,
46,UpdateChannel,Grants permission to update a channel's configuration,Write,Channel*,,
