,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddApplicationInput,Grants permission to add input to the application,Write,application*,,
1,AddApplicationOutput,Grants permission to add output to the application,Write,application*,,
2,AddApplicationReferenceDataSource,Grants permission to add reference data source to the application,Write,application*,,
3,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteApplication,Grants permission to delete the application,Write,application*,,
5,DeleteApplicationOutput,Grants permission to delete the specified output of the application,Write,application*,,
6,DeleteApplicationReferenceDataSource,Grants permission to delete the specified reference data source of the application,Write,application*,,
7,DescribeApplication,Grants permission to describe the specified application,Read,application*,,
8,DiscoverInputSchema,Grants permission to discover the input schema for the application,Read,,,
9,GetApplicationState [permission only],Grants permission to Kinesis Data Analytics console to display stream results for Kinesis Data Analytics SQL runtime applications,Read,application*,,
10,ListApplications,Grants permission to list applications for the account,List,,,
11,ListTagsForResource,Grants permission to fetch the tags associated with the application,Read,application*,,
12,StartApplication,Grants permission to start the application,Write,application*,,
13,StopApplication,Grants permission to stop the application,Write,application*,,
14,TagResource,Grants permission to add tags to the application,Tagging,application*,,
15,TagResource,Grants permission to add tags to the application,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,UntagResource,Grants permission to remove the specified tags from the application,Tagging,application*,,
17,UntagResource,Grants permission to remove the specified tags from the application,Tagging,,aws:TagKeys,
18,UpdateApplication,Grants permission to update the application,Write,application*,,
