,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ConnectAsMaster,Grants permission to connect as a master to the signaling channel specified by the endpoint,Write,channel*,,
1,ConnectAsViewer,Grants permission to connect as a viewer to the signaling channel specified by the endpoint,Write,channel*,,
2,CreateSignalingChannel,Grants permission to create a signaling channel,Write,channel*,,
3,CreateSignalingChannel,Grants permission to create a signaling channel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateStream,Grants permission to create a Kinesis video stream,Write,stream*,,
5,CreateStream,Grants permission to create a Kinesis video stream,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteSignalingChannel,Grants permission to delete an existing signaling channel,Write,channel*,,
7,DeleteStream,Grants permission to delete an existing Kinesis video stream,Write,stream*,,
8,DescribeImageGenerationConfiguration,Grants permission to describe the image generation configuration of your Kinesis video stream,Read,stream*,,
9,DescribeNotificationConfiguration,Grants permission to describe the notification configuration of your Kinesis video stream,Read,stream*,,
10,DescribeSignalingChannel,Grants permission to describe the specified signaling channel,List,channel*,,
11,DescribeStream,Grants permission to describe the specified Kinesis video stream,List,stream*,,
12,GetClip,Grants permission to get a media clip from a video stream,Read,stream*,,
13,GetDASHStreamingSessionURL,Grants permission to create a URL for MPEG-DASH video streaming,Read,stream*,,
14,GetDataEndpoint,Grants permission to get an endpoint for a specified stream for either reading or writing media data to Kinesis Video Streams,Read,stream*,,
15,GetHLSStreamingSessionURL,Grants permission to create a URL for HLS video streaming,Read,stream*,,
16,GetIceServerConfig,Grants permission to get the ICE server configuration,Read,channel*,,
17,GetImages,Grants permission to get generated images from your Kinesis video stream,Read,stream*,,
18,GetMedia,Grants permission to return media content of a Kinesis video stream,Read,stream*,,
19,GetMediaForFragmentList,Grants permission to read and return media data only from persisted storage,Read,stream*,,
20,GetSignalingChannelEndpoint,Grants permission to get endpoints for a specified combination of protocol and role for a signaling channel,Read,channel*,,
21,ListFragments,Grants permission to list the fragments from archival storage based on the pagination token or selector type with range specified,List,stream*,,
22,ListSignalingChannels,Grants permission to list your signaling channels,List,,,
23,ListStreams,Grants permission to list your Kinesis video streams,List,,,
24,ListTagsForResource,Grants permission to fetch the tags associated with your resource,Read,channel,,
25,ListTagsForResource,Grants permission to fetch the tags associated with your resource,Read,stream,,
26,ListTagsForStream,Grants permission to fetch the tags associated with Kinesis video stream,Read,stream*,,
27,PutMedia,Grants permission to send media data to a Kinesis video stream,Write,stream*,,
28,SendAlexaOfferToMaster,Grants permission to send the Alexa SDP offer to the master,Write,channel*,,
29,TagResource,Grants permission to attach set of tags to your resource,Tagging,channel,,
30,TagResource,Grants permission to attach set of tags to your resource,Tagging,stream,,
31,TagResource,Grants permission to attach set of tags to your resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
32,TagStream,Grants permission to attach set of tags to your Kinesis video streams,Tagging,stream*,,
33,TagStream,Grants permission to attach set of tags to your Kinesis video streams,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
34,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,channel,,
35,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,stream,,
36,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,,aws:TagKeys,
37,UntagStream,Grants permission to remove one or more tags from your Kinesis video streams,Tagging,stream*,,
38,UntagStream,Grants permission to remove one or more tags from your Kinesis video streams,Tagging,,aws:TagKeys,
39,UpdateDataRetention,Grants permission to update the data retention period of your Kinesis video stream,Write,stream*,,
40,UpdateImageGenerationConfiguration,Grants permission to update the image generation configuration of your Kinesis video stream,Write,stream*,,
41,UpdateNotificationConfiguration,Grants permission to update the notification configuration of your Kinesis video stream,Write,stream*,,
42,UpdateSignalingChannel,Grants permission to update an existing signaling channel,Write,channel*,,
43,UpdateStream,Grants permission to update an existing Kinesis video stream,Write,stream*,,
