,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTagsToStream,Grants permission to add or update tags for the specified Amazon Kinesis stream. Each stream can have up to 10 tags,Tagging,stream*,,
1,CreateStream,Grants permission to create a Amazon Kinesis stream,Write,stream*,,
2,DecreaseStreamRetentionPeriod,"Grants permission to decrease the stream's retention period, which is the length of time data records are accessible after they are added to the stream",Write,stream*,,
3,DeleteStream,Grants permission to delete a stream and all its shards and data,Write,stream*,,
4,DeregisterStreamConsumer,Grants permission to deregister a stream consumer with a Kinesis data stream,Write,consumer*,,
5,DescribeLimits,Grants permission to describe the shard limits and usage for the account,Read,,,
6,DescribeStream,Grants permission to describe the specified stream,Read,stream*,,
7,DescribeStreamConsumer,Grants permission to get the description of a registered stream consumer,Read,consumer*,,
8,DescribeStreamSummary,Grants permission to provide a summarized description of the specified Kinesis data stream without the shard list,Read,stream*,,
9,DisableEnhancedMonitoring,Grants permission to disables enhanced monitoring,Write,,,
10,EnableEnhancedMonitoring,Grants permission to enable enhanced Kinesis data stream monitoring for shard-level metrics,Write,,,
11,GetRecords,Grants permission to get data records from a shard,Read,stream*,,
12,GetShardIterator,Grants permission to get a shard iterator. A shard iterator expires five minutes after it is returned to the requester,Read,stream*,,
13,IncreaseStreamRetentionPeriod,"Grants permission to increase the stream's retention period, which is the length of time data records are accessible after they are added to the stream",Write,stream*,,
14,ListShards,Grants permission to list the shards in a stream and provides information about each shard,List,,,
15,ListStreamConsumers,"Grants permission to list the stream consumers registered to receive data from a Kinesis stream using enhanced fan-out, and provides information about each consumer",List,stream*,,
16,ListStreams,Grants permission to list your streams,List,,,
17,ListTagsForStream,Grants permission to list the tags for the specified Amazon Kinesis stream,Read,stream*,,
18,MergeShards,Grants permission to merge two adjacent shards in a stream and combines them into a single shard to reduce the stream's capacity to ingest and transport data,Write,stream*,,
19,PutRecord,Grants permission to write a single data record from a producer into an Amazon Kinesis stream,Write,stream*,,
20,PutRecords,Grants permission to write multiple data records from a producer into an Amazon Kinesis stream in a single call (also referred to as a PutRecords request),Write,stream*,,
21,RegisterStreamConsumer,Grants permission to register a stream consumer with a Kinesis data stream,Write,stream*,,
22,RemoveTagsFromStream,Grants permission to remove tags from the specified Kinesis data stream. Removed tags are deleted and cannot be recovered after this operation successfully completes,Tagging,stream*,,
23,SplitShard,"Grants permission to split a shard into two new shards in the Kinesis data stream, to increase the stream's capacity to ingest and transport data",Write,stream*,,
24,StartStreamEncryption,Grants permission to enable or update server-side encryption using an AWS KMS key for a specified stream,Write,kmsKey*,,
25,StartStreamEncryption,Grants permission to enable or update server-side encryption using an AWS KMS key for a specified stream,Write,stream*,,
26,StopStreamEncryption,Grants permission to disable server-side encryption for a specified stream,Write,kmsKey*,,
27,StopStreamEncryption,Grants permission to disable server-side encryption for a specified stream,Write,stream*,,
28,SubscribeToShard,Grants permission to listen to a specific shard with enhanced fan-out,Read,consumer*,,
29,UpdateShardCount,Grants permission to update the shard count of the specified stream to the specified number of shards,Write,,,
30,UpdateStreamMode,Grants permission to update the capacity mode of the data stream,Write,,,
