,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BuildBotLocale,Grants permission to build an existing bot locale in a bot,Write,bot*,,
1,CreateBot,Grants permission to create a new bot and a test bot alias pointing to the DRAFT bot version,Write,bot*,,
2,CreateBot,Grants permission to create a new bot and a test bot alias pointing to the DRAFT bot version,Write,bot alias*,,
3,CreateBot,Grants permission to create a new bot and a test bot alias pointing to the DRAFT bot version,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
4,CreateBotAlias,Grants permission to create a new bot alias in a bot,Write,bot alias*,,
5,CreateBotAlias,Grants permission to create a new bot alias in a bot,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateBotChannel [permission only],Grants permission to create a bot channel in an existing bot,Write,bot*,,
7,CreateBotLocale,Grants permission to create a new bot locale in an existing bot,Write,bot*,,
8,CreateBotVersion,Grants permission to create a new version of an existing bot,Write,bot*,,
9,CreateCustomVocabulary [permission only],Grants permission to create a new custom vocabulary in an existing bot locale,Write,bot*,,
10,CreateExport,Grants permission to create an export for an existing resource,Write,bot*,,
11,CreateIntent,Grants permission to create a new intent in an existing bot locale,Write,bot*,,
12,CreateResourcePolicy,Grants permission to create a new resource policy for a Lex resource,Write,bot,,
13,CreateResourcePolicy,Grants permission to create a new resource policy for a Lex resource,Write,bot alias,,
14,CreateSlot,Grants permission to create a new slot in an intent,Write,bot*,,
15,CreateSlotType,Grants permission to create a new slot type in an existing bot locale,Write,bot*,,
16,CreateUploadUrl,Grants permission to create an upload url for import file,Write,,,
17,DeleteBot,Grants permission to delete an existing bot,Write,bot*,,lex:DeleteBotAlias  lex:DeleteBotChannel  lex:DeleteBotLocale  lex:DeleteBotVersion  lex:DeleteIntent  lex:DeleteSlot  lex:DeleteSlotType
18,DeleteBot,Grants permission to delete an existing bot,Write,bot alias*,,
19,DeleteBotAlias,Grants permission to delete an existing bot alias in a bot,Write,bot alias*,,
20,DeleteBotChannel [permission only],Grants permission to delete an existing bot channel,Write,bot*,,
21,DeleteBotLocale,Grants permission to delete an existing bot locale in a bot,Write,bot*,,lex:DeleteIntent  lex:DeleteSlot  lex:DeleteSlotType
22,DeleteBotVersion,Grants permission to delete an existing bot version,Write,bot*,,
