,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateTrackerConsumer,Grants permission to create an association between a geofence-collection and a tracker resource,Write,tracker*,,
1,BatchDeleteDevicePositionHistory,Grants permission to delete a batch of device position histories from a tracker resource,Write,tracker*,,
2,BatchDeleteDevicePositionHistory,Grants permission to delete a batch of device position histories from a tracker resource,Write,,geo:DeviceIds,
3,BatchDeleteGeofence,Grants permission to delete a batch of geofences from a geofence collection,Write,geofence-collection*,,
4,BatchDeleteGeofence,Grants permission to delete a batch of geofences from a geofence collection,Write,,geo:GeofenceIds,
5,BatchEvaluateGeofences,Grants permission to evaluate device positions against the position of geofences in a given geofence collection,Write,geofence-collection*,,
6,BatchGetDevicePosition,Grants permission to send a batch request to retrieve device positions,Read,tracker*,,
7,BatchGetDevicePosition,Grants permission to send a batch request to retrieve device positions,Read,,geo:DeviceIds,
8,BatchPutGeofence,Grants permission to send a batch request for adding geofences into a given geofence collection,Write,geofence-collection*,,
9,BatchPutGeofence,Grants permission to send a batch request for adding geofences into a given geofence collection,Write,,geo:GeofenceIds,
10,BatchUpdateDevicePosition,Grants permission to upload a position update for one or more devices to a tracker resource,Write,tracker*,,
11,BatchUpdateDevicePosition,Grants permission to upload a position update for one or more devices to a tracker resource,Write,,geo:DeviceIds,
12,CalculateRoute,Grants permission to calculate routes using a given route calculator resource,Read,route-calculator*,,
13,CalculateRouteMatrix,Grants permission to calculate a route matrix using a given route calculator resource,Read,route-calculator*,,
14,CreateGeofenceCollection,Grants permission to create a geofence-collection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateMap,Grants permission to create a map resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreatePlaceIndex,Grants permission to create a place index resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateRouteCalculator,Grants permission to create a route calculator resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateTracker,Grants permission to create a tracker resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,DeleteGeofenceCollection,Grants permission to delete a geofence-collection,Write,geofence-collection*,,
20,DeleteMap,Grants permission to delete a map resource,Write,map*,,
21,DeletePlaceIndex,Grants permission to delete a place index resource,Write,place-index*,,
22,DeleteRouteCalculator,Grants permission to delete a route calculator resource,Write,route-calculator*,,
23,DeleteTracker,Grants permission to delete a tracker resource,Write,tracker*,,
24,DescribeGeofenceCollection,Grants permission to retrieve geofence collection details,Read,geofence-collection*,,
25,DescribeMap,Grants permission to retrieve map resource details,Read,map*,,
26,DescribePlaceIndex,Grants permission to retrieve place-index resource details,Read,place-index*,,
27,DescribeRouteCalculator,Grants permission to retrieve route calculator resource details,Read,route-calculator*,,
28,DescribeTracker,Grants permission to retrieve a tracker resource details,Read,tracker*,,
29,DisassociateTrackerConsumer,Grants permission to remove the association between a tracker resource and a geofence-collection,Write,tracker*,,
30,GetDevicePosition,Grants permission to retrieve the latest device position,Read,tracker*,,
31,GetDevicePosition,Grants permission to retrieve the latest device position,Read,,geo:DeviceIds,
32,GetDevicePositionHistory,Grants permission to retrieve the device position history,Read,tracker*,,
33,GetDevicePositionHistory,Grants permission to retrieve the device position history,Read,,geo:DeviceIds,
34,GetGeofence,Grants permission to retrieve the geofence details from a geofence-collection,Read,geofence-collection*,,
35,GetGeofence,Grants permission to retrieve the geofence details from a geofence-collection,Read,,geo:GeofenceIds,
36,GetMapGlyphs,Grants permission to retrieve the glyph file for a map resource,Read,map*,,
37,GetMapSprites,Grants permission to retrieve the sprite file for a map resource,Read,map*,,
38,GetMapStyleDescriptor,Grants permission to retrieve the map style descriptor from a map resource,Read,map*,,
39,GetMapTile,Grants permission to retrieve the map tile from the map resource,Read,map*,,
40,GetPlace,Grants permission to find a place by its unique ID,Read,place-index*,,
41,ListDevicePositions,Grants permission to retrieve a list of devices and their latest positions from the given tracker resource,Read,tracker*,,
42,ListGeofenceCollections,Grants permission to lists geofence-collections,List,,,
43,ListGeofences,Grants permission to list geofences stored in a given geofence collection,Read,geofence-collection*,,
44,ListMaps,Grants permission to list map resources,List,,,
45,ListPlaceIndexes,Grants permission to return a list of place index resources,List,,,
46,ListRouteCalculators,Grants permission to return a list of route calculator resources,List,,,
47,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,geofence-collection,,
48,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,map,,
49,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,place-index,,
50,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,route-calculator,,
51,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,tracker,,
52,ListTrackerConsumers,Grants permission to retrieve a list of geofence collections currently associated to the given tracker resource,Read,tracker*,,
53,ListTrackers,Grants permission to return a list of tracker resources,List,,,
54,PutGeofence,Grants permission to add a new geofence or update an existing geofence to a given geofence-collection,Write,geofence-collection*,,
55,PutGeofence,Grants permission to add a new geofence or update an existing geofence to a given geofence-collection,Write,,geo:GeofenceIds,
56,SearchPlaceIndexForPosition,Grants permission to reverse geocodes a given coordinate,Read,place-index*,,
57,SearchPlaceIndexForSuggestions,Grants permission to generate suggestions for addresses and points of interest based on partial or misspelled free-form text,Read,place-index*,,
58,SearchPlaceIndexForText,"Grants permission to geocode free-form text, such as an address, name, city or region",Read,place-index*,,
59,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,geofence-collection,,
60,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,map,,
61,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,place-index,,
62,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,route-calculator,,
63,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,tracker,,
64,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
65,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,geofence-collection,,
66,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,map,,
67,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,place-index,,
68,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,route-calculator,,
69,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,tracker,,
70,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
71,UpdateGeofenceCollection,Grants permission to update a geofence collection,Write,geofence-collection*,,
72,UpdateMap,Grants permission to update a map resource,Write,map*,,
73,UpdatePlaceIndex,Grants permission to update a place index resource,Write,place-index*,,
74,UpdateRouteCalculator,Grants permission to update a route calculator resource,Write,route-calculator*,,
75,UpdateTracker,Grants permission to update a tracker resource,Write,tracker*,,
