,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDataset,Grants permission to create a dataset,Write,dataset*,,
1,CreateDataset,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateInferenceScheduler,Grants permission to create an inference scheduler for a trained model,Write,inference-scheduler*,,
3,CreateInferenceScheduler,Grants permission to create an inference scheduler for a trained model,Write,model*,,
4,CreateInferenceScheduler,Grants permission to create an inference scheduler for a trained model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateModel,Grants permission to create a model that is trained on a dataset,Write,dataset*,,
6,CreateModel,Grants permission to create a model that is trained on a dataset,Write,model*,,
7,CreateModel,Grants permission to create a model that is trained on a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteDataset,Grants permission to delete a dataset,Write,dataset*,,
9,DeleteInferenceScheduler,Grants permission to delete an inference scheduler,Write,inference-scheduler*,,
10,DeleteModel,Grants permission to delete a model,Write,model*,,
11,DescribeDataIngestionJob,Grants permission to describe a data ingestion job,Read,,,
12,DescribeDataset,Grants permission to describe a dataset,Read,dataset*,,
13,DescribeInferenceScheduler,Grants permission to describe an inference scheduler,Read,inference-scheduler*,,
14,DescribeModel,Grants permission to describe a model,Read,model*,,
15,ListDataIngestionJobs,Grants permission to list the data ingestion jobs in your account or for a particular dataset,List,dataset*,,
16,ListDatasets,Grants permission to list the datasets in your account,List,,,
17,ListInferenceExecutions,Grants permission to list the inference executions for an inference scheduler,Read,inference-scheduler*,,
18,ListInferenceSchedulers,Grants permission to list the inference schedulers in your account,List,,,
19,ListModels,Grants permission to list the models in your account,List,,,
20,ListSensorStatistics,Grants permission to list the sensor statistics for a particular dataset or an ingestion job,List,dataset*,,
21,ListTagsForResource,Grants permission to list the tags for a resource,Read,dataset,,
22,ListTagsForResource,Grants permission to list the tags for a resource,Read,inference-scheduler,,
23,ListTagsForResource,Grants permission to list the tags for a resource,Read,model,,
24,StartDataIngestionJob,Grants permission to start a data ingestion job for a dataset,Write,dataset*,,
25,StartInferenceScheduler,Grants permission to start an inference scheduler,Write,inference-scheduler*,,
26,StopInferenceScheduler,Grants permission to stop an inference scheduler,Write,inference-scheduler*,,
27,TagResource,Grants permission to tag a resource,Tagging,dataset,,
28,TagResource,Grants permission to tag a resource,Tagging,inference-scheduler,,
29,TagResource,Grants permission to tag a resource,Tagging,model,,
30,TagResource,Grants permission to tag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,UntagResource,Grants permission to untag a resource,Tagging,dataset,,
32,UntagResource,Grants permission to untag a resource,Tagging,inference-scheduler,,
33,UntagResource,Grants permission to untag a resource,Tagging,model,,
34,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
35,UpdateInferenceScheduler,Grants permission to update an inference scheduler,Write,inference-scheduler*,,
