,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateAnomalyDetector,Grants permission to activate an anomaly detector,Write,AnomalyDetector*,,
1,BackTestAnomalyDetector,Grants permission to run a backtest with an anomaly detector,Write,AnomalyDetector*,,
2,CreateAlert,Grants permission to create an alert for an anomaly detector,Write,Alert*,,
3,CreateAlert,Grants permission to create an alert for an anomaly detector,Write,AnomalyDetector*,,
4,CreateAlert,Grants permission to create an alert for an anomaly detector,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateAnomalyDetector,Grants permission to create an anomaly detector,Write,AnomalyDetector*,,
6,CreateAnomalyDetector,Grants permission to create an anomaly detector,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateMetricSet,Grants permission to create a dataset,Write,AnomalyDetector*,,
8,CreateMetricSet,Grants permission to create a dataset,Write,MetricSet*,,
9,CreateMetricSet,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,DeactivateAnomalyDetector,Grants permission to deactivate an anomaly detector,Write,AnomalyDetector*,,
11,DeleteAlert,Grants permission to delete an alert,Write,Alert*,,
12,DeleteAnomalyDetector,Grants permission to delete an anomaly detector,Write,AnomalyDetector*,,
13,DescribeAlert,Grants permission to get details about an alert,Read,Alert*,,
14,DescribeAnomalyDetectionExecutions,Grants permission to get information about an anomaly detection job,Read,AnomalyDetector*,,
15,DescribeAnomalyDetector,Grants permission to get details about an anomaly detector,Read,AnomalyDetector*,,
16,DescribeMetricSet,Grants permission to get details about a dataset,Read,MetricSet*,,
17,DetectMetricSetConfig,Grants permission to detect metric set config from data source,Write,AnomalyDetector*,,
18,GetAnomalyGroup,Grants permission to get details about a group of affected metrics,Read,AnomalyDetector*,,
19,GetDataQualityMetrics,Grants permission to get data quality metrics for an anomaly detector,Read,AnomalyDetector*,,
20,GetFeedback,Grants permission to get feedback on affected metrics for an anomaly group,Read,AnomalyDetector*,,
21,GetSampleData,Grants permission to get a selection of sample records from an Amazon S3 datasource,Read,,,
22,ListAlerts,Grants permission to get a list of alerts for a detector,List,AnomalyDetector,,
23,ListAnomalyDetectors,Grants permission to get a list of anomaly detectors,List,,,
24,ListAnomalyGroupRelatedMetrics,Grants permission to get a list of related measures in an anomaly group,List,AnomalyDetector*,,
25,ListAnomalyGroupSummaries,Grants permission to get a list of anomaly groups,List,AnomalyDetector*,,
26,ListAnomalyGroupTimeSeries,Grants permission to get a list of affected metrics for a measure in an anomaly group,List,AnomalyDetector*,,
27,ListMetricSets,Grants permission to get a list of datasets,List,AnomalyDetector,,
28,ListTagsForResource,"Grants permission to get a list of tags for a detector, dataset, or alert",Read,Alert,,
29,ListTagsForResource,"Grants permission to get a list of tags for a detector, dataset, or alert",Read,AnomalyDetector,,
30,ListTagsForResource,"Grants permission to get a list of tags for a detector, dataset, or alert",Read,MetricSet,,
31,PutFeedback,Grants permission to add feedback for an affected metric in an anomaly group,Write,AnomalyDetector*,,
32,TagResource,"Grants permission to add tags to a detector, dataset, or alert",Tagging,Alert,,
33,TagResource,"Grants permission to add tags to a detector, dataset, or alert",Tagging,AnomalyDetector,,
34,TagResource,"Grants permission to add tags to a detector, dataset, or alert",Tagging,MetricSet,,
35,TagResource,"Grants permission to add tags to a detector, dataset, or alert",Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
36,UntagResource,"Grants permission to remove tags from a detector, dataset, or alert",Tagging,Alert,,
37,UntagResource,"Grants permission to remove tags from a detector, dataset, or alert",Tagging,AnomalyDetector,,
38,UntagResource,"Grants permission to remove tags from a detector, dataset, or alert",Tagging,MetricSet,,
39,UntagResource,"Grants permission to remove tags from a detector, dataset, or alert",Tagging,,aws:TagKeys,
40,UpdateAlert,Grants permission to update an alert for an anomaly detector,Write,Alert*,,
41,UpdateAnomalyDetector,Grants permission to update an anomaly detector,Write,AnomalyDetector*,,
42,UpdateMetricSet,Grants permission to update a dataset,Write,MetricSet*,,
