,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDataset,Grants permission to create a dataset manifest,Write,,,
1,CreateModel,Grants permission to create a new anomaly detection model,Write,model*,,
2,CreateModel,Grants permission to create a new anomaly detection model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateProject,Grants permission to create a new project,Write,project*,,
4,DeleteDataset,Grants permission to delete a dataset,Write,,,
5,DeleteModel,Grants permission to delete a model and all associated assets,Write,model*,,
6,DeleteProject,Grants permission to permanently remove a project,Write,project*,,
7,DescribeDataset,Grants permission to show detailed information about dataset manifest,Read,,,
8,DescribeModel,Grants permission to show detailed information about a model,Read,model*,,
9,DescribeModelPackagingJob,Grants permission to show detailed information about a model packaging job,Read,,,
10,DescribeProject,Grants permission to show detailed information about a project,Read,project*,,
11,DescribeTrialDetection [permission only],Grants permission to provides state information about a running anomaly detection job,Read,,,
12,DetectAnomalies,Grants permission to invoke detection of anomalies,Write,model*,,
13,ListDatasetEntries,Grants permission to list the contents of dataset manifest,Read,,,
14,ListModelPackagingJobs,Grants permission to list all model packaging jobs associated with a project,List,,,
15,ListModels,Grants permission to list all models associated with a project,List,,,
16,ListProjects,Grants permission to list all projects,List,,,
17,ListTagsForResource,Grants permission to list tags for a resource,Read,model,,
18,ListTrialDetections [permission only],Grants permission to list all anomaly detection jobs,List,,,
19,StartModel,Grants permission to start anomaly detection model,Write,model*,,
20,StartModelPackagingJob,Grants permission to start a model packaging job,Write,model*,,
21,StartTrialDetection [permission only],Grants permission to start bulk detection of anomalies for a set of images stored in an S3 bucket,Write,,,
22,StopModel,Grants permission to stop anomaly detection model,Write,model*,,
23,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,model,,
24,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,model,,
26,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,,aws:TagKeys,
27,UpdateDatasetEntries,Grants permission to update a training or test dataset manifest,Write,,,
