,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateBroker,Grants permission to create a broker,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,ec2:CreateNetworkInterface  ec2:CreateNetworkInterfacePermission  ec2:CreateSecurityGroup  ec2:CreateVpcEndpoint  ec2:DescribeInternetGateways  ec2:DescribeNetworkInterfacePermissions  ec2:DescribeNetworkInterfaces  ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcEndpoints  ec2:DescribeVpcs  ec2:ModifyNetworkInterfaceAttribute  iam:CreateServiceLinkedRole  route53:AssociateVPCWithHostedZone
1,CreateConfiguration,Grants permission to create a new configuration for the specified configuration name. Amazon MQ uses the default configuration (the engine type and engine version),Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateTags,Grants permission to create tags,Tagging,brokers,,
3,CreateTags,Grants permission to create tags,Tagging,configurations,,
4,CreateTags,Grants permission to create tags,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateUser,Grants permission to create an ActiveMQ user,Write,brokers*,,
6,DeleteBroker,Grants permission to delete a broker,Write,brokers*,,ec2:DeleteNetworkInterface  ec2:DeleteNetworkInterfacePermission  ec2:DeleteVpcEndpoints  ec2:DetachNetworkInterface
7,DeleteTags,Grants permission to delete tags,Tagging,brokers,,
8,DeleteTags,Grants permission to delete tags,Tagging,configurations,,
9,DeleteTags,Grants permission to delete tags,Tagging,,aws:TagKeys,
10,DeleteUser,Grants permission to delete an ActiveMQ user,Write,brokers*,,
11,DescribeBroker,Grants permission to return information about the specified broker,Read,brokers*,,
12,DescribeBrokerEngineTypes,Grants permission to return information about broker engines,Read,,,
13,DescribeBrokerInstanceOptions,Grants permission to return information about the broker instance options,Read,,,
14,DescribeConfiguration,Grants permission to return information about the specified configuration,Read,configurations*,,
15,DescribeConfigurationRevision,Grants permission to return the specified configuration revision for the specified configuration,Read,configurations*,,
16,DescribeUser,Grants permission to return information about an ActiveMQ user,Read,brokers*,,
17,ListBrokers,Grants permission to return a list of all brokers,List,,,
18,ListConfigurationRevisions,Grants permission to return a list of all existing revisions for the specified configuration,List,configurations*,,
19,ListConfigurations,Grants permission to return a list of all configurations,List,,,
20,ListTags,Grants permission to return a list of tags,List,brokers,,
21,ListTags,Grants permission to return a list of tags,List,configurations,,
22,ListUsers,Grants permission to return a list of all ActiveMQ users,List,brokers*,,
23,RebootBroker,Grants permission to reboot a broker,Write,brokers*,,
24,UpdateBroker,Grants permission to add a pending configuration change to a broker,Write,brokers*,,
25,UpdateConfiguration,Grants permission to update the specified configuration,Write,configurations*,,
26,UpdateUser,Grants permission to update the information for an ActiveMQ user,Write,brokers*,,
