,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTags,"Adds one or more tags to an object, up to a limit of 10. Each tag consists of a key and an optional value",Tagging,batchprediction,,
1,AddTags,"Adds one or more tags to an object, up to a limit of 10. Each tag consists of a key and an optional value",Tagging,datasource,,
2,AddTags,"Adds one or more tags to an object, up to a limit of 10. Each tag consists of a key and an optional value",Tagging,evaluation,,
3,AddTags,"Adds one or more tags to an object, up to a limit of 10. Each tag consists of a key and an optional value",Tagging,mlmodel,,
4,CreateBatchPrediction,Generates predictions for a group of observations,Write,batchprediction*,,
5,CreateBatchPrediction,Generates predictions for a group of observations,Write,datasource*,,
6,CreateBatchPrediction,Generates predictions for a group of observations,Write,mlmodel*,,
7,CreateDataSourceFromRDS,Creates a DataSource object from an Amazon RDS,Write,datasource*,,
8,CreateDataSourceFromRedshift,Creates a DataSource from a database hosted on an Amazon Redshift cluster,Write,datasource*,,
9,CreateDataSourceFromS3,Creates a DataSource object from S3,Write,datasource*,,
10,CreateEvaluation,Creates a new Evaluation of an MLModel,Write,datasource*,,
11,CreateEvaluation,Creates a new Evaluation of an MLModel,Write,evaluation*,,
12,CreateEvaluation,Creates a new Evaluation of an MLModel,Write,mlmodel*,,
13,CreateMLModel,Creates a new MLModel,Write,datasource*,,
14,CreateMLModel,Creates a new MLModel,Write,mlmodel*,,
15,CreateRealtimeEndpoint,Creates a real-time endpoint for the MLModel,Write,mlmodel*,,
16,DeleteBatchPrediction,"Assigns the DELETED status to a BatchPrediction, rendering it unusable",Write,batchprediction*,,
17,DeleteDataSource,"Assigns the DELETED status to a DataSource, rendering it unusable",Write,datasource*,,
18,DeleteEvaluation,"Assigns the DELETED status to an Evaluation, rendering it unusable",Write,evaluation*,,
19,DeleteMLModel,"Assigns the DELETED status to an MLModel, rendering it unusable",Write,mlmodel*,,
20,DeleteRealtimeEndpoint,Deletes a real time endpoint of an MLModel,Write,mlmodel*,,
21,DeleteTags,"Deletes the specified tags associated with an ML object. After this operation is complete, you can't recover deleted tags",Tagging,batchprediction,,
22,DeleteTags,"Deletes the specified tags associated with an ML object. After this operation is complete, you can't recover deleted tags",Tagging,datasource,,
23,DeleteTags,"Deletes the specified tags associated with an ML object. After this operation is complete, you can't recover deleted tags",Tagging,evaluation,,
24,DeleteTags,"Deletes the specified tags associated with an ML object. After this operation is complete, you can't recover deleted tags",Tagging,mlmodel,,
25,DescribeBatchPredictions,Returns a list of BatchPrediction operations that match the search criteria in the request,List,,,
26,DescribeDataSources,Returns a list of DataSource that match the search criteria in the request,List,,,
27,DescribeEvaluations,Returns a list of DescribeEvaluations that match the search criteria in the request,List,,,
28,DescribeMLModels,Returns a list of MLModel that match the search criteria in the request,List,,,
29,DescribeTags,Describes one or more of the tags for your Amazon ML object,List,batchprediction,,
30,DescribeTags,Describes one or more of the tags for your Amazon ML object,List,datasource,,
31,DescribeTags,Describes one or more of the tags for your Amazon ML object,List,evaluation,,
32,DescribeTags,Describes one or more of the tags for your Amazon ML object,List,mlmodel,,
33,GetBatchPrediction,"Returns a BatchPrediction that includes detailed metadata, status, and data file information",Read,batchprediction*,,
34,GetDataSource,"Returns a DataSource that includes metadata and data file information, as well as the current status of the DataSource",Read,datasource*,,
35,GetEvaluation,Returns an Evaluation that includes metadata as well as the current status of the Evaluation,Read,datasource*,,
36,GetMLModel,"Returns an MLModel that includes detailed metadata, and data source information as well as the current status of the MLModel",Read,mlmodel*,,
37,Predict,Generates a prediction for the observation using the specified ML Model,Write,mlmodel*,,
38,UpdateBatchPrediction,Updates the BatchPredictionName of a BatchPrediction,Write,batchprediction*,,
39,UpdateDataSource,Updates the DataSourceName of a DataSource,Write,datasource*,,
40,UpdateEvaluation,Updates the EvaluationName of an Evaluation,Write,evaluation*,,
41,UpdateMLModel,Updates the MLModelName and the ScoreThreshold of an MLModel,Write,mlmodel*,,
