,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptInvitation,Grants permission to accept an Amazon Macie membership invitation,Write,,,
1,BatchGetCustomDataIdentifiers,Grants permission to retrieve information about one or more custom data identifiers,Read,CustomDataIdentifier*,,
2,CreateAllowList,Grants permission to create and define the settings for an allow list,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateClassificationJob,Grants permission to create and define the settings for a sensitive data discovery job,Write,ClassificationJob*,,
4,CreateClassificationJob,Grants permission to create and define the settings for a sensitive data discovery job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateCustomDataIdentifier,Grants permission to create and define the settings for a custom data identifier,Write,CustomDataIdentifier*,,
6,CreateCustomDataIdentifier,Grants permission to create and define the settings for a custom data identifier,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateFindingsFilter,Grants permission to create and define the settings for a findings filter,Write,FindingsFilter*,,
8,CreateFindingsFilter,Grants permission to create and define the settings for a findings filter,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateInvitations,Grants permission to send an Amazon Macie membership invitation,Write,,,
10,CreateMember,Grants permission to associate an account with an Amazon Macie administrator account,Write,Member*,,
11,CreateMember,Grants permission to associate an account with an Amazon Macie administrator account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateSampleFindings,Grants permission to create sample findings,Write,,,
13,DeclineInvitations,Grants permission to decline Amazon Macie membership invitations,Write,,,
14,DeleteAllowList,Grants permission to delete an allow list,Write,AllowList*,,
15,DeleteCustomDataIdentifier,Grants permission to delete a custom data identifier,Write,CustomDataIdentifier*,,
16,DeleteFindingsFilter,Grants permission to delete a findings filter,Write,FindingsFilter*,,
17,DeleteInvitations,Grants permission to delete Amazon Macie membership invitations,Write,,,
18,DeleteMember,Grants permission to delete the association between an Amazon Macie administrator account and an account,Write,Member*,,
19,DescribeBuckets,Grants permission to retrieve statistical data and other information about S3 buckets that Amazon Macie monitors and analyzes,Read,,,
20,DescribeClassificationJob,Grants permission to retrieve information about the status and settings for a sensitive data discovery job,Read,ClassificationJob*,,
21,DescribeOrganizationConfiguration,Grants permission to retrieve information about the Amazon Macie configuration settings for an AWS organization,Read,,,
22,DisableMacie,"Grants permission to disable an Amazon Macie account, which also deletes Macie resources for the account",Write,,,
23,DisableOrganizationAdminAccount,Grants permission to disable an account as the delegated Amazon Macie administrator account for an AWS organization,Write,,,
24,DisassociateFromAdministratorAccount,Grants permission to an Amazon Macie member account to disassociate from its Macie administrator account,Write,,,
25,DisassociateFromMasterAccount,Grants permission to an Amazon Macie member account to disassociate from its Macie administrator account,Write,,,
26,DisassociateMember,Grants permission to an Amazon Macie administrator account to disassociate from a Macie member account,Write,Member*,,
27,EnableMacie,Grants permission to enable and specify the configuration settings for a new Amazon Macie account,Write,,,
28,EnableOrganizationAdminAccount,Grants permission to enable an account as the delegated Amazon Macie administrator account for an AWS organization,Write,,,
29,GetAdministratorAccount,Grants permission to retrieve information about the Amazon Macie administrator account for an account,Read,,,
30,GetAllowList,Grants permission to retrieve the settings and status of an allow list,Read,AllowList*,,
31,GetBucketStatistics,Grants permission to retrieve aggregated statistical data for all the S3 buckets that Amazon Macie monitors and analyzes,Read,,,
32,GetClassificationExportConfiguration,Grants permission to retrieve the settings for exporting sensitive data discovery results,Read,,,
33,GetCustomDataIdentifier,Grants permission to retrieve information about the settings for a custom data identifier,Read,CustomDataIdentifier*,,
34,GetFindingStatistics,Grants permission to retrieve aggregated statistical data about findings,Read,,,
35,GetFindings,Grants permission to retrieve the details of one or more findings,Read,,,
36,GetFindingsFilter,Grants permission to retrieve information about the settings for a findings filter,Read,FindingsFilter*,,
37,GetFindingsPublicationConfiguration,Grants permission to retrieve the configuration settings for publishing findings to AWS Security Hub,Read,,,
38,GetInvitationsCount,Grants permission to retrieve the count of Amazon Macie membership invitations that were received by an account,Read,,,
39,GetMacieSession,Grants permission to retrieve information about the status and configuration settings for an Amazon Macie account,Read,,,
40,GetMasterAccount,Grants permission to retrieve information about the Amazon Macie administrator account for an account,Read,,,
41,GetMember,Grants permission to retrieve information about an account that's associated with an Amazon Macie administrator account,Read,Member*,,
42,GetRevealConfiguration,Grants permission to retrieve the status and configuration settings for retrieving occurrences of sensitive data reported by findings,Read,,,
43,GetSensitiveDataOccurrences,Grants permission to retrieve occurrences of sensitive data reported by a finding,Read,,,
44,GetSensitiveDataOccurrencesAvailability,Grants permission to check whether occurrences of sensitive data can be retrieved for a finding,Read,,,
45,GetUsageStatistics,Grants permission to retrieve quotas and aggregated usage data for one or more accounts,Read,,,
46,GetUsageTotals,Grants permission to retrieve aggregated usage data for an account,Read,,,
47,ListAllowLists,Grants permission to retrieve a subset of information about all the allow lists for an account,List,,,
48,ListClassificationJobs,Grants permission to retrieve a subset of information about the status and settings for one or more sensitive data discovery jobs,List,,,
49,ListCustomDataIdentifiers,Grants permission to retrieve information about all custom data identifiers,List,,,
50,ListFindings,Grants permission to retrieve a subset of information about one or more findings,List,,,
51,ListFindingsFilters,Grants permission to retrieve information about all findings filters,List,,,
52,ListInvitations,Grants permission to retrieve information about all the Amazon Macie membership invitations that were received by an account,List,,,
53,ListManagedDataIdentifiers,Grants permission to retrieve information about managed data identifiers,List,,,
54,ListMembers,Grants permission to retrieve information about the Amazon Macie member accounts that are associated with a Macie administrator account,List,,,
55,ListOrganizationAdminAccounts,"Grants permission to retrieve information about the delegated, Amazon Macie administrator account for an AWS organization",List,,,
56,ListTagsForResource,Grants permission to retrieve the tags for an Amazon Macie resource,Read,AllowList,,
57,ListTagsForResource,Grants permission to retrieve the tags for an Amazon Macie resource,Read,ClassificationJob,,
58,ListTagsForResource,Grants permission to retrieve the tags for an Amazon Macie resource,Read,CustomDataIdentifier,,
59,ListTagsForResource,Grants permission to retrieve the tags for an Amazon Macie resource,Read,FindingsFilter,,
60,ListTagsForResource,Grants permission to retrieve the tags for an Amazon Macie resource,Read,Member,,
61,PutClassificationExportConfiguration,Grants permission to create or update the settings for storing sensitive data discovery results,Write,,,
62,PutFindingsPublicationConfiguration,Grants permission to update the configuration settings for publishing findings to AWS Security Hub,Write,,,
63,SearchResources,Grants permission to retrieve statistical data and other information about AWS resources that Amazon Macie monitors and analyzes,Read,,,
64,TagResource,Grants permission to add or update the tags for an Amazon Macie resource,Tagging,AllowList,,
65,TagResource,Grants permission to add or update the tags for an Amazon Macie resource,Tagging,ClassificationJob,,
66,TagResource,Grants permission to add or update the tags for an Amazon Macie resource,Tagging,CustomDataIdentifier,,
67,TagResource,Grants permission to add or update the tags for an Amazon Macie resource,Tagging,FindingsFilter,,
68,TagResource,Grants permission to add or update the tags for an Amazon Macie resource,Tagging,Member,,
