,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateMember,Grants permission to create a member of an Amazon Managed Blockchain network,Write,network*,,iam:CreateServiceLinkedRole
1,CreateMember,Grants permission to create a member of an Amazon Managed Blockchain network,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,CreateNetwork,Grants permission to create an Amazon Managed Blockchain network,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole
3,CreateNode,Grants permission to create a node within a member of an Amazon Managed Blockchain network,Write,member,,iam:CreateServiceLinkedRole
4,CreateNode,Grants permission to create a node within a member of an Amazon Managed Blockchain network,Write,network,,
5,CreateNode,Grants permission to create a node within a member of an Amazon Managed Blockchain network,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateProposal,Grants permission to create a proposal that other blockchain network members can vote on to add or remove a member in an Amazon Managed Blockchain network,Write,network*,,
7,CreateProposal,Grants permission to create a proposal that other blockchain network members can vote on to add or remove a member in an Amazon Managed Blockchain network,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
8,DeleteMember,Grants permission to delete a member and all associated resources from an Amazon Managed Blockchain network,Write,member*,,
9,DeleteNode,Grants permission to delete a node from a member of an Amazon Managed Blockchain network,Write,node*,,
10,GetMember,Grants permission to return detailed information about a member of an Amazon Managed Blockchain network,Read,member*,,
11,GetNetwork,Grants permission to return detailed information about an Amazon Managed Blockchain network,Read,network*,,
12,GetNode,Grants permission to return detailed information about a node within a member of an Amazon Managed Blockchain network,Read,node*,,
13,GetProposal,Grants permission to return detailed information about a proposal of an Amazon Managed Blockchain network,Read,proposal*,,
14,ListInvitations,Grants permission to list the invitations extended to the active AWS account from any Managed Blockchain network,List,,,
15,ListMembers,Grants permission to list the members of an Amazon Managed Blockchain network and the properties of their memberships,List,network*,,
16,ListNetworks,Grants permission to list the Amazon Managed Blockchain networks in which the current AWS account participates,List,,,
17,ListNodes,Grants permission to list the nodes within a member of an Amazon Managed Blockchain network,List,member,,
18,ListNodes,Grants permission to list the nodes within a member of an Amazon Managed Blockchain network,List,network,,
19,ListProposalVotes,"Grants permission to list all votes for a proposal, including the value of the vote and the unique identifier of the member that cast the vote for the given Amazon Managed Blockchain network",Read,proposal*,,
20,ListProposals,Grants permission to list proposals for the given Amazon Managed Blockchain network,List,network*,,
21,ListTagsForResource,Grants permission to view tags associated with an Amazon Managed Blockchain resource,Read,invitation,,
22,ListTagsForResource,Grants permission to view tags associated with an Amazon Managed Blockchain resource,Read,member,,
23,ListTagsForResource,Grants permission to view tags associated with an Amazon Managed Blockchain resource,Read,network,,
24,ListTagsForResource,Grants permission to view tags associated with an Amazon Managed Blockchain resource,Read,node,,
25,ListTagsForResource,Grants permission to view tags associated with an Amazon Managed Blockchain resource,Read,proposal,,
26,RejectInvitation,Grants permission to reject the invitation to join the blockchain network,Write,invitation*,,
27,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,invitation,,
28,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,member,,
29,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,network,,
30,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,node,,
31,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,proposal,,
32,TagResource,Grants permission to add tags to an Amazon Managed Blockchain resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
33,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,invitation,,
34,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,member,,
35,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,network,,
36,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,node,,
37,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,proposal,,
38,UntagResource,Grants permission to remove tags from an Amazon Managed Blockchain resource,Tagging,,aws:TagKeys,
39,UpdateMember,Grants permission to update a member of an Amazon Managed Blockchain network,Write,member*,,iam:CreateServiceLinkedRole
40,UpdateNode,Grants permission to update a node from a member of an Amazon Managed Blockchain network,Write,node*,,iam:CreateServiceLinkedRole
41,VoteOnProposal,Grants permission to cast a vote for a proposal on behalf of the blockchain network member specified,Write,proposal*,,
