,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAlertManagerAlerts,Grants permission to create alerts,Write,workspace*,,
1,CreateAlertManagerAlerts,Grants permission to create alerts,Write,,aws:ResourceTag/${TagKey},
2,CreateAlertManagerDefinition,Grants permission to create an alert manager definition,Write,workspace*,,
3,CreateAlertManagerDefinition,Grants permission to create an alert manager definition,Write,,aws:ResourceTag/${TagKey},
4,CreateLoggingConfiguration,Grants permission to create a logging configuration,Write,workspace*,,
5,CreateLoggingConfiguration,Grants permission to create a logging configuration,Write,,aws:ResourceTag/${TagKey},
6,CreateRuleGroupsNamespace,Grants permission to create a rule groups namespace,Write,rulegroupsnamespace*,,
7,CreateRuleGroupsNamespace,Grants permission to create a rule groups namespace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateWorkspace,Grants permission to create a workspace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteAlertManagerDefinition,Grants permission to delete an alert manager definition,Write,workspace*,,
10,DeleteAlertManagerDefinition,Grants permission to delete an alert manager definition,Write,,aws:ResourceTag/${TagKey},
11,DeleteAlertManagerSilence,Grants permission to delete a silence,Write,workspace*,,
12,DeleteAlertManagerSilence,Grants permission to delete a silence,Write,,aws:ResourceTag/${TagKey},
13,DeleteLoggingConfiguration,Grants permission to delete a logging configuration,Write,workspace*,,
14,DeleteLoggingConfiguration,Grants permission to delete a logging configuration,Write,,aws:ResourceTag/${TagKey},
15,DeleteRuleGroupsNamespace,Grants permission to delete a rule groups namespace,Write,rulegroupsnamespace*,,
16,DeleteRuleGroupsNamespace,Grants permission to delete a rule groups namespace,Write,,aws:ResourceTag/${TagKey},
17,DeleteWorkspace,Grants permission to delete a workspace,Write,workspace*,,
18,DeleteWorkspace,Grants permission to delete a workspace,Write,,aws:ResourceTag/${TagKey},
19,DescribeAlertManagerDefinition,Grants permission to describe an alert manager definition,Read,workspace*,,
20,DescribeAlertManagerDefinition,Grants permission to describe an alert manager definition,Read,,aws:ResourceTag/${TagKey},
21,DescribeLoggingConfiguration,Grants permission to describe a logging configuration,Read,workspace*,,
22,DescribeLoggingConfiguration,Grants permission to describe a logging configuration,Read,,aws:ResourceTag/${TagKey},
23,DescribeRuleGroupsNamespace,Grants permission to describe a rule groups namespace,Read,rulegroupsnamespace*,,
24,DescribeRuleGroupsNamespace,Grants permission to describe a rule groups namespace,Read,,aws:ResourceTag/${TagKey},
25,DescribeWorkspace,Grants permission to describe a workspace,Read,workspace*,,
26,DescribeWorkspace,Grants permission to describe a workspace,Read,,aws:ResourceTag/${TagKey},
27,GetAlertManagerSilence,Grants permission to get a silence,Read,workspace*,,
28,GetAlertManagerSilence,Grants permission to get a silence,Read,,aws:ResourceTag/${TagKey},
29,GetAlertManagerStatus,Grants permission to get current status of an alertmanager,Read,workspace*,,
30,GetAlertManagerStatus,Grants permission to get current status of an alertmanager,Read,,aws:ResourceTag/${TagKey},
31,GetLabels,Grants permission to retrieve AMP workspace labels,Read,workspace*,,
32,GetLabels,Grants permission to retrieve AMP workspace labels,Read,,aws:ResourceTag/${TagKey},
33,GetMetricMetadata,Grants permission to retrieve the metadata for AMP workspace metrics,Read,workspace*,,
34,GetMetricMetadata,Grants permission to retrieve the metadata for AMP workspace metrics,Read,,aws:ResourceTag/${TagKey},
35,GetSeries,Grants permission to retrieve AMP workspace time series data,Read,workspace*,,
36,GetSeries,Grants permission to retrieve AMP workspace time series data,Read,,aws:ResourceTag/${TagKey},
