,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchAssociateScramSecret,Grants permission to associate one or more Scram Secrets with an Amazon MSK cluster,Write,,,kms:CreateGrant  kms:RetireGrant
1,BatchDisassociateScramSecret,Grants permission to disassociate one or more Scram Secrets from an Amazon MSK cluster,Write,,,kms:RetireGrant
2,CreateCluster,Grants permission to create an MSK cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcs  iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  kms:CreateGrant  kms:DescribeKey
3,CreateClusterV2,Grants permission to create an MSK cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,ec2:CreateTags  ec2:CreateVpcEndpoint  ec2:DeleteVpcEndpoints  ec2:DescribeSecurityGroups  ec2:DescribeSubnets  ec2:DescribeVpcAttribute  ec2:DescribeVpcEndpoints  ec2:DescribeVpcs  iam:AttachRolePolicy  iam:CreateServiceLinkedRole  iam:PutRolePolicy  kms:CreateGrant  kms:DescribeKey
4,CreateConfiguration,Grants permission to create an MSK configuration,Write,,,
5,DeleteCluster,Grants permission to delete an MSK cluster,Write,,,ec2:DeleteVpcEndpoints  ec2:DescribeVpcAttribute  ec2:DescribeVpcEndpoints
6,DeleteConfiguration,Grants permission to delete the specified MSK configuration,Write,,,
7,DescribeCluster,Grants permission to describe an MSK cluster,Read,,,
8,DescribeClusterOperation,Grants permission to describe the cluster operation that is specified by the given ARN,Read,,,
9,DescribeClusterV2,Grants permission to describe an MSK cluster,Read,,,
10,DescribeConfiguration,Grants permission to describe an MSK configuration,Read,configuration*,,
11,DescribeConfigurationRevision,Grants permission to describe an MSK configuration revision,Read,configuration*,,
12,GetBootstrapBrokers,Grants permission to get connection details for the brokers in an MSK cluster,Read,,,
13,GetCompatibleKafkaVersions,Grants permission to get a list of the Apache Kafka versions to which you can update an MSK cluster,List,,,
14,ListClusterOperations,Grants permission to return a list of all the operations that have been performed on the specified MSK cluster,List,,,
15,ListClusters,Grants permission to list all MSK clusters in this account,List,,,
16,ListClustersV2,Grants permission to list all MSK clusters in this account,List,,,
17,ListConfigurationRevisions,Grants permission to list all revisions for an MSK configuration in this account,List,,,
18,ListConfigurations,Grants permission to list all MSK configurations in this account,List,,,
19,ListKafkaVersions,Grants permission to list all Apache Kafka versions supported by Amazon MSK,List,,,
20,ListNodes,Grants permission to list brokers in an MSK cluster,List,,,
21,ListScramSecrets,Grants permission to list the Scram Secrets associated with an Amazon MSK cluster,List,,,
22,ListTagsForResource,Grants permission to list tags of an MSK resource,Read,cluster*,,
23,RebootBroker,Grants permission to reboot broker,Write,,,
24,TagResource,Grants permission to tag an MSK resource,Tagging,cluster*,,
25,TagResource,Grants permission to tag an MSK resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,UntagResource,Grants permission to remove tags from an MSK resource,Tagging,cluster*,,
27,UntagResource,Grants permission to remove tags from an MSK resource,Tagging,,aws:TagKeys,
28,UpdateBrokerCount,Grants permission to update the number of brokers of the MSK cluster,Write,,,
29,UpdateBrokerStorage,Grants permission to update the storage size of the brokers of the MSK cluster,Write,,,
30,UpdateBrokerType,Grants permission to update the broker type of an Amazon MSK cluster,Write,,,
31,UpdateClusterConfiguration,Grants permission to update the configuration of the MSK cluster,Write,,,
32,UpdateClusterKafkaVersion,Grants permission to update the MSK cluster to the specified Apache Kafka version,Write,,,
33,UpdateConfiguration,Grants permission to create a new revision of the MSK configuration,Write,,,
34,UpdateConnectivity,Grants permission to update the connectivity settings for the MSK cluster,Write,,,ec2:DescribeRouteTables  ec2:DescribeSubnets
35,UpdateMonitoring,Grants permission to update the monitoring settings for the MSK cluster,Write,,,
36,UpdateSecurity,Grants permission to update the security settings for the MSK cluster,Write,,,kms:RetireGrant
37,UpdateStorage,Grants permission to update the EBS storage (size or provisioned throughput) associated with MSK brokers or set cluster storage mode to TIERED,Write,,,
