,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCliToken,Grants permission to create a short-lived token that allows a user to invoke Airflow CLI via an endpoint on the Apache Airflow Webserver,Write,environment*,,
1,CreateEnvironment,Grants permission to create an Amazon MWAA environment,Write,environment*,,
2,CreateEnvironment,Grants permission to create an Amazon MWAA environment,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateWebLoginToken,Grants permission to create a short-lived token that allows a user to log into Apache Airflow web UI,Write,rbac-role*,,
4,DeleteEnvironment,Grants permission to delete an Amazon MWAA environment,Write,environment*,,
5,DeleteEnvironment,Grants permission to delete an Amazon MWAA environment,Write,,aws:ResourceTag/${TagKey},
6,GetEnvironment,Grants permission to view details about an Amazon MWAA environment,Read,environment*,,
7,GetEnvironment,Grants permission to view details about an Amazon MWAA environment,Read,,aws:ResourceTag/${TagKey},
8,ListEnvironments,Grants permission to list the Amazon MWAA environments in your account,List,,,
9,ListTagsForResource,Grants permission to lists tag for an Amazon MWAA environment,Read,environment,,
10,ListTagsForResource,Grants permission to lists tag for an Amazon MWAA environment,Read,,aws:ResourceTag/${TagKey},
11,PublishMetrics,Grants permission to publish metrics for an Amazon MWAA environment,Write,environment*,,
12,TagResource,Grants permission to tag an Amazon MWAA environment,Tagging,environment,,
13,TagResource,Grants permission to tag an Amazon MWAA environment,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
14,UntagResource,Grants permission to untag an Amazon MWAA environment,Tagging,environment,,
15,UntagResource,Grants permission to untag an Amazon MWAA environment,Tagging,,aws:TagKeys  aws:ResourceTag/${TagKey},
16,UpdateEnvironment,Grants permission to modify an Amazon MWAA environment,Write,environment*,,
17,UpdateEnvironment,Grants permission to modify an Amazon MWAA environment,Write,,aws:ResourceTag/${TagKey},
