,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptQualificationRequest,The AcceptQualificationRequest operation grants a Worker's request for a Qualification,Write,,,
1,ApproveAssignment,The ApproveAssignment operation approves the results of a completed assignment,Write,,,
2,AssociateQualificationWithWorker,The AssociateQualificationWithWorker operation gives a Worker a Qualification,Write,,,
3,CreateAdditionalAssignmentsForHIT,The CreateAdditionalAssignmentsForHIT operation increases the maximum number of assignments of an existing HIT,Write,,,
4,CreateHIT,The CreateHIT operation creates a new HIT (Human Intelligence Task),Write,,,
5,CreateHITType,The CreateHITType operation creates a new HIT type,Write,,,
6,CreateHITWithHITType,The CreateHITWithHITType operation creates a new Human Intelligence Task (HIT) using an existing HITTypeID generated by the CreateHITType operation,Write,,,
7,CreateQualificationType,"The CreateQualificationType operation creates a new Qualification type, which is represented by a QualificationType data structure",Write,,,
8,CreateWorkerBlock,The CreateWorkerBlock operation allows you to prevent a Worker from working on your HITs,Write,,,
9,DeleteHIT,The DeleteHIT operation disposes of a HIT that is no longer needed,Write,,,
10,DeleteQualificationType,The DeleteQualificationType disposes a Qualification type and disposes any HIT types that are associated with the Qualification type,Write,,,
11,DeleteWorkerBlock,The DeleteWorkerBlock operation allows you to reinstate a blocked Worker to work on your HITs,Write,,,
12,DisassociateQualificationFromWorker,The DisassociateQualificationFromWorker revokes a previously granted Qualification from a user,Write,,,
13,GetAccountBalance,The GetAccountBalance operation retrieves the amount of money in your Amazon Mechanical Turk account,Read,,,
14,GetAssignment,"The GetAssignment retrieves an assignment with an AssignmentStatus value of Submitted, Approved, or Rejected, using the assignment's ID",Read,,,
15,GetFileUploadURL,The GetFileUploadURL operation generates and returns a temporary URL,Read,,,
16,GetHIT,The GetHIT operation retrieves the details of the specified HIT,Read,,,
17,GetQualificationScore,The GetQualificationScore operation returns the value of a Worker's Qualification for a given Qualification type,Read,,,
18,GetQualificationType,The GetQualificationType operation retrieves information about a Qualification type using its ID,Read,,,
19,ListAssignmentsForHIT,The ListAssignmentsForHIT operation retrieves completed assignments for a HIT,List,,,
20,ListBonusPayments,The ListBonusPayments operation retrieves the amounts of bonuses you have paid to Workers for a given HIT or assignment,List,,,
21,ListHITs,The ListHITs operation returns all of a Requester's HITs,List,,,
22,ListHITsForQualificationType,The ListHITsForQualificationType operation returns the HITs that use the given QualififcationType for a QualificationRequirement,List,,,
23,ListQualificationRequests,The ListQualificationRequests operation retrieves requests for Qualifications of a particular Qualification type,List,,,
24,ListQualificationTypes,"The ListQualificationTypes operation searches for Qualification types using the specified search query, and returns a list of Qualification types",List,,,
25,ListReviewPolicyResultsForHIT,The ListReviewPolicyResultsForHIT operation retrieves the computed results and the actions taken in the course of executing your Review Policies during a CreateHIT operation,List,,,
26,ListReviewableHITs,The ListReviewableHITs operation returns all of a Requester's HITs that have not been approved or rejected,List,,,
27,ListWorkerBlocks,The ListWorkersBlocks operation retrieves a list of Workers who are blocked from working on your HITs,List,,,
28,ListWorkersWithQualificationType,The ListWorkersWithQualificationType operation returns all of the Workers with a given Qualification type,List,,,
29,NotifyWorkers,The NotifyWorkers operation sends an email to one or more Workers that you specify with the Worker ID,Write,,,
30,RejectAssignment,The RejectAssignment operation rejects the results of a completed assignment,Write,,,
31,RejectQualificationRequest,The RejectQualificationRequest operation rejects a user's request for a Qualification,Write,,,
32,SendBonus,The SendBonus operation issues a payment of money from your account to a Worker,Write,,,
33,SendTestEventNotification,"The SendTestEventNotification operation causes Amazon Mechanical Turk to send a notification message as if a HIT event occurred, according to the provided notification specification",Write,,,
34,UpdateExpirationForHIT,The UpdateExpirationForHIT operation allows you extend the expiration time of a HIT beyond is current expiration or expire a HIT immediately,Write,,,
35,UpdateHITReviewStatus,The UpdateHITReviewStatus operation toggles the status of a HIT,Write,,,
36,UpdateHITTypeOfHIT,The UpdateHITTypeOfHIT operation allows you to change the HITType properties of a HIT,Write,,,
37,UpdateNotificationSettings,"The UpdateNotificationSettings operation creates, updates, disables or re-enables notifications for a HIT type",Write,,,
38,UpdateQualificationType,"The UpdateQualificationType operation modifies the attributes of an existing Qualification type, which is represented by a QualificationType data structure",Write,,,
