,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelLoaderJob,Grants permission to cancel a loader job,Write,database*,,
1,CancelMLDataProcessingJob,Grants permission to cancel an ML data processing job,Write,database*,,
2,CancelMLModelTrainingJob,Grants permission to cancel an ML model training job,Write,database*,,
3,CancelMLModelTransformJob,Grants permission to cancel an ML model transform job,Write,database*,,
4,CancelQuery,Grants permission to cancel a query,Write,database*,,
5,CreateMLEndpoint,Grants permission to create an ML endpoint,Write,database*,,
6,DeleteDataViaQuery,Grants permission to run delete data via query APIs on database,Write,database*,,
7,DeleteDataViaQuery,Grants permission to run delete data via query APIs on database,Write,,neptune-db:QueryLanguage,
8,DeleteMLEndpoint,Grants permission to delete an ML endpoint,Write,database*,,
9,DeleteStatistics,Grants permission to delete all the statistics in the database,Write,database*,,
10,GetEngineStatus,Grants permission to check the status of the Neptune engine,Read,database*,,
11,GetLoaderJobStatus,Grants permission to check the status of a loader job,Read,database*,,
12,GetMLDataProcessingJobStatus,Grants permission to check the status of an ML data processing job,Read,database*,,
13,GetMLEndpointStatus,Grants permission to check the status of an ML endpoint,Read,database*,,
14,GetMLModelTrainingJobStatus,Grants permission to check the status of an ML model training job,Read,database*,,
15,GetMLModelTransformJobStatus,Grants permission to check the status of an ML model transform job,Read,database*,,
16,GetQueryStatus,Grants permission to check the status of all active queries,Read,database*,,
17,GetQueryStatus,Grants permission to check the status of all active queries,Read,,neptune-db:QueryLanguage,
18,GetStatisticsStatus,Grants permission to check the status of statistics of the database,Read,database*,,
19,GetStreamRecords,Grants permission to fetch stream records from Neptune,Read,database*,,
20,GetStreamRecords,Grants permission to fetch stream records from Neptune,Read,,neptune-db:QueryLanguage,
21,ListLoaderJobs,Grants permission to list all the loader jobs,List,database*,,
22,ListMLDataProcessingJobs,Grants permission to list all the ML data processing jobs,List,database*,,
23,ListMLEndpoints,Grants permission to list all the ML endpoints,List,database*,,
24,ListMLModelTrainingJobs,Grants permission to list all the ML model training jobs,List,database*,,
25,ListMLModelTransformJobs,Grants permission to list all the ML model transform jobs,List,database*,,
26,ManageStatistics,Grants permission to manage statistics in the database,Write,database*,,
27,ReadDataViaQuery,Grants permission to run read data via query APIs on database,Read,database*,,
28,ReadDataViaQuery,Grants permission to run read data via query APIs on database,Read,,neptune-db:QueryLanguage,
29,ResetDatabase,Grants permission to get the token needed for reset and resets the Neptune database,Write,database*,,
30,StartLoaderJob,Grants permission to start a loader job,Write,database*,,
31,StartMLDataProcessingJob,Grants permission to start an ML data processing job,Write,database*,,
32,StartMLModelTrainingJob,Grants permission to start an ML model training job,Write,database*,,
33,StartMLModelTransformJob,Grants permission to start an ML model transform job,Write,database*,,
34,WriteDataViaQuery,Grants permission to run write data via query APIs on database,Write,database*,,
35,WriteDataViaQuery,Grants permission to run write data via query APIs on database,Write,,neptune-db:QueryLanguage,
36,connect,Grants permission to all data-access actions in engine versions prior to 1.2.0.0,Write,database*,,
