,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateBatchInferenceJob,Grants permission to create a batch inference job,Write,batchInferenceJob*,,
1,CreateBatchSegmentJob,Grants permission to create a batch segment job,Write,batchSegmentJob*,,
2,CreateCampaign,Grants permission to create a campaign,Write,campaign*,,
3,CreateDataset,Grants permission to create a dataset,Write,dataset*,,
4,CreateDatasetExportJob,Grants permission to create a dataset export job,Write,datasetExportJob*,,
5,CreateDatasetGroup,Grants permission to create a dataset group,Write,datasetGroup*,,
6,CreateDatasetImportJob,Grants permission to create a dataset import job,Write,datasetImportJob*,,
7,CreateEventTracker,Grants permission to create an event tracker,Write,eventTracker*,,
8,CreateFilter,Grants permission to create a filter,Write,filter*,,
9,CreateRecommender,Grants permission to create a recommender,Write,recommender*,,
10,CreateSchema,Grants permission to create a schema,Write,schema*,,
11,CreateSolution,Grants permission to create a solution,Write,solution*,,
12,CreateSolutionVersion,Grants permission to create a solution version,Write,solution*,,
13,DeleteCampaign,Grants permission to delete a campaign,Write,campaign*,,
14,DeleteDataset,Grants permission to delete a dataset,Write,dataset*,,
15,DeleteDatasetGroup,Grants permission to delete a dataset group,Write,datasetGroup*,,
16,DeleteEventTracker,Grants permission to delete an event tracker,Write,eventTracker*,,
17,DeleteFilter,Grants permission to delete a filter,Write,filter*,,
18,DeleteRecommender,Grants permission to delete a recommender,Write,recommender*,,
19,DeleteSchema,Grants permission to delete a schema,Write,schema*,,
20,DeleteSolution,Grants permission to delete a solution including all versions of the solution,Write,solution*,,
21,DescribeAlgorithm,Grants permission to describe an algorithm,Read,algorithm*,,
22,DescribeBatchInferenceJob,Grants permission to describe a batch inference job,Read,batchInferenceJob*,,
23,DescribeBatchSegmentJob,Grants permission to describe a batch segment job,Read,batchSegmentJob*,,
24,DescribeCampaign,Grants permission to describe a campaign,Read,campaign*,,
25,DescribeDataset,Grants permission to describe a dataset,Read,dataset*,,
26,DescribeDatasetExportJob,Grants permission to describe a dataset export job,Read,datasetExportJob*,,
27,DescribeDatasetGroup,Grants permission to describe a dataset group,Read,datasetGroup*,,
28,DescribeDatasetImportJob,Grants permission to describe a dataset import job,Read,datasetImportJob*,,
29,DescribeEventTracker,Grants permission to describe an event tracker,Read,eventTracker*,,
30,DescribeFeatureTransformation,Grants permission to describe a feature transformation,Read,featureTransformation*,,
31,DescribeFilter,Grants permission to describe a filter,Read,filter*,,
32,DescribeRecipe,Grants permission to describe a recipe,Read,recipe*,,
33,DescribeRecommender,Grants permission to describe a recommender,Read,recommender*,,
34,DescribeSchema,Grants permission to describe a schema,Read,schema*,,
35,DescribeSolution,Grants permission to describe a solution,Read,solution*,,
36,DescribeSolutionVersion,Grants permission to describe a version of a solution,Read,solution*,,
37,GetPersonalizedRanking,Grants permission to get a re-ranked list of recommendations,Read,campaign*,,
38,GetRecommendations,Grants permission to get a list of recommendations from a campaign,Read,campaign*,,
39,GetSolutionMetrics,Grants permission to get metrics for a solution version,Read,solution*,,
40,ListBatchInferenceJobs,Grants permission to list batch inference jobs,List,,,
41,ListBatchSegmentJobs,Grants permission to list batch segment jobs,List,,,
42,ListCampaigns,Grants permission to list campaigns,List,,,
43,ListDatasetExportJobs,Grants permission to list dataset export jobs,List,,,
44,ListDatasetGroups,Grants permission to list dataset groups,List,,,
45,ListDatasetImportJobs,Grants permission to list dataset import jobs,List,,,
46,ListDatasets,Grants permission to list datasets,List,,,
47,ListEventTrackers,Grants permission to list event trackers,List,,,
48,ListFilters,Grants permission to list filters,List,,,
49,ListRecipes,Grants permission to list recipes,List,,,
50,ListRecommenders,Grants permission to list recommenders,List,,,
51,ListSchemas,Grants permission to list schemas,List,,,
52,ListSolutionVersions,Grants permission to list versions of a solution,List,,,
53,ListSolutions,Grants permission to list solutions,List,,,
54,ListTagsForResource,Grants permission to list tags for a resource,List,,,
55,PutEvents,Grants permission to put real time event data,Write,eventTracker*,,
56,PutItems,Grants permission to ingest Items data,Write,dataset*,,
57,PutUsers,Grants permission to ingest Users data,Write,dataset*,,
58,StartRecommender,Grants permission to start a recommender,Write,recommender*,,
59,StopRecommender,Grants permission to stop a recommender,Write,recommender*,,
60,StopSolutionVersionCreation,Grants permission to stop a solution version creation,Write,solution*,,
61,TagResource,Grants permission to tag a resource,Tagging,,,
62,UntagResource,Grants permission to untag a resource,Tagging,,,
63,UpdateCampaign,Grants permission to update a campaign,Write,campaign*,,
64,UpdateRecommender,Grants permission to update a recommender,Write,recommender*,,
