,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJournalKinesisStream,Grants permission to cancel a journal kinesis stream,Write,stream*,,
1,CreateLedger,Grants permission to create a ledger,Write,ledger*,,
2,CreateLedger,Grants permission to create a ledger,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,DeleteLedger,Grants permission to delete a ledger,Write,ledger*,,
4,DescribeJournalKinesisStream,Grants permission to describe information about a journal kinesis stream,Read,stream*,,
5,DescribeJournalS3Export,Grants permission to describe information about a journal export job,Read,ledger*,,
6,DescribeLedger,Grants permission to describe a ledger,Read,ledger*,,
7,ExecuteStatement,Grants permission to send commands to a ledger via the console,Write,ledger*,,
8,ExportJournalToS3,Grants permission to export journal contents to an Amazon S3 bucket,Write,ledger*,,
9,GetBlock,Grants permission to retrieve a block from a ledger for a given BlockAddress,Read,ledger*,,
10,GetDigest,Grants permission to retrieve a digest from a ledger for a given BlockAddress,Read,ledger*,,
11,GetRevision,Grants permission to retrieve a revision for a given document ID and a given BlockAddress,Read,ledger*,,
12,InsertSampleData,Grants permission to insert sample application data via the console,Write,ledger*,,
13,ListJournalKinesisStreamsForLedger,Grants permission to list journal kinesis streams for a specified ledger,List,stream*,,
14,ListJournalS3Exports,Grants permission to list journal export jobs for all ledgers,List,,,
15,ListJournalS3ExportsForLedger,Grants permission to list journal export jobs for a specified ledger,List,ledger*,,
16,ListLedgers,Grants permission to list existing ledgers,List,,,
17,ListTagsForResource,Grants permission to list tags for a resource,Read,catalog,,
18,ListTagsForResource,Grants permission to list tags for a resource,Read,ledger,,
19,ListTagsForResource,Grants permission to list tags for a resource,Read,stream,,
20,ListTagsForResource,Grants permission to list tags for a resource,Read,table,,
21,PartiQLCreateIndex,Grants permission to create an index on a table,Write,table*,,
22,PartiQLCreateTable,Grants permission to create a table,Write,table*,,
23,PartiQLCreateTable,Grants permission to create a table,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,PartiQLDelete,Grants permission to delete documents from a table,Write,table*,,
25,PartiQLDropIndex,Grants permission to drop an index from a table,Write,table*,,
26,PartiQLDropIndex,Grants permission to drop an index from a table,Write,,qldb:Purge,
27,PartiQLDropTable,Grants permission to drop a table,Write,table*,,
28,PartiQLDropTable,Grants permission to drop a table,Write,,qldb:Purge,
29,PartiQLHistoryFunction,Grants permission to use the history function on a table,Read,table*,,
30,PartiQLInsert,Grants permission to insert documents into a table,Write,table*,,
31,PartiQLSelect,Grants permission to select documents from a table,Read,catalog,,
32,PartiQLSelect,Grants permission to select documents from a table,Read,table,,
33,PartiQLUndropTable,Grants permission to undrop a table,Write,table*,,
34,PartiQLUpdate,Grants permission to update existing documents in a table,Write,table*,,
35,SendCommand,Grants permission to send commands to a ledger,Write,ledger*,,
36,ShowCatalog,Grants permission to view a ledger's catalog via the console,Write,ledger*,,
37,StreamJournalToKinesis,Grants permission to stream journal contents to a Kinesis Data Stream,Write,stream*,,
38,StreamJournalToKinesis,Grants permission to stream journal contents to a Kinesis Data Stream,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
39,TagResource,Grants permission to add one or more tags to a resource,Tagging,catalog,,
40,TagResource,Grants permission to add one or more tags to a resource,Tagging,ledger,,
41,TagResource,Grants permission to add one or more tags to a resource,Tagging,stream,,
42,TagResource,Grants permission to add one or more tags to a resource,Tagging,table,,
43,TagResource,Grants permission to add one or more tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
44,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,catalog,,
45,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,ledger,,
46,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,stream,,
47,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,table,,
48,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
49,UpdateLedger,Grants permission to update properties on a ledger,Write,ledger*,,
50,UpdateLedgerPermissionsMode,Grants permission to update the permissions mode on a ledger,Write,ledger*,,
