,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddRoleToDBCluster,Grants permission to associate an Identity and Access Management (IAM) role from an Aurora DB cluster,Write,cluster*,,iam:PassRole
1,AddRoleToDBInstance,Grants permission to associate an AWS Identity and Access Management (IAM) role with a DB instance,Write,db*,,iam:PassRole
2,AddSourceIdentifierToSubscription,Grants permission to add a source identifier to an existing RDS event notification subscription,Write,es*,,
3,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,cev,,
4,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,cluster,,
5,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,cluster-endpoint,,
6,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,cluster-pg,,
7,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,cluster-snapshot,,
8,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,db,,
9,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,es,,
10,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,og,,
11,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,pg,,
12,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,proxy,,
13,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,proxy-endpoint,,
14,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,ri,,
15,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,secgrp,,
16,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,snapshot,,
17,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,subgrp,,
18,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,target-group,,
19,AddTagsToResource,Grants permission to add metadata tags to an Amazon RDS resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
20,ApplyPendingMaintenanceAction,Grants permission to apply a pending maintenance action to a resource,Write,cluster,,
21,ApplyPendingMaintenanceAction,Grants permission to apply a pending maintenance action to a resource,Write,db,,
22,AuthorizeDBSecurityGroupIngress,Grants permission to enable ingress to a DBSecurityGroup using one of two forms of authorization,Permissions management,secgrp*,,
23,BacktrackDBCluster,"Grants permission to backtrack a DB cluster to a specific time, without creating a new DB cluster",Write,cluster*,,
24,CancelExportTask,Grants permission to cancel an export task in progress,Write,,,
25,CopyDBClusterParameterGroup,Grants permission to copy the specified DB cluster parameter group,Write,cluster-pg*,,rds:AddTagsToResource
26,CopyDBClusterParameterGroup,Grants permission to copy the specified DB cluster parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,CopyDBClusterSnapshot,Grants permission to create a snapshot of a DB cluster,Write,cluster-snapshot*,,rds:AddTagsToResource
28,CopyDBClusterSnapshot,Grants permission to create a snapshot of a DB cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,CopyDBParameterGroup,Grants permission to copy the specified DB parameter group,Write,pg*,,rds:AddTagsToResource
30,CopyDBParameterGroup,Grants permission to copy the specified DB parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CopyDBSnapshot,Grants permission to copy the specified DB snapshot,Write,snapshot*,,rds:AddTagsToResource
32,CopyDBSnapshot,Grants permission to copy the specified DB snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
33,CopyOptionGroup,Grants permission to copy the specified option group,Write,og*,,rds:AddTagsToResource
34,CopyOptionGroup,Grants permission to copy the specified option group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
35,CreateCustomDBEngineVersion,Grants permission to create a custom engine version,Write,cev*,,iam:CreateServiceLinkedRole  mediaimport:CreateDatabaseBinarySnapshot  rds:AddTagsToResource
36,CreateCustomDBEngineVersion,Grants permission to create a custom engine version,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,cluster*,,iam:PassRole  rds:AddTagsToResource  rds:CreateDBInstance
38,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,cluster-pg*,,
39,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,og*,,
40,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,subgrp*,,
41,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,db,,
42,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,global-cluster,,
43,CreateDBCluster,Grants permission to create a new Amazon Aurora DB cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey}  rds:DatabaseEngine  rds:DatabaseName  rds:StorageEncrypted  rds:DatabaseClass  rds:StorageSize  rds:Piops,
44,CreateDBClusterEndpoint,Grants permission to create a new custom endpoint and associates it with an Amazon Aurora DB cluster,Write,cluster*,,rds:AddTagsToResource
45,CreateDBClusterEndpoint,Grants permission to create a new custom endpoint and associates it with an Amazon Aurora DB cluster,Write,cluster-endpoint*,,
46,CreateDBClusterEndpoint,Grants permission to create a new custom endpoint and associates it with an Amazon Aurora DB cluster,Write,,rds:EndpointType  aws:RequestTag/${TagKey}  aws:TagKeys,
47,CreateDBClusterParameterGroup,Grants permission to create a new DB cluster parameter group,Write,cluster-pg*,,rds:AddTagsToResource
48,CreateDBClusterParameterGroup,Grants permission to create a new DB cluster parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
49,CreateDBClusterSnapshot,Grants permission to create a snapshot of a DB cluster,Write,cluster*,,rds:AddTagsToResource
50,CreateDBClusterSnapshot,Grants permission to create a snapshot of a DB cluster,Write,cluster-snapshot*,,
51,CreateDBClusterSnapshot,Grants permission to create a snapshot of a DB cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
52,CreateDBInstance,Grants permission to create a new DB instance,Write,db*,,iam:PassRole  rds:AddTagsToResource
53,CreateDBInstance,Grants permission to create a new DB instance,Write,cluster,,
54,CreateDBInstance,Grants permission to create a new DB instance,Write,og,,
55,CreateDBInstance,Grants permission to create a new DB instance,Write,pg,,
56,CreateDBInstance,Grants permission to create a new DB instance,Write,secgrp,,
57,CreateDBInstance,Grants permission to create a new DB instance,Write,subgrp,,
58,CreateDBInstance,Grants permission to create a new DB instance,Write,,rds:BackupTarget  aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
59,CreateDBInstanceReadReplica,Grants permission to create a DB instance that acts as a Read Replica of a source DB instance,Write,db*,,iam:PassRole  rds:AddTagsToResource
60,CreateDBInstanceReadReplica,Grants permission to create a DB instance that acts as a Read Replica of a source DB instance,Write,og*,,
61,CreateDBInstanceReadReplica,Grants permission to create a DB instance that acts as a Read Replica of a source DB instance,Write,subgrp*,,
62,CreateDBInstanceReadReplica,Grants permission to create a DB instance that acts as a Read Replica of a source DB instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
63,CreateDBParameterGroup,Grants permission to create a new DB parameter group,Write,pg*,,rds:AddTagsToResource
64,CreateDBParameterGroup,Grants permission to create a new DB parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
65,CreateDBProxy,Grants permission to create a database proxy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,iam:PassRole
66,CreateDBProxyEndpoint,Grants permission to create a database proxy endpoint,Write,proxy*,,
67,CreateDBProxyEndpoint,Grants permission to create a database proxy endpoint,Write,proxy-endpoint*,,
68,CreateDBProxyEndpoint,Grants permission to create a database proxy endpoint,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
69,CreateDBSecurityGroup,Grants permission to create a new DB security group. DB security groups control access to a DB instance,Write,secgrp*,,rds:AddTagsToResource
70,CreateDBSecurityGroup,Grants permission to create a new DB security group. DB security groups control access to a DB instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
71,CreateDBSnapshot,Grants permission to create a DBSnapshot,Write,db*,,rds:AddTagsToResource
72,CreateDBSnapshot,Grants permission to create a DBSnapshot,Write,snapshot*,,
73,CreateDBSnapshot,Grants permission to create a DBSnapshot,Write,,rds:BackupTarget  aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
74,CreateDBSubnetGroup,Grants permission to create a new DB subnet group,Write,subgrp*,,rds:AddTagsToResource
75,CreateDBSubnetGroup,Grants permission to create a new DB subnet group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rds:req-tag/${TagKey},
76,CreateEventSubscription,Grants permission to create an RDS event notification subscription,Write,es*,,rds:AddTagsToResource
