,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchExecuteStatement,Grants permission to execute multiple queries under a single connection,Write,cluster*,,
1,BatchExecuteStatement,Grants permission to execute multiple queries under a single connection,Write,workgroup*,,
2,CancelStatement,Grants permission to cancel a running query,Write,,redshift-data:statement-owner-iam-userid,
3,DescribeStatement,Grants permission to retrieve detailed information about a statement execution,Read,,redshift-data:statement-owner-iam-userid,
4,DescribeTable,Grants permission to retrieve metadata about a particular table,Read,cluster*,,
5,DescribeTable,Grants permission to retrieve metadata about a particular table,Read,workgroup*,,
6,ExecuteStatement,Grants permission to execute a query,Write,cluster*,,
7,ExecuteStatement,Grants permission to execute a query,Write,workgroup*,,
8,GetStatementResult,Grants permission to fetch the result of a query,Read,,redshift-data:statement-owner-iam-userid,
9,ListDatabases,Grants permission to list databases for a given cluster,Read,cluster*,,
10,ListDatabases,Grants permission to list databases for a given cluster,Read,workgroup*,,
11,ListSchemas,Grants permission to list schemas for a given cluster,Read,cluster*,,
12,ListSchemas,Grants permission to list schemas for a given cluster,Read,workgroup*,,
13,ListStatements,Grants permission to list queries for a given principal,List,,redshift-data:statement-owner-iam-userid,
14,ListTables,Grants permission to list tables for a given cluster,List,cluster*,,
15,ListTables,Grants permission to list tables for a given cluster,List,workgroup*,,
