,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ConvertRecoveryPointToSnapshot,Grants permission to convert a recovery point to a snapshot,Write,recoveryPoint*,,
1,ConvertRecoveryPointToSnapshot,Grants permission to convert a recovery point to a snapshot,Write,snapshot*,,
2,CreateEndpointAccess,Grants permission to create an Amazon Redshift Serverless managed VPC endpoint,Write,endpointAccess*,,
3,CreateNamespace,Grants permission to create an Amazon Redshift Serverless namespace,Write,namespace*,,
4,CreateNamespace,Grants permission to create an Amazon Redshift Serverless namespace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateSnapshot,Grants permission to create a snapshot of all databases in a namespace,Write,snapshot*,,
6,CreateUsageLimit,Grants permission to create a usage limit for a specified Amazon Redshift Serverless usage type,Write,,,
7,CreateWorkgroup,Grants permission to create a workgroup in Amazon Redshift Serverless,Write,workgroup*,,
8,CreateWorkgroup,Grants permission to create a workgroup in Amazon Redshift Serverless,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteEndpointAccess,Grants permission to delete an Amazon Redshift Serverless managed VPC endpoint,Write,endpointAccess*,,
10,DeleteNamespace,Grants permission to delete a namespace from Amazon Redshift Serverless,Write,namespace*,,
11,DeleteResourcePolicy,Grants permission to delete the specified resource policy,Write,,,
12,DeleteSnapshot,Grants permission to delete a snapshot from Amazon Redshift Serverless,Write,snapshot*,,
13,DeleteUsageLimit,Grants permission to delete a usage limit from Amazon Redshift Serverless,Write,,,
14,DeleteWorkgroup,Grants permission to delete a workgroup,Write,workgroup*,,
15,GetCredentials,Grants permission to get a database user name and temporary password with temporary authorization to log on to Amazon Redshift Serverless,Write,workgroup*,,
16,GetEndpointAccess,Grants permission to create an Amazon Redshift Serverless managed VPC endpoint,Read,endpointAccess*,,
17,GetNamespace,Grants permission to get information about a namespace in Amazon Redshift Serverless,Read,namespace*,,
18,GetRecoveryPoint,Grants permission to get information about a recovery point,Read,recoveryPoint*,,
19,GetResourcePolicy,Grants permission to get a resource policy,Read,,,
20,GetSnapshot,Grants permission to get information about a specific snapshot,Read,snapshot*,,
21,GetUsageLimit,Grants permission to get information about a usage limit in Amazon Redshift Serverless,Read,,,
22,GetWorkgroup,Grants permission to get information about a specific workgroup,Read,workgroup*,,
23,ListEndpointAccess,Grants permission to list EndpointAccess objects and relevant information,List,endpointAccess*,,
24,ListNamespaces,Grants permission to list namespaces in Amazon Redshift Serverless,List,,,
25,ListRecoveryPoints,Grants permission to list an array of recovery points,List,namespace,,
26,ListSnapshots,Grants permission to list snapshots,List,snapshot*,,
27,ListTagsForResource,Grants permission to list the tags assigned to a resource,List,namespace,,
28,ListTagsForResource,Grants permission to list the tags assigned to a resource,List,workgroup,,
29,ListTagsForResource,Grants permission to list the tags assigned to a resource,List,,aws:ResourceTag/${TagKey},
30,ListUsageLimits,Grants permission to list all usage limits within Amazon Redshift Serverless,List,,,
31,ListWorkgroups,Grants permission to list workgroups in Amazon Redshift Serverless,List,,,
32,PutResourcePolicy,Grants permission to create or update a resource policy,Write,,,
33,RestoreFromRecoveryPoint,Grants permission to restore the data from a recovery point,Write,recoveryPoint*,,
34,RestoreFromSnapshot,Grants permission to restore a namespace from a snapshot,Write,snapshot*,,
35,TagResource,Grants permission to assign one or more tags to a resource,Tagging,namespace,,
36,TagResource,Grants permission to assign one or more tags to a resource,Tagging,workgroup,,
37,TagResource,Grants permission to assign one or more tags to a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
38,UntagResource,Grants permission to remove a tag or set of tags from a resource,Tagging,namespace,,
39,UntagResource,Grants permission to remove a tag or set of tags from a resource,Tagging,workgroup,,
40,UntagResource,Grants permission to remove a tag or set of tags from a resource,Tagging,,aws:TagKeys,
41,UpdateEndpointAccess,Grants permission to update an Amazon Redshift Serverless managed VPC endpoint,Write,endpointAccess*,,
42,UpdateNamespace,Grants permission to update a namespace with the specified configuration settings,Write,namespace*,,
43,UpdateSnapshot,Grants permission to update a snapshot,Write,snapshot*,,
44,UpdateUsageLimit,Grants permission to update a usage limit in Amazon Redshift Serverless,Write,,,
45,UpdateWorkgroup,Grants permission to update an Amazon Redshift Serverless workgroup with the specified configuration settings,Write,workgroup*,,
