,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCell,Grants permission to create a new cell,Write,cell*,,
1,CreateCell,Grants permission to create a new cell,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateCrossAccountAuthorization,Grants permission to create a cross account authorization,Write,,,
3,CreateReadinessCheck,Grants permission to create a readiness check,Write,readinesscheck*,,
4,CreateReadinessCheck,Grants permission to create a readiness check,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateRecoveryGroup,Grants permission to create a recovery group,Write,recoverygroup*,,
6,CreateRecoveryGroup,Grants permission to create a recovery group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateResourceSet,Grants permission to create a resource set,Write,resourceset*,,
8,CreateResourceSet,Grants permission to create a resource set,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteCell,Grants permission to delete a cell,Write,cell*,,
10,DeleteCrossAccountAuthorization,Grants permission to delete a cross account authorization,Write,,,
11,DeleteReadinessCheck,Grants permission to delete a readiness check,Write,readinesscheck*,,
12,DeleteRecoveryGroup,Grants permission to delete a recovery group,Write,recoverygroup*,,
13,DeleteResourceSet,Grants permission to delete a resource set,Write,resourceset*,,
14,GetArchitectureRecommendations,Grants permission to get architecture recommendations for a recovery group,Read,recoverygroup*,,
15,GetCell,Grants permission to get information about a cell,Read,cell*,,
16,GetCellReadinessSummary,Grants permission to get a readiness summary for a cell,Read,cell*,,
17,GetReadinessCheck,Grants permission to get information about a readiness check,Read,readinesscheck*,,
18,GetReadinessCheckResourceStatus,Grants permission to get the readiness status for an individual resource,Read,readinesscheck*,,
19,GetReadinessCheckStatus,Grants permission to get the status of a readiness check (for a resource set),Read,readinesscheck*,,
20,GetRecoveryGroup,Grants permission to get information about a recovery group,Read,recoverygroup*,,
21,GetRecoveryGroupReadinessSummary,Grants permission to get a readiness summary for a recovery group,Read,recoverygroup*,,
22,GetResourceSet,Grants permission to get information about a resource set,Read,resourceset*,,
23,ListCells,Grants permission to list cells,Read,,,
24,ListCrossAccountAuthorizations,Grants permission to list cross account authorizations,Read,,,
25,ListReadinessChecks,Grants permission to list readiness checks,Read,,,
26,ListRecoveryGroups,Grants permission to list recovery groups,Read,,,
27,ListResourceSets,Grants permission to list resource sets,Read,,,
28,ListRules,Grants permission to list readiness rules,Read,,,
29,ListTagsForResources,Grants permission to list tags for a resource,Read,,,
30,TagResource,Grants permission to add a tag to a resource,Tagging,cell,,
31,TagResource,Grants permission to add a tag to a resource,Tagging,readinesscheck,,
32,TagResource,Grants permission to add a tag to a resource,Tagging,recoverygroup,,
33,TagResource,Grants permission to add a tag to a resource,Tagging,resourceset,,
34,TagResource,Grants permission to add a tag to a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
35,UntagResource,Grants permission to remove a tag from a resource,Tagging,cell,,
36,UntagResource,Grants permission to remove a tag from a resource,Tagging,readinesscheck,,
37,UntagResource,Grants permission to remove a tag from a resource,Tagging,recoverygroup,,
38,UntagResource,Grants permission to remove a tag from a resource,Tagging,resourceset,,
39,UntagResource,Grants permission to remove a tag from a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
40,UpdateCell,Grants permission to update a cell,Write,cell*,,
41,UpdateCell,Grants permission to update a cell,Write,,aws:TagKeys,
42,UpdateReadinessCheck,Grants permission to update a readiness check,Write,readinesscheck*,,
43,UpdateReadinessCheck,Grants permission to update a readiness check,Write,,aws:TagKeys,
44,UpdateRecoveryGroup,Grants permission to update a recovery group,Write,recoverygroup*,,
45,UpdateRecoveryGroup,Grants permission to update a recovery group,Write,,aws:TagKeys,
46,UpdateResourceSet,Grants permission to update a resource set,Write,resourceset*,,
47,UpdateResourceSet,Grants permission to update a resource set,Write,,aws:TagKeys,
