,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFirewallRuleGroup,Grants permission to associate an Amazon VPC with a specified firewall rule group,Write,firewall-rule-group-association*,,ec2:DescribeVpcs
1,AssociateFirewallRuleGroup,Grants permission to associate an Amazon VPC with a specified firewall rule group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,AssociateResolverEndpointIpAddress,Grants permission to associate a specified IP address with a Resolver endpoint. This is an IP address that DNS queries pass through on the way to your network (outbound) or your VPCs (inbound),Write,resolver-endpoint*,,
3,AssociateResolverQueryLogConfig,Grants permission to associate an Amazon VPC with a specified query logging configuration,Write,resolver-query-log-config*,,ec2:DescribeVpcs
4,AssociateResolverRule,Grants permission to associate a specified Resolver rule with a specified VPC,Write,resolver-rule*,,
5,CreateFirewallDomainList,Grants permission to create a Firewall domain list,Write,firewall-domain-list*,,
6,CreateFirewallDomainList,Grants permission to create a Firewall domain list,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateFirewallRule,Grants permission to create a Firewall rule within a Firewall rule group,Write,firewall-rule-group*,,
8,CreateFirewallRuleGroup,Grants permission to create a Firewall rule group,Write,firewall-rule-group*,,
9,CreateFirewallRuleGroup,Grants permission to create a Firewall rule group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateResolverEndpoint,"Grants permission to create a Resolver endpoint. There are two types of Resolver endpoints, inbound and outbound",Write,resolver-endpoint*,,
11,CreateResolverEndpoint,"Grants permission to create a Resolver endpoint. There are two types of Resolver endpoints, inbound and outbound",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateResolverQueryLogConfig,"Grants permission to create a Resolver query logging configuration, which defines where you want Resolver to save DNS query logs that originate in your VPCs",Write,resolver-query-log-config*,,
13,CreateResolverQueryLogConfig,"Grants permission to create a Resolver query logging configuration, which defines where you want Resolver to save DNS query logs that originate in your VPCs",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateResolverRule,Grants permission to define how to route queries originating from your VPC out of the VPC,Write,resolver-rule*,,
15,CreateResolverRule,Grants permission to define how to route queries originating from your VPC out of the VPC,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,DeleteFirewallDomainList,Grants permission to delete a Firewall domain list,Write,firewall-domain-list*,,
17,DeleteFirewallRule,Grants permission to delete a Firewall rule within a Firewall rule group,Write,firewall-rule-group*,,
18,DeleteFirewallRuleGroup,Grants permission to delete a Firewall rule group,Write,firewall-rule-group*,,
19,DeleteResolverEndpoint,Grants permission to delete a Resolver endpoint. The effect of deleting a Resolver endpoint depends on whether it's an inbound or an outbound endpoint,Write,resolver-endpoint*,,
20,DeleteResolverQueryLogConfig,Grants permission to delete a Resolver query logging configuration,Write,resolver-query-log-config*,,
21,DeleteResolverRule,Grants permission to delete a Resolver rule,Write,resolver-rule*,,
22,DisassociateFirewallRuleGroup,Grants permission to remove the association between a specified Firewall rule group and a specified VPC,Write,firewall-rule-group-association*,,
23,DisassociateResolverEndpointIpAddress,Grants permission to remove a specified IP address from a Resolver endpoint. This is an IP address that DNS queries pass through on the way to your network (outbound) or your VPCs (inbound),Write,resolver-endpoint*,,
24,DisassociateResolverQueryLogConfig,Grants permission to remove the association between a specified Resolver query logging configuration and a specified VPC,Write,resolver-query-log-config*,,
25,DisassociateResolverRule,Grants permission to remove the association between a specified Resolver rule and a specified VPC,Write,resolver-rule*,,
26,GetFirewallConfig,Grants permission to get information about a specified Firewall config,Read,firewall-config*,,ec2:DescribeVpcs
27,GetFirewallDomainList,Grants permission to get information about a specified Firewall domain list,Read,firewall-domain-list*,,
28,GetFirewallRuleGroup,Grants permission to get information about a specified Firewall rule group,Read,firewall-rule-group*,,
29,GetFirewallRuleGroupAssociation,Grants permission to get information about an association between a specified Firewall rule group and a VPC,Read,firewall-rule-group-association*,,
30,GetFirewallRuleGroupPolicy,"Grants permission to get information about a specified Firewall rule group policy, which specifies the Firewall rule group operations and resources that you want to allow another AWS account to use",Read,firewall-rule-group*,,
31,GetResolverConfig,Grants permission to get the Resolver Config status within the specified resource,Read,resolver-config*,,ec2:DescribeVpcs
32,GetResolverDnssecConfig,Grants permission to get the DNSSEC validation support status for DNS queries within the specified resource,Read,resolver-dnssec-config*,,
33,GetResolverEndpoint,"Grants permission to get information about a specified Resolver endpoint, such as whether it's an inbound or an outbound endpoint, and the IP addresses in your VPC that DNS queries are forwarded to on the way into or out of your VPC",Read,resolver-endpoint*,,
34,GetResolverQueryLogConfig,"Grants permission to get information about a specified Resolver query logging configuration, such as the number of VPCs that the configuration is logging queries for and the location that logs are sent to",Read,resolver-query-log-config*,,ec2:DescribeVpcs
35,GetResolverQueryLogConfigAssociation,"Grants permission to get information about a specified association between a Resolver query logging configuration and an Amazon VPC. When you associate a VPC with a query logging configuration, Resolver logs DNS queries that originate in that VPC",Read,resolver-query-log-config*,,
36,GetResolverQueryLogConfigPolicy,"Grants permission to get information about a specified Resolver query logging policy, which specifies the Resolver query logging operations and resources that you want to allow another AWS account to use",Read,resolver-query-log-config*,,
37,GetResolverRule,"Grants permission to get information about a specified Resolver rule, such as the domain name that the rule forwards DNS queries for and the IP address that queries are forwarded to",Read,resolver-rule*,,
38,GetResolverRuleAssociation,Grants permission to get information about an association between a specified Resolver rule and a VPC,Read,resolver-rule*,,
39,GetResolverRulePolicy,"Grants permission to get information about a Resolver rule policy, which specifies the Resolver operations and resources that you want to allow another AWS account to use",Read,resolver-rule*,,
40,ImportFirewallDomains,"Grants permission to add, remove or replace Firewall domains in a Firewall domain list",Write,firewall-domain-list*,,
41,ListFirewallConfigs,Grants permission to list all the Firewall config that current AWS account is able to check,List,firewall-config*,,ec2:DescribeVpcs
42,ListFirewallDomainLists,Grants permission to list all the Firewall domain list that current AWS account is able to use,List,,,
43,ListFirewallDomains,Grants permission to list all the Firewall domain under a speicfied Firewall domain list,List,firewall-domain-list*,,
44,ListFirewallRuleGroupAssociations,Grants permission to list information about associations between Amazon VPCs and Firewall rule group,List,,,
45,ListFirewallRuleGroups,Grants permission to list all the Firewall rule group that current AWS account is able to use,List,,,
46,ListFirewallRules,Grants permission to list all the Firewall rule under a speicfied Firewall rule group,List,firewall-rule-group*,,
47,ListResolverConfigs,Grants permission to list Resolver Config statuses,List,resolver-config*,,ec2:DescribeVpcs
48,ListResolverDnssecConfigs,Grants permission to list the DNSSEC validation support status for DNS queries,List,resolver-dnssec-config*,,
49,ListResolverEndpointIpAddresses,Grants permission to list the IP addresses that DNS queries pass through on the way to your network (outbound) or your VPCs (inbound) for a specified Resolver endpoint,List,resolver-endpoint*,,
50,ListResolverEndpoints,Grants permission to list all the Resolver endpoints that were created using the current AWS account,List,,,
51,ListResolverQueryLogConfigAssociations,Grants permission to list information about associations between Amazon VPCs and query logging configurations,List,resolver-query-log-config*,,ec2:DescribeVpcs
52,ListResolverQueryLogConfigs,"Grants permission to list information about the specified query logging configurations, which define where you want Resolver to save DNS query logs and specify the VPCs that you want to log queries for",List,resolver-query-log-config*,,ec2:DescribeVpcs
53,ListResolverRuleAssociations,Grants permission to list the associations that were created between Resolver rules and VPCs using the current AWS account,List,,,
54,ListResolverRules,Grants permission to list the Resolver rules that were created using the current AWS account,List,,,
55,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,firewall-domain-list,,
56,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,firewall-rule-group,,
57,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,firewall-rule-group-association,,
58,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,resolver-endpoint,,
59,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,resolver-query-log-config,,
60,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,resolver-rule,,
61,PutFirewallRuleGroupPolicy,"Grants permission to specify an AWS account that you want to share a Firewall rule group with, the Firewall rule group that you want to share, and the operations that you want the account to be able to perform on the configuration",Permissions management,firewall-rule-group*,,
62,PutResolverQueryLogConfigPolicy,"Grants permission to specify an AWS account that you want to share a query logging configuration with, the query logging configuration that you want to share, and the operations that you want the account to be able to perform on the configuration",Permissions management,resolver-query-log-config*,,
63,PutResolverRulePolicy,"Grants permission to specify an AWS account that you want to share rules with, the Resolver rules that you want to share, and the operations that you want the account to be able to perform on those rules",Permissions management,resolver-rule*,,
64,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,firewall-config,,
65,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,firewall-domain-list,,
66,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,firewall-rule-group,,
67,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,firewall-rule-group-association,,
68,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,resolver-dnssec-config,,
69,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,resolver-endpoint,,
70,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,resolver-query-log-config,,
71,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,resolver-rule,,
72,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
73,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,firewall-config,,
74,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,firewall-domain-list,,
75,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,firewall-rule-group,,
76,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,firewall-rule-group-association,,
77,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,resolver-dnssec-config,,
78,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,resolver-endpoint,,
79,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,resolver-query-log-config,,
80,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,resolver-rule,,
81,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,,aws:TagKeys,
82,UpdateFirewallConfig,Grants permission to update selected settings for an Firewall config,Write,firewall-config*,,ec2:DescribeVpcs
83,UpdateFirewallDomains,"Grants permission to add, remove or replace Firewall domains in a Firewall domain list",Write,firewall-domain-list*,,
84,UpdateFirewallRule,Grants permission to update selected settings for an Firewall rule in a Firewall rule group,Write,firewall-rule-group*,,
85,UpdateFirewallRuleGroupAssociation,Grants permission to update selected settings for an Firewall rule group association,Write,firewall-rule-group-association*,,
86,UpdateResolverConfig,Grants permission to update the Resolver Config status within the specified resource,Write,resolver-config*,,ec2:DescribeVpcs
87,UpdateResolverDnssecConfig,Grants permission to update the DNSSEC validation support status for DNS queries within the specified resource,Write,resolver-dnssec-config*,,
88,UpdateResolverEndpoint,Grants permission to update selected settings for an inbound or an outbound Resolver endpoint,Write,resolver-endpoint*,,
89,UpdateResolverRule,Grants permission to update settings for a specified Resolver rule,Write,resolver-rule*,,
