,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddPermission,Grants permission to a queue for a specific principal,Permissions management,queue*,,
1,ChangeMessageVisibility,Grants permission to change the visibility timeout of a specified message in a queue to a new value,Write,queue*,,
2,CreateQueue,"Grants permission to create a new queue, or returns the URL of an existing one",Write,queue*,,
3,CreateQueue,"Grants permission to create a new queue, or returns the URL of an existing one",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteMessage,Grants permission to delete the specified message from the specified queue,Write,queue*,,
5,DeleteQueue,"Grants permission to delete the queue specified by the queue URL, regardless of whether the queue is empty",Write,queue*,,
6,GetQueueAttributes,Grants permission to get attributes for the specified queue,Read,queue*,,
7,GetQueueUrl,Grants permission to return the URL of an existing queue,Read,queue*,,
8,ListDeadLetterSourceQueues,Grants permission to return a list of your queues that have the RedrivePolicy queue attribute configured with a dead letter queue,Read,queue*,,
9,ListQueueTags,Grants permission to list tags added to an SQS queue,Read,queue*,,
10,ListQueues,Grants permission to return a list of your queues,Read,,,
11,PurgeQueue,Grants permission to delete the messages in a queue specified by the queue URL,Write,queue*,,
12,ReceiveMessage,"Grants permission to retrieve one or more messages, with a maximum limit of 10 messages, from the specified queue",Read,queue*,,
13,RemovePermission,Grants permission to revoke any permissions in the queue policy that matches the specified Label parameter,Permissions management,queue*,,
14,SendMessage,Grants permission to deliver a message to the specified queue,Write,queue*,,
15,SetQueueAttributes,Grants permission to set the value of one or more queue attributes,Write,queue*,,
16,TagQueue,Grants permission to add tags to the specified SQS queue,Tagging,queue*,,
17,TagQueue,Grants permission to add tags to the specified SQS queue,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,UntagQueue,Grants permission to remove tags from the specified SQS queue,Tagging,queue*,,
19,UntagQueue,Grants permission to remove tags from the specified SQS queue,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
