,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelTimer,Grants permission to cancel a previously started timer and record a TimerCanceled event in the history,Write,domain*,,
1,CancelWorkflowExecution,Grants permission to close the workflow execution and record a WorkflowExecutionCanceled event in the history,Write,domain*,,
2,CompleteWorkflowExecution,Grants permission to close the workflow execution and record a WorkflowExecutionCompleted event in the history,Write,domain*,,
3,ContinueAsNewWorkflowExecution,Grants permission to close the workflow execution and start a new workflow execution of the same type using the same workflow ID and a unique run Id,Write,domain*,,
4,CountClosedWorkflowExecutions,Grants permission to return the number of closed workflow executions within the given domain that meet the specified filtering criteria,Read,domain*,,
5,CountClosedWorkflowExecutions,Grants permission to return the number of closed workflow executions within the given domain that meet the specified filtering criteria,Read,,swf:tagFilter.tag  swf:typeFilter.name  swf:typeFilter.version,
6,CountOpenWorkflowExecutions,Grants permission to return the number of open workflow executions within the given domain that meet the specified filtering criteria,Read,domain*,,
7,CountOpenWorkflowExecutions,Grants permission to return the number of open workflow executions within the given domain that meet the specified filtering criteria,Read,,swf:tagFilter.tag  swf:typeFilter.name  swf:typeFilter.version,
8,CountPendingActivityTasks,Grants permission to return the estimated number of activity tasks in the specified task list,Read,domain*,,
9,CountPendingActivityTasks,Grants permission to return the estimated number of activity tasks in the specified task list,Read,,swf:taskList.name,
10,CountPendingDecisionTasks,Grants permission to return the estimated number of decision tasks in the specified task list,Read,domain*,,
11,CountPendingDecisionTasks,Grants permission to return the estimated number of decision tasks in the specified task list,Read,,swf:taskList.name,
12,DeprecateActivityType,Grants permission to deprecate the specified activity type,Write,domain*,,
13,DeprecateActivityType,Grants permission to deprecate the specified activity type,Write,,swf:activityType.name  swf:activityType.version,
14,DeprecateDomain,Grants permission to deprecate the specified domain,Write,domain*,,
15,DeprecateWorkflowType,Grants permission to deprecate the specified workflow type,Write,domain*,,
16,DeprecateWorkflowType,Grants permission to deprecate the specified workflow type,Write,,swf:workflowType.name  swf:workflowType.version,
17,DescribeActivityType,Grants permission to return information about the specified activity type,Read,domain*,,
18,DescribeActivityType,Grants permission to return information about the specified activity type,Read,,swf:activityType.name  swf:activityType.version,
19,DescribeDomain,"Grants permission to return information about the specified domain, including its description and status",Read,domain*,,
20,DescribeWorkflowExecution,Grants permission to return information about the specified workflow execution including its type and some statistics,Read,domain*,,
21,DescribeWorkflowType,Grants permission to return information about the specified workflow type,Read,domain*,,
22,DescribeWorkflowType,Grants permission to return information about the specified workflow type,Read,,swf:workflowType.name  swf:workflowType.version,
23,FailWorkflowExecution,Grants permission to close the workflow execution and record a WorkflowExecutionFailed event in the history,Write,domain*,,
24,GetWorkflowExecutionHistory,Grants permission to return the history of the specified workflow execution,Read,domain*,,
25,ListActivityTypes,Grants permission to return information about all activities registered in the specified domain that match the specified name and registration status,List,domain*,,
26,ListClosedWorkflowExecutions,Grants permission to return a list of closed workflow executions in the specified domain that meet the filtering criteria,List,domain*,,
27,ListClosedWorkflowExecutions,Grants permission to return a list of closed workflow executions in the specified domain that meet the filtering criteria,List,,swf:tagFilter.tag  swf:typeFilter.name  swf:typeFilter.version,
28,ListDomains,Grants permission to return the list of domains registered in the account,List,,,
29,ListOpenWorkflowExecutions,Grants permission to return a list of open workflow executions in the specified domain that meet the filtering criteria,List,domain*,,
30,ListOpenWorkflowExecutions,Grants permission to return a list of open workflow executions in the specified domain that meet the filtering criteria,List,,swf:tagFilter.tag  swf:typeFilter.name  swf:typeFilter.version,
31,ListTagsForResource,Grants permission to list tags for an AWS SWF resource,List,domain,,
32,ListWorkflowTypes,Grants permission to return information about workflow types in the specified domain,List,domain*,,
33,PollForActivityTask,Grants permission to workers to get an ActivityTask from the specified activity taskList,Write,domain*,,
34,PollForActivityTask,Grants permission to workers to get an ActivityTask from the specified activity taskList,Write,,swf:taskList.name,
35,PollForDecisionTask,Grants permission to deciders to get a DecisionTask from the specified decision taskList,Write,domain*,,
36,PollForDecisionTask,Grants permission to deciders to get a DecisionTask from the specified decision taskList,Write,,swf:taskList.name,
37,RecordActivityTaskHeartbeat,Grants permission to workers to report to the service that the ActivityTask represented by the specified taskToken is still making progress,Write,domain*,,
38,RecordMarker,Grants permission to record a MarkerRecorded event in the history,Write,domain*,,
39,RegisterActivityType,Grants permission to register a new activity type along with its configuration settings in the specified domain,Write,domain*,,
40,RegisterActivityType,Grants permission to register a new activity type along with its configuration settings in the specified domain,Write,,swf:defaultTaskList.name  swf:name  swf:version,
41,RegisterDomain,Grants permission to register a new domain,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
42,RegisterWorkflowType,Grants permission to register a new workflow type and its configuration settings in the specified domain,Write,domain*,,
43,RegisterWorkflowType,Grants permission to register a new workflow type and its configuration settings in the specified domain,Write,,swf:defaultTaskList.name  swf:name  swf:version,
44,RequestCancelActivityTask,Grants permission to attempt to cancel a previously scheduled activity task,Write,domain*,,
45,RequestCancelExternalWorkflowExecution,Grants permission to request that a request be made to cancel the specified external workflow execution,Write,domain*,,
46,RequestCancelWorkflowExecution,"Grants permission to record a WorkflowExecutionCancelRequested event in the currently running workflow execution identified by the given domain, workflowId, and runId",Write,domain*,,
47,RespondActivityTaskCanceled,Grants permission to workers to tell the service that the ActivityTask identified by the taskToken was successfully canceled,Write,domain*,,
48,RespondActivityTaskCompleted,Grants permission to workers to tell the service that the ActivityTask identified by the taskToken completed successfully with a result (if provided),Write,domain*,,
49,RespondActivityTaskCompleted,Grants permission to workers to tell the service that the ActivityTask identified by the taskToken completed successfully with a result (if provided),Write,,swf:activityType.name  swf:activityType.version  swf:tagList.member.0  swf:tagList.member.1  swf:tagList.member.2  swf:tagList.member.3  swf:tagList.member.4  swf:taskList.name  swf:workflowType.name  swf:workflowType.version,
50,RespondActivityTaskFailed,Grants permission to workers to tell the service that the ActivityTask identified by the taskToken has failed with reason (if specified),Write,domain*,,
51,RespondDecisionTaskCompleted,Grants permission to deciders to tell the service that the DecisionTask identified by the taskToken has successfully completed,Write,domain*,,
52,ScheduleActivityTask,Grants permission to schedule an activity task,Write,domain*,,
53,SignalExternalWorkflowExecution,Grants permission to request a signal to be delivered to the specified external workflow execution and records,Write,domain*,,
54,SignalWorkflowExecution,"Grants permission to record a WorkflowExecutionSignaled event in the workflow execution history and create a decision task for the workflow execution identified by the given domain, workflowId and runId",Write,domain*,,
55,StartChildWorkflowExecution,Grants permission to request that a child workflow execution be started,Write,domain*,,
56,StartTimer,Grants permission to start a timer for a workflow execution,Write,domain*,,
57,StartWorkflowExecution,Grants permission to start an execution of the workflow type in the specified domain using the provided workflowId and input data,Write,domain*,,
58,StartWorkflowExecution,Grants permission to start an execution of the workflow type in the specified domain using the provided workflowId and input data,Write,,swf:tagList.member.0  swf:tagList.member.1  swf:tagList.member.2  swf:tagList.member.3  swf:tagList.member.4  swf:taskList.name  swf:workflowType.name  swf:workflowType.version,
59,TagResource,Grants permission to tag an AWS SWF resource,Tagging,domain,,
60,TagResource,Grants permission to tag an AWS SWF resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
61,TerminateWorkflowExecution,"Grants permission to record a WorkflowExecutionTerminated event and force closure of the workflow execution identified by the given domain, runId, and workflowId",Write,domain*,,
62,UndeprecateActivityType,Grants permission to undeprecate a previously deprecated activity type,Write,domain*,,
63,UndeprecateActivityType,Grants permission to undeprecate a previously deprecated activity type,Write,,swf:activityType.name  swf:activityType.version,
64,UndeprecateDomain,Grants permission to undeprecate a previously deprecated domain,Write,domain*,,
65,UndeprecateWorkflowType,Grants permission to undeprecate a previously deprecated workflow type,Write,domain*,,
66,UndeprecateWorkflowType,Grants permission to undeprecate a previously deprecated workflow type,Write,,swf:workflowType.name  swf:workflowType.version,
67,UntagResource,Grants permission to remove a tag from an AWS SWF resource,Tagging,domain,,
68,UntagResource,Grants permission to remove a tag from an AWS SWF resource,Tagging,,aws:TagKeys,
