,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateParallelData,Grants permission to create a Parallel Data,Write,parallel-data,,
1,CreateParallelData,Grants permission to create a Parallel Data,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteParallelData,Grants permission to delete a Parallel Data,Write,parallel-data,,
3,DeleteTerminology,Grants permission to delete a terminology,Write,terminology,,
4,DescribeTextTranslationJob,Grants permission to get the properties associated with an asynchronous batch translation job,Read,,,
5,GetParallelData,Grants permission to get a Parallel Data,Read,parallel-data,,
6,GetTerminology,Grants permission to retrieve a terminology,Read,terminology,,
7,ImportTerminology,"Grants permission to create or update a terminology, depending on whether or not one already exists for the given terminology name",Write,terminology,,
8,ImportTerminology,"Grants permission to create or update a terminology, depending on whether or not one already exists for the given terminology name",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,ListLanguages,Grants permission to list supported languages,List,,,
10,ListParallelData,Grants permission to list Parallel Data associated with your account,List,,,
11,ListTagsForResource,Grants permission to list tags for a resource,Read,parallel-data,,
12,ListTagsForResource,Grants permission to list tags for a resource,Read,terminology,,
13,ListTerminologies,Grants permission to list terminologies associated with your account,List,,,
14,ListTextTranslationJobs,Grants permission to list batch translation jobs that you have submitted,List,,,
15,StartTextTranslationJob,Grants permission to start an asynchronous batch translation job. Batch translation jobs can be used to translate large volumes of text across multiple documents at once,Write,parallel-data,,
16,StartTextTranslationJob,Grants permission to start an asynchronous batch translation job. Batch translation jobs can be used to translate large volumes of text across multiple documents at once,Write,terminology,,
17,StopTextTranslationJob,Grants permission to stop an asynchronous batch translation job that is in progress,Write,,,
18,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,parallel-data,,
19,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,terminology,,
20,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,TranslateText,Grants permission to translate text from a source language to a target language,Read,terminology,,
22,UntagResource,Grants permission to untag a resource with given key,Tagging,parallel-data,,
23,UntagResource,Grants permission to untag a resource with given key,Tagging,terminology,,
24,UntagResource,Grants permission to untag a resource with given key,Tagging,,aws:TagKeys,
25,UpdateParallelData,Grants permission to update an existing Parallel Data,Write,parallel-data,,
