,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddMembersToGroup [permission only],Grants permission to add a list of members (users or groups) to a group,Write,organization*,,
1,AssociateDelegateToResource,Grants permission to add a member (user or group) to the resource's set of delegates,Write,organization*,,
2,AssociateMemberToGroup,Grants permission to add a member (user or group) to the group's set,Write,organization*,,
3,AssumeImpersonationRole,Grants permission to assume an impersonation role for the given Amazon WorkMail organization,Write,organization*,,
4,CancelMailboxExportJob,Grants permission to cancel a currently running mailbox export job,Write,organization*,,
5,CreateAlias,Grants permission to add an alias to the set of a given member (user or group) of WorkMail,Write,organization*,,
6,CreateAvailabilityConfiguration,Grants permission to create an AvailabilityConfiguration for the given Amazon WorkMail organization and domain,Write,organization*,,
7,CreateGroup,Grants permission to create a group that can be used in WorkMail by calling the RegisterToWorkMail operation,Write,organization*,,
8,CreateImpersonationRole,Grants permission to create an impersonation role for the given Amazon WorkMail organization,Write,organization*,,
9,CreateInboundMailFlowRule [permission only],Grants permission to create an inbound email flow rule which will apply to all email sent to an organization,Write,organization*,,
10,CreateMailDomain [permission only],Grants permission to create a mail domain,Write,organization*,,
11,CreateMailUser [permission only],Grants permission to create a user in the directory,Write,organization*,,
12,CreateMobileDeviceAccessRule,Grants permission to create a new mobile device access rule,Write,organization*,,
13,CreateOrganization,Grants permission to create a new Amazon WorkMail organization,Write,,,
14,CreateOutboundMailFlowRule [permission only],Grants permission to create an outbound email flow rule which will apply to all email sent from an organization,Write,organization*,,
15,CreateResource,Grants permission to create a new WorkMail resource,Write,organization*,,
16,CreateSmtpGateway [permission only],Grants permission to register an SMTP gateway to a WorkMail organization,Write,organization*,,
17,CreateUser,"Grants permission to create a user, which can be enabled afterwards by calling the RegisterToWorkMail operation",Write,organization*,,
18,DeleteAccessControlRule,Grants permission to delete an access control rule,Write,organization*,,
19,DeleteAlias,Grants permission to remove one or more specified aliases from a set of aliases for a given user,Write,organization*,,
20,DeleteAvailabilityConfiguration,Grants permission to delete the AvailabilityConfiguration for the given Amazon WorkMail organization and domain,Write,organization*,,
21,DeleteEmailMonitoringConfiguration,Grants permission to delete the email monitoring configuration for an organization,Write,organization*,,
22,DeleteGroup,Grants permission to delete a group from WorkMail,Write,organization*,,
23,DeleteImpersonationRole,Grants permission to delete an impersonation role for the given Amazon WorkMail organization,Write,organization*,,
24,DeleteInboundMailFlowRule [permission only],Grants permission to remove an inbound email flow rule to no longer apply to emails sent to an organization,Write,organization*,,
25,DeleteMailDomain [permission only],Grants permission to remove an unused mail domain from an organization,Write,organization*,,
26,DeleteMailboxPermissions,Grants permission to delete permissions granted to a member (user or group),Write,organization*,,
27,DeleteMobileDevice [permission only],Grants permission to remove a mobile device from a user,Write,organization*,,
28,DeleteMobileDeviceAccessOverride,Grants permission to delete a mobile device access override,Write,organization*,,
29,DeleteMobileDeviceAccessRule,Grants permission to delete a mobile device access rule,Write,organization*,,
30,DeleteOrganization,Grants permission to delete an Amazon WorkMail organization and all underlying AWS resources managed by Amazon WorkMail as part of the organization,Write,organization*,,
31,DeleteOutboundMailFlowRule [permission only],Grants permission to remove an outbound email flow rule so that it no longer applies to emails sent from an organization,Write,organization*,,
32,DeleteResource,Grants permission to delete the specified resource,Write,organization*,,
33,DeleteRetentionPolicy,Grants permission to delete the retention policy based on the supplied organization and policy identifiers,Write,organization*,,
34,DeleteSmtpGateway [permission only],Grants permission to remove an SMTP gateway from an organization,Write,organization*,,
35,DeleteUser,Grants permission to delete a user from WorkMail and all subsequent systems,Write,organization*,,
36,DeregisterFromWorkMail,"Grants permission to mark a user, group, or resource as no longer used in WorkMail",Write,organization*,,
