,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateBrowserSettings,Grants permission to associate browser settings to web portals,Write,browserSettings*,,
1,AssociateBrowserSettings,Grants permission to associate browser settings to web portals,Write,portal*,,
2,AssociateNetworkSettings,Grants permission to associate network settings to web portals,Write,networkSettings*,,ec2:CreateNetworkInterface  ec2:CreateNetworkInterfacePermission  ec2:CreateTags  ec2:DeleteNetworkInterface  ec2:DeleteNetworkInterfacePermission  ec2:ModifyNetworkInterfaceAttribute
3,AssociateNetworkSettings,Grants permission to associate network settings to web portals,Write,portal*,,
4,AssociateTrustStore,Grants permission to associate trust stores with web portals,Write,portal*,,
5,AssociateTrustStore,Grants permission to associate trust stores with web portals,Write,trustStore*,,
6,AssociateUserSettings,Grants permission to associate user settings with web portals,Write,portal*,,
7,AssociateUserSettings,Grants permission to associate user settings with web portals,Write,userSettings*,,
8,CreateBrowserSettings,Grants permission to create browser settings,Write,,aws:TagKeys  aws:RequestTag/${TagKey},kms:CreateGrant  kms:Decrypt  kms:DescribeKey  kms:GenerateDataKey
9,CreateIdentityProvider,Grants permission to create identity providers,Write,portal*,,
10,CreateNetworkSettings,Grants permission to create network settings,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole
11,CreatePortal,Grants permission to create web portals,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole  kms:CreateGrant  kms:Decrypt  kms:DescribeKey  kms:GenerateDataKey
12,CreateTrustStore,Grants permission to create trust stores,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,CreateUserSettings,Grants permission to create user settings,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
14,DeleteBrowserSettings,Grants permission to delete browser settings,Write,browserSettings*,,
15,DeleteIdentityProvider,Grants permission to delete identity providers,Write,,,
16,DeleteNetworkSettings,Grants permission to delete network settings,Write,networkSettings*,,
17,DeletePortal,Grants permission to delete web portals,Write,portal*,,
18,DeleteTrustStore,Grants permission to delete trust stores,Write,trustStore*,,
19,DeleteUserSettings,Grants permission to delete user settings,Write,userSettings*,,
20,DisassociateBrowserSettings,Grants permission to disassociate browser settings from web portals,Write,portal*,,
21,DisassociateNetworkSettings,Grants permission to disassociate network settings from web portals,Write,portal*,,
22,DisassociateTrustStore,Grants permission to disassociate trust stores from web portals,Write,portal*,,
23,DisassociateUserSettings,Grants permission to disassociate user settings from web portals,Write,portal*,,
24,GetBrowserSettings,Grants permission to get details on browser settings,Read,browserSettings*,,
25,GetIdentityProvider,Grants permission to get details on identity providers,Read,,,
26,GetNetworkSettings,Grants permission to get details on network settings,Read,networkSettings*,,
27,GetPortal,Grants permission to get details on web portals,Read,portal*,,
28,GetPortalServiceProviderMetadata,Grants permission to get service provider metadata information for web portals,Read,portal*,,
29,GetTrustStore,Grants permission to get details on trust stores,Read,trustStore*,,
30,GetTrustStoreCertificate,Grants permission to get certificates from trust stores,Read,trustStore*,,
31,GetUserSettings,Grants permission to get details on user settings,Read,userSettings*,,
32,ListBrowserSettings,Grants permission to list browser settings,Read,,,
33,ListIdentityProviders,Grants permission to list identity providers,Read,,,
34,ListNetworkSettings,Grants permission to list network settings,Read,,,
35,ListPortals,Grants permission to list web portals,Read,,,
36,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
37,ListTrustStoreCertificates,Grants permission to list certificates in a trust store,Read,,,
38,ListTrustStores,Grants permission to list trust stores,Read,,,
39,ListUserSettings,Grants permission to list user settings,Read,,,
40,TagResource,Grants permission to add one or more tags to a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
41,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
42,UpdateBrowserSettings,Grants permission to update browser settings,Write,browserSettings*,,
43,UpdateIdentityProvider,Grants permission to update identity provider,Write,,,
44,UpdateNetworkSettings,Grants permission to update network settings,Write,networkSettings*,,
45,UpdatePortal,Grants permission to update web portals,Write,portal*,,
46,UpdateTrustStore,Grants permission to update trust stores,Write,trustStore*,,
47,UpdateUserSettings,Grants permission to update user settings,Write,userSettings*,,
