,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateConnectionAlias,Grants permission to associate connection aliases with directories,Write,connectionalias*,,
1,AssociateConnectionAlias,Grants permission to associate connection aliases with directories,Write,directoryid*,,
2,AssociateIpGroups,Grants permission to associate IP access control groups with directories,Write,directoryid*,,
3,AssociateIpGroups,Grants permission to associate IP access control groups with directories,Write,workspaceipgroup*,,
4,AuthorizeIpRules,Grants permission to add rules to IP access control groups,Write,workspaceipgroup*,,
5,CopyWorkspaceImage,Grants permission to copy a WorkSpace image,Write,workspaceimage*,,workspaces:DescribeWorkspaceImages
6,CopyWorkspaceImage,Grants permission to copy a WorkSpace image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateConnectClientAddIn,Grants permission to create an Amazon Connect client add-in within a directory,Write,directoryid*,,
8,CreateConnectionAlias,Grants permission to create connection aliases for use with cross-Region redirection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateIpGroup,Grants permission to create IP access control groups,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateTags,Grants permission to create tags for WorkSpaces resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateUpdatedWorkspaceImage,Grants permission to create an updated WorkSpace image,Write,workspaceimage*,,
12,CreateUpdatedWorkspaceImage,Grants permission to create an updated WorkSpace image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateWorkspaceBundle,Grants permission to create a WorkSpace bundle,Write,workspacebundle*,,workspaces:CreateTags
14,CreateWorkspaceBundle,Grants permission to create a WorkSpace bundle,Write,workspaceimage*,,
15,CreateWorkspaceBundle,Grants permission to create a WorkSpace bundle,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateWorkspaceImage,Grants permission to create a new WorkSpace image,Write,workspaceid*,,
17,CreateWorkspaceImage,Grants permission to create a new WorkSpace image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateWorkspaces,Grants permission to create one or more WorkSpaces,Write,directoryid*,,
19,CreateWorkspaces,Grants permission to create one or more WorkSpaces,Write,workspacebundle*,,
20,CreateWorkspaces,Grants permission to create one or more WorkSpaces,Write,workspaceid*,,
21,CreateWorkspaces,Grants permission to create one or more WorkSpaces,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,DeleteClientBranding,Grants permission to delete AWS WorkSpaces Client branding data within a directory,Write,directoryid*,,
23,DeleteConnectClientAddIn,Grants permission to delete an Amazon Connect client add-in that is configured within a directory,Write,directoryid*,,
24,DeleteConnectionAlias,Grants permission to delete connection aliases,Write,connectionalias*,,
25,DeleteIpGroup,Grants permission to delete IP access control groups,Write,workspaceipgroup*,,
26,DeleteTags,Grants permission to delete tags from WorkSpaces resources,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,DeleteWorkspaceBundle,Grants permission to delete WorkSpace bundles,Write,workspacebundle*,,
28,DeleteWorkspaceImage,Grants permission to delete WorkSpace images,Write,workspaceimage*,,
29,DeregisterWorkspaceDirectory,Grants permission to deregister directories from use with Amazon WorkSpaces,Write,directoryid*,,
30,DescribeAccount,Grants permission to retrieve the configuration of Bring Your Own License (BYOL) for WorkSpaces accounts,Read,,,
31,DescribeAccountModifications,Grants permission to retrieve modifications to the configuration of Bring Your Own License (BYOL) for WorkSpaces accounts,Read,,,
32,DescribeClientBranding,Grants permission to retrieve AWS WorkSpaces Client branding data within a directory,Read,directoryid*,,
33,DescribeClientProperties,Grants permission to retrieve information about WorkSpaces clients,List,directoryid*,,
34,DescribeConnectClientAddIns,Grants permission to retrieve a list of Amazon Connect client add-ins that have been created,List,directoryid*,,
35,DescribeConnectionAliasPermissions,Grants permission to retrieve the permissions that the owners of connection aliases have granted to other AWS accounts for connection aliases,Read,connectionalias*,,
36,DescribeConnectionAliases,Grants permission to retrieve a list that describes the connection aliases used for cross-Region redirection,Read,,,
37,DescribeIpGroups,Grants permission to retrieve information about IP access control groups,Read,workspaceipgroup*,,
38,DescribeTags,Grants permission to describe the tags for WorkSpaces resources,Read,,,
39,DescribeWorkspaceBundles,Grants permission to obtain information about WorkSpace bundles,List,,,
40,DescribeWorkspaceDirectories,Grants permission to retrieve information about directories that are registered with WorkSpaces,Read,,,
41,DescribeWorkspaceImagePermissions,Grants permission to retrieve information about WorkSpace image permissions,Read,workspaceimage*,,
42,DescribeWorkspaceImages,Grants permission to retrieve information about WorkSpace images,List,,,
43,DescribeWorkspaceSnapshots,Grants permission to retrieve information about WorkSpace snapshots,List,workspaceid*,,
44,DescribeWorkspaces,Grants permission to obtain information about WorkSpaces,List,,,
45,DescribeWorkspacesConnectionStatus,Grants permission to obtain the connection status of WorkSpaces,Read,,,
46,DisassociateConnectionAlias,Grants permission to disassociate connection aliases from directories,Write,connectionalias*,,
47,DisassociateIpGroups,Grants permission to disassociate IP access control groups from directories,Write,directoryid*,,
48,DisassociateIpGroups,Grants permission to disassociate IP access control groups from directories,Write,workspaceipgroup*,,
49,ImportClientBranding,Grants permission to import AWS WorkSpaces Client branding data within a directory,Write,directoryid*,,
50,ImportWorkspaceImage,Grants permission to import Bring Your Own License (BYOL) images into Amazon WorkSpaces,Write,,,ec2:DescribeImages  ec2:ModifyImageAttribute
51,ListAvailableManagementCidrRanges,Grants permission to list the available CIDR ranges for enabling Bring Your Own License (BYOL) for WorkSpaces accounts,List,,,
52,MigrateWorkspace,Grants permission to migrate WorkSpaces,Write,workspacebundle*,,
53,MigrateWorkspace,Grants permission to migrate WorkSpaces,Write,workspaceid*,,
54,ModifyAccount,Grants permission to modify the configuration of Bring Your Own License (BYOL) for WorkSpaces accounts,Write,,,
55,ModifyClientProperties,Grants permission to modify the properties of WorkSpaces clients,Write,directoryid*,,
56,ModifySamlProperties,Grants permission to modify the SAML properties of a directory,Write,directoryid*,,
57,ModifySelfservicePermissions,Grants permission to modify the self-service WorkSpace management capabilities for your users,Permissions management,directoryid*,,
58,ModifyWorkspaceAccessProperties,Grants permission to specify which devices and operating systems users can use to access their WorkSpaces,Write,directoryid*,,
59,ModifyWorkspaceCreationProperties,Grants permission to modify the default properties used to create WorkSpaces,Write,directoryid*,,
60,ModifyWorkspaceProperties,"Grants permission to modify WorkSpace properties, including the running mode and the AutoStop period",Write,workspaceid*,,
61,ModifyWorkspaceState,Grants permission to modify the state of WorkSpaces,Write,workspaceid*,,
62,RebootWorkspaces,Grants permission to reboot WorkSpaces,Write,workspaceid*,,
63,RebuildWorkspaces,Grants permission to rebuild WorkSpaces,Write,workspaceid*,,
64,RegisterWorkspaceDirectory,Grants permission to register directories for use with Amazon WorkSpaces,Write,directoryid*,,
65,RegisterWorkspaceDirectory,Grants permission to register directories for use with Amazon WorkSpaces,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
66,RestoreWorkspace,Grants permission to restore WorkSpaces,Write,workspaceid*,,
67,RevokeIpRules,Grants permission to remove rules from IP access control groups,Write,workspaceipgroup*,,
68,StartWorkspaces,Grants permission to start AutoStop WorkSpaces,Write,workspaceid*,,
69,StopWorkspaces,Grants permission to stop AutoStop WorkSpaces,Write,workspaceid*,,
70,Stream,Grants permission to federated users to sign in by using their existing credentials and stream their workspace,Write,directoryid*,,
71,Stream,Grants permission to federated users to sign in by using their existing credentials and stream their workspace,Write,,workspaces:userId,
72,TerminateWorkspaces,Grants permission to terminate WorkSpaces,Write,workspaceid*,,
73,UpdateConnectClientAddIn,Grants permission to update an Amazon Connect client add-in. Use this action to update the name and endpoint URL of an Amazon Connect client add-in,Write,directoryid*,,
74,UpdateConnectionAliasPermission,Grants permission to share or unshare connection aliases with other accounts,Permissions management,connectionalias*,,
75,UpdateRulesOfIpGroup,Grants permission to replace rules for IP access control groups,Write,workspaceipgroup*,,
76,UpdateWorkspaceBundle,Grants permission to update the WorkSpace images used in WorkSpace bundles,Write,workspacebundle*,,
77,UpdateWorkspaceBundle,Grants permission to update the WorkSpace images used in WorkSpace bundles,Write,workspaceimage*,,
78,UpdateWorkspaceImagePermission,Grants permission to share or unshare WorkSpace images with other accounts by specifying whether other accounts have permission to copy the image,Permissions management,workspaceimage*,,
