,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddListenerCertificates,Grants permission to add the specified certificates to the specified secure listener,Write,listener/app*,,
1,AddListenerCertificates,Grants permission to add the specified certificates to the specified secure listener,Write,listener/net*,,
2,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener-rule/app,,
3,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener-rule/net,,
4,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener/app,,
5,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener/net,,
6,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,loadbalancer/app/,,
7,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,loadbalancer/net/,,
8,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,targetgroup,,
9,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateListener,Grants permission to create a listener for the specified Application Load Balancer,Write,loadbalancer/app/,,
11,CreateListener,Grants permission to create a listener for the specified Application Load Balancer,Write,loadbalancer/net/,,
12,CreateListener,Grants permission to create a listener for the specified Application Load Balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateLoadBalancer,Grants permission to create a load balancer,Write,loadbalancer/app/,,
14,CreateLoadBalancer,Grants permission to create a load balancer,Write,loadbalancer/net/,,
15,CreateLoadBalancer,Grants permission to create a load balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateRule,Grants permission to create a rule for the specified listener,Write,listener/app*,,
17,CreateRule,Grants permission to create a rule for the specified listener,Write,listener/net*,,
18,CreateRule,Grants permission to create a rule for the specified listener,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateTargetGroup,Grants permission to create a target group,Write,targetgroup*,,
20,CreateTargetGroup,Grants permission to create a target group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,DeleteListener,Grants permission to delete the specified listener,Write,listener/app*,,
22,DeleteListener,Grants permission to delete the specified listener,Write,listener/net*,,
23,DeleteLoadBalancer,Grants permission to delete the specified load balancer,Write,loadbalancer/app/,,
24,DeleteLoadBalancer,Grants permission to delete the specified load balancer,Write,loadbalancer/net/,,
25,DeleteRule,Grants permission to delete the specified rule,Write,listener-rule/app*,,
26,DeleteRule,Grants permission to delete the specified rule,Write,listener-rule/net*,,
27,DeleteTargetGroup,Grants permission to delete the specified target group,Write,targetgroup*,,
28,DeregisterTargets,Grants permission to deregister the specified targets from the specified target group,Write,targetgroup*,,
29,DescribeAccountLimits,Grants permission to describe the Elastic Load Balancing resource limits for the AWS account,Read,,,
30,DescribeListenerCertificates,Grants permission to describe the certificates for the specified secure listener,Read,,,
31,DescribeListeners,Grants permission to describe the specified listeners or the listeners for the specified Application Load Balancer,Read,,,
32,DescribeLoadBalancerAttributes,Grants permission to describe the attributes for the specified load balancer,Read,,,
33,DescribeLoadBalancers,"Grants permission to describe the specified the load balancers. If no load balancers are specified, the call describes all of your load balancers",Read,,,
34,DescribeRules,Grants permission to describe the specified rules or the rules for the specified listener,Read,,,
35,DescribeSSLPolicies,Grants permission to describe the specified policies or all policies used for SSL negotiation,Read,,,
36,DescribeTags,Grants permission to describe the tags associated with the specified resource,Read,,,
37,DescribeTargetGroupAttributes,Grants permission to describe the attributes for the specified target group,Read,,,
38,DescribeTargetGroups,Grants permission to describe the specified target groups or all of your target groups,Read,,,
39,DescribeTargetHealth,Grants permission to describe the health of the specified targets or all of your targets,Read,,,
40,ModifyListener,Grants permission to modify the specified properties of the specified listener,Write,listener/app*,,
41,ModifyListener,Grants permission to modify the specified properties of the specified listener,Write,listener/net*,,
42,ModifyLoadBalancerAttributes,Grants permission to modify the attributes of the specified load balancer,Write,loadbalancer/app/,,
43,ModifyLoadBalancerAttributes,Grants permission to modify the attributes of the specified load balancer,Write,loadbalancer/net/,,
44,ModifyRule,Grants permission to modify the specified rule,Write,listener-rule/app*,,
45,ModifyRule,Grants permission to modify the specified rule,Write,listener-rule/net*,,
46,ModifyTargetGroup,Grants permission to modify the health checks used when evaluating the health state of the targets in the specified target group,Write,targetgroup*,,
47,ModifyTargetGroupAttributes,Grants permission to modify the specified attributes of the specified target group,Write,targetgroup*,,
48,RegisterTargets,Grants permission to register the specified targets with the specified target group,Write,targetgroup*,,
49,RemoveListenerCertificates,Grants permission to remove the specified certificates of the specified secure listener,Write,listener/app*,,
50,RemoveListenerCertificates,Grants permission to remove the specified certificates of the specified secure listener,Write,listener/net*,,
51,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,listener-rule/app,,
52,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,listener-rule/net,,
53,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,listener/app,,
54,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,listener/net,,
55,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,loadbalancer/app/,,
56,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,loadbalancer/net/,,
57,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,targetgroup,,
58,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
59,SetIpAddressType,Grants permission to set the type of IP addresses used by the subnets of the specified load balancer,Write,loadbalancer/app/,,
60,SetIpAddressType,Grants permission to set the type of IP addresses used by the subnets of the specified load balancer,Write,loadbalancer/net/,,
61,SetRulePriorities,Grants permission to set the priorities of the specified rules,Write,listener-rule/app*,,
62,SetRulePriorities,Grants permission to set the priorities of the specified rules,Write,listener-rule/net*,,
63,SetSecurityGroups,Grants permission to associate the specified security groups with the specified load balancer,Write,loadbalancer/app/,,
64,SetSecurityGroups,Grants permission to associate the specified security groups with the specified load balancer,Write,loadbalancer/net/,,
65,SetSubnets,Grants permission to enable the Availability Zone for the specified subnets for the specified load balancer,Write,loadbalancer/app/,,
66,SetSubnets,Grants permission to enable the Availability Zone for the specified subnets for the specified load balancer,Write,loadbalancer/net/,,
67,SetWebAcl [permission only],Grants permission to give WebAcl permission to WAF,Write,,,
