,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,loadbalancer*,,
1,AddTags,Grants permission to add the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,ApplySecurityGroupsToLoadBalancer,Grants permission to associate one or more security groups with your load balancer in a virtual private cloud (VPC),Write,loadbalancer*,,
3,AttachLoadBalancerToSubnets,Grants permission to add one or more subnets to the set of configured subnets for the specified load balancer,Write,loadbalancer*,,
4,ConfigureHealthCheck,Grants permission to specify the health check settings to use when evaluating the health state of your back-end instances,Write,loadbalancer*,,
5,CreateAppCookieStickinessPolicy,Grants permission to generate a stickiness policy with sticky session lifetimes that follow that of an application-generated cookie,Write,loadbalancer*,,
6,CreateLBCookieStickinessPolicy,Grants permission to generate a stickiness policy with sticky session lifetimes controlled by the lifetime of the browser (user-agent) or a specified expiration period,Write,loadbalancer*,,
7,CreateLoadBalancer,Grants permission to create a load balancer,Write,loadbalancer,,
8,CreateLoadBalancer,Grants permission to create a load balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateLoadBalancerListeners,Grants permission to create one or more listeners for the specified load balancer,Write,loadbalancer*,,
10,CreateLoadBalancerPolicy,Grants permission to create a policy with the specified attributes for the specified load balancer,Write,loadbalancer*,,
11,DeleteLoadBalancer,Grants permission to delete the specified load balancer,Write,loadbalancer*,,
12,DeleteLoadBalancerListeners,Grants permission to delete the specified listeners from the specified load balancer,Write,loadbalancer*,,
13,DeleteLoadBalancerPolicy,Grants permission to delete the specified policy from the specified load balancer. This policy must not be enabled for any listeners,Write,loadbalancer*,,
14,DeregisterInstancesFromLoadBalancer,Grants permission to deregister the specified instances from the specified load balancer,Write,loadbalancer*,,
15,DescribeInstanceHealth,Grants permission to describe the state of the specified instances with respect to the specified load balancer,Read,,,
16,DescribeLoadBalancerAttributes,Grants permission to describe the attributes for the specified load balancer,Read,,,
17,DescribeLoadBalancerPolicies,Grants permission to describe the specified policies,Read,,,
18,DescribeLoadBalancerPolicyTypes,Grants permission to describe the specified load balancer policy types,Read,,,
19,DescribeLoadBalancers,"Grants permission to describe the specified the load balancers. If no load balancers are specified, the call describes all of your load balancers",List,,,
20,DescribeTags,Grants permission to describe the tags associated with the specified load balancers,Read,,,
21,DetachLoadBalancerFromSubnets,Grants permission to remove the specified subnets from the set of configured subnets for the load balancer,Write,loadbalancer*,,
22,DisableAvailabilityZonesForLoadBalancer,Grants permission to remove the specified Availability Zones from the set of Availability Zones for the specified load balancer,Write,loadbalancer*,,
23,EnableAvailabilityZonesForLoadBalancer,Grants permission to add the specified Availability Zones to the set of Availability Zones for the specified load balancer,Write,loadbalancer*,,
24,ModifyLoadBalancerAttributes,Grants permission to modify the attributes of the specified load balancer,Write,loadbalancer*,,
25,RegisterInstancesWithLoadBalancer,Grants permission to add the specified instances to the specified load balancer,Write,loadbalancer*,,
26,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,loadbalancer*,,
27,RemoveTags,Grants permission to remove one or more tags from the specified load balancer,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
28,SetLoadBalancerListenerSSLCertificate,Grants permission to set the certificate that terminates the specified listener's SSL connections,Write,loadbalancer*,,
29,SetLoadBalancerPoliciesForBackendServer,Grants permission to replace the set of policies associated with the specified port on which the back-end server is listening with a new set of policies,Write,loadbalancer*,,
30,SetLoadBalancerPoliciesOfListener,Grants permission to replace the current set of policies for the specified load balancer port with the specified set of policies,Write,loadbalancer*,,
