,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCampaign,Grants permission to create a campaign,Write,campaign*,,
1,CreateCampaign,Grants permission to create a campaign,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,DeleteCampaign,Grants permission to delete a campaign,Write,campaign*,,
3,DeleteConnectInstanceConfig,Grants permission to remove configuration information for an Amazon Connect instance,Write,,,
4,DeleteInstanceOnboardingJob,Grants permission to remove onboarding job for an Amazon Connect instance,Write,,,
5,DescribeCampaign,Grants permission to describe a specific campaign,Read,campaign*,,
6,DescribeCampaign,Grants permission to describe a specific campaign,Read,,aws:RequestTag/${TagKey},
7,GetCampaignState,Grants permission to get state of a campaign,Read,campaign*,,
8,GetCampaignState,Grants permission to get state of a campaign,Read,,aws:RequestTag/${TagKey},
9,GetCampaignStateBatch,Grants permission to get state of campaigns,Read,campaign*,,
10,GetCampaignStateBatch,Grants permission to get state of campaigns,Read,,aws:RequestTag/${TagKey},
11,GetConnectInstanceConfig,Grants permission to get configuration information for an Amazon Connect instance,Read,,,
12,GetInstanceOnboardingJobStatus,Grants permission to get onboarding job status for an Amazon Connect instance,Read,,,
13,ListCampaigns,Grants permission to provide summary of all campaigns,List,,aws:RequestTag/${TagKey},
14,ListTagsForResource,Grants permission to list tags for a resource,Read,campaign,,
15,ListTagsForResource,Grants permission to list tags for a resource,Read,,aws:ResourceTag/${TagKey},
16,PauseCampaign,Grants permission to pause a campaign,Write,campaign*,,
17,PutDialRequestBatch,Grants permission to create dial requests for the specified campaign,Write,campaign*,,
18,ResumeCampaign,Grants permission to resume a campaign,Write,campaign*,,
19,StartCampaign,Grants permission to start a campaign,Write,campaign*,,
20,StartInstanceOnboardingJob,Grants permission to start onboarding job for an Amazon Connect instance,Write,,,
21,StopCampaign,Grants permission to stop a campaign,Write,campaign*,,
22,TagResource,Grants permission to tag a resource,Tagging,campaign,,
23,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
24,UntagResource,Grants permission to untag a resource,Tagging,campaign,,
25,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
26,UpdateCampaignDialerConfig,Grants permission to update the dialer configuration of a campaign,Write,campaign*,,
27,UpdateCampaignName,Grants permission to update the name of a campaign,Write,campaign*,,
28,UpdateCampaignOutboundCallConfig,Grants permission to update the outbound call configuration of a campaign,Write,campaign*,,
