,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptAttachment,Grants permission to accept creation of an attachment between a source and destination in a core network,Write,attachment*,,
1,AssociateConnectPeer,Grants permission to associate a Connect Peer,Write,device*,,
2,AssociateConnectPeer,Grants permission to associate a Connect Peer,Write,global-network*,,
3,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,device*,,
4,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,global-network*,,
5,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,link,,
6,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,,networkmanager:cgwArn,
7,AssociateLink,Grants permission to associate a link to a device,Write,device*,,
8,AssociateLink,Grants permission to associate a link to a device,Write,global-network*,,
9,AssociateLink,Grants permission to associate a link to a device,Write,link*,,
10,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,device*,,
11,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,global-network*,,
12,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,link,,
13,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,,networkmanager:tgwConnectPeerArn,
14,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,attachment*,,
15,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,core-network*,,
16,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateConnectPeer,Grants permission to create a Connect Peer connection,Write,attachment*,,
18,CreateConnectPeer,Grants permission to create a Connect Peer connection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateConnection,Grants permission to create a new connection,Write,global-network*,,
20,CreateConnection,Grants permission to create a new connection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateCoreNetwork,Grants permission to create a new core network,Write,global-network*,,
22,CreateCoreNetwork,Grants permission to create a new core network,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateDevice,Grants permission to create a new device,Write,global-network*,,
24,CreateDevice,Grants permission to create a new device,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateGlobalNetwork,Grants permission to create a new global network,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,iam:CreateServiceLinkedRole
26,CreateLink,Grants permission to create a new link,Write,global-network*,,
27,CreateLink,Grants permission to create a new link,Write,site,,
28,CreateLink,Grants permission to create a new link,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,CreateSite,Grants permission to create a new site,Write,global-network*,,
30,CreateSite,Grants permission to create a new site,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CreateSiteToSiteVpnAttachment,Grants permission to create a site-to-site VPN attachment,Write,core-network*,,
32,CreateSiteToSiteVpnAttachment,Grants permission to create a site-to-site VPN attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:vpnConnectionArn,
33,CreateVpcAttachment,Grants permission to create a VPC attachment,Write,core-network*,,
34,CreateVpcAttachment,Grants permission to create a VPC attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:vpcArn  networkmanager:subnetArns,
35,DeleteAttachment,Grants permission to delete an attachment,Write,attachment*,,
36,DeleteConnectPeer,Grants permission to delete a Connect Peer,Write,connect-peer*,,
37,DeleteConnection,Grants permission to delete a connection,Write,connection*,,
38,DeleteConnection,Grants permission to delete a connection,Write,global-network*,,
39,DeleteCoreNetwork,Grants permission to delete a core network,Write,core-network*,,
40,DeleteCoreNetworkPolicyVersion,Grants permission to delete the core network policy version,Write,core-network*,,
41,DeleteDevice,Grants permission to delete a device,Write,device*,,
42,DeleteDevice,Grants permission to delete a device,Write,global-network*,,
43,DeleteGlobalNetwork,Grants permission to delete a global network,Write,global-network*,,
44,DeleteLink,Grants permission to delete a link,Write,global-network*,,
45,DeleteLink,Grants permission to delete a link,Write,link*,,
46,DeleteResourcePolicy,Grants permission to delete a resource,Write,core-network*,,
47,DeleteSite,Grants permission to delete a site,Write,global-network*,,
48,DeleteSite,Grants permission to delete a site,Write,site*,,
49,DeregisterTransitGateway,Grants permission to deregister a transit gateway from a global network,Write,global-network*,,
50,DeregisterTransitGateway,Grants permission to deregister a transit gateway from a global network,Write,,networkmanager:tgwArn,
51,DescribeGlobalNetworks,Grants permission to describe global networks,List,global-network,,
52,DisassociateConnectPeer,Grants permission to disassociate a Connect Peer,Write,global-network*,,
53,DisassociateCustomerGateway,Grants permission to disassociate a customer gateway from a device,Write,global-network*,,
54,DisassociateCustomerGateway,Grants permission to disassociate a customer gateway from a device,Write,,networkmanager:cgwArn,
55,DisassociateLink,Grants permission to disassociate a link from a device,Write,device*,,
56,DisassociateLink,Grants permission to disassociate a link from a device,Write,global-network*,,
57,DisassociateLink,Grants permission to disassociate a link from a device,Write,link*,,
58,DisassociateTransitGatewayConnectPeer,Grants permission to disassociate a transit gateway connect peer from a device,Write,global-network*,,
59,DisassociateTransitGatewayConnectPeer,Grants permission to disassociate a transit gateway connect peer from a device,Write,,networkmanager:tgwConnectPeerArn,
60,ExecuteCoreNetworkChangeSet,Grants permission to apply changes to the core network,Write,core-network*,,
61,GetConnectAttachment,Grants permission to retrieve a Connect attachment,Read,attachment*,,
62,GetConnectPeer,Grants permission to retrieve a Connect Peer,Read,connect-peer*,,
63,GetConnectPeerAssociations,Grants permission to describe Connect Peer associations,Read,global-network*,,
64,GetConnections,Grants permission to describe connections,List,global-network*,,
65,GetConnections,Grants permission to describe connections,List,connection,,
66,GetCoreNetwork,Grants permission to retrieve a core network,Read,core-network*,,
67,GetCoreNetworkChangeSet,Grants permission to retrieve a list of core network change sets,Read,core-network*,,
68,GetCoreNetworkPolicy,Grants permission to retrieve core network policy,Read,core-network*,,
69,GetCustomerGatewayAssociations,Grants permission to describe customer gateway associations,List,global-network*,,
