,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateServiceQuotaTemplate,Grants permission to associate the Service Quotas template with your organization,Write,,,
1,DeleteServiceQuotaIncreaseRequestFromTemplate,Grants permission to remove the specified service quota from the service quota template,Write,,,
2,DisassociateServiceQuotaTemplate,Grants permission to disassociate the Service Quotas template from your organization,Write,,,
3,GetAWSDefaultServiceQuota,"Grants permission to return the details for the specified service quota, including the AWS default value",Read,,,
4,GetAssociationForServiceQuotaTemplate,"Grants permission to retrieve the ServiceQuotaTemplateAssociationStatus value, which tells you if the Service Quotas template is associated with an organization",Read,,,
5,GetRequestedServiceQuotaChange,Grants permission to retrieve the details for a particular service quota increase request,Read,,,
6,GetServiceQuota,"Grants permission to return the details for the specified service quota, including the applied value",Read,,,
7,GetServiceQuotaIncreaseRequestFromTemplate,Grants permission to retrieve the details for a service quota increase request from the service quota template,Read,,,
8,ListAWSDefaultServiceQuotas,Grants permission to list all default service quotas for the specified AWS service,Read,,,
9,ListRequestedServiceQuotaChangeHistory,Grants permission to request a list of the changes to quotas for a service,Read,,,
10,ListRequestedServiceQuotaChangeHistoryByQuota,Grants permission to request a list of the changes to specific service quotas,Read,,,
11,ListServiceQuotaIncreaseRequestsInTemplate,Grants permission to return a list of the service quota increase requests from the service quota template,Read,,,
12,ListServiceQuotas,"Grants permission to list all service quotas for the specified AWS service, in that account, in that Region",Read,,,
13,ListServices,Grants permission to list the AWS services available in Service Quotas,Read,,,
14,ListTagsForResource,Grants permission to view the existing tags on a SQ resource,Read,,,
15,PutServiceQuotaIncreaseRequestIntoTemplate,Grants permission to define and add a quota to the service quota template,Write,quota,,
16,PutServiceQuotaIncreaseRequestIntoTemplate,Grants permission to define and add a quota to the service quota template,Write,,servicequotas:service,
17,RequestServiceQuotaIncrease,Grants permission to submit the request for a service quota increase,Write,quota,,
18,RequestServiceQuotaIncrease,Grants permission to submit the request for a service quota increase,Write,,servicequotas:service,
19,TagResource,Grants permission to associate a set of tags with an existing SQ resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,UntagResource,"Grants permission to remove a set of tags from a SQ resource, where tags to be removed match a set of customer-supplied tag keys",Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
