,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateGatewayRoute,Grants permission to create a gateway route that is associated with a virtual gateway,Write,gatewayRoute*,,
1,CreateGatewayRoute,Grants permission to create a gateway route that is associated with a virtual gateway,Write,virtualService,,
2,CreateMesh,Grants permission to create a service mesh,Write,mesh*,,
3,CreateRoute,Grants permission to create a route that is associated with a virtual router,Write,route*,,
4,CreateRoute,Grants permission to create a route that is associated with a virtual router,Write,virtualNode,,
5,CreateVirtualGateway,Grants permission to create a virtual gateway within a service mesh,Write,virtualGateway*,,
6,CreateVirtualNode,Grants permission to create a virtual node within a service mesh,Write,virtualNode*,,
7,CreateVirtualNode,Grants permission to create a virtual node within a service mesh,Write,virtualService,,
8,CreateVirtualRouter,Grants permission to create a virtual router within a service mesh,Write,virtualRouter*,,
9,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualService*,,
10,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualNode,,
11,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualRouter,,
12,DeleteGatewayRoute,Grants permission to delete an existing gateway route,Write,gatewayRoute*,,
13,DeleteMesh,Grants permission to delete an existing service mesh,Write,mesh*,,
14,DeleteRoute,Grants permission to delete an existing route,Write,route*,,
15,DeleteVirtualGateway,Grants permission to delete an existing virtual gateway,Write,virtualGateway*,,
16,DeleteVirtualNode,Grants permission to delete an existing virtual node,Write,virtualNode*,,
17,DeleteVirtualRouter,Grants permission to delete an existing virtual router,Write,virtualRouter*,,
18,DeleteVirtualService,Grants permission to delete an existing virtual service,Write,virtualService*,,
19,DescribeGatewayRoute,Grants permission to describe an existing gateway route,Read,gatewayRoute*,,
20,DescribeMesh,Grants permission to describe an existing service mesh,Read,mesh*,,
21,DescribeRoute,Grants permission to describe an existing route,Read,route*,,
22,DescribeVirtualGateway,Grants permission to describe an existing virtual gateway,Read,virtualGateway*,,
23,DescribeVirtualNode,Grants permission to describe an existing virtual node,Read,virtualNode*,,
24,DescribeVirtualRouter,Grants permission to describe an existing virtual router,Read,virtualRouter*,,
25,DescribeVirtualService,Grants permission to describe an existing virtual service,Read,virtualService*,,
26,ListGatewayRoutes,Grants permission to list existing gateway routes in a service mesh,List,virtualGateway*,,
27,ListMeshes,Grants permission to list existing service meshes,List,,,
28,ListRoutes,Grants permission to list existing routes in a service mesh,List,virtualRouter*,,
29,ListVirtualGateways,Grants permission to list existing virtual gateways in a service mesh,List,mesh*,,
30,ListVirtualNodes,Grants permission to list existing virtual nodes,List,mesh*,,
31,ListVirtualRouters,Grants permission to list existing virtual routers in a service mesh,List,mesh*,,
32,ListVirtualServices,Grants permission to list existing virtual services in a service mesh,List,mesh*,,
33,StreamAggregatedResources,Grants permission to receive streamed resources for an App Mesh endpoint (VirtualNode/VirtualGateway),Read,virtualGateway,,
34,StreamAggregatedResources,Grants permission to receive streamed resources for an App Mesh endpoint (VirtualNode/VirtualGateway),Read,virtualNode,,
35,UpdateGatewayRoute,Grants permission to update an existing gateway route for a specified service mesh and virtual gateway,Write,gatewayRoute*,,
36,UpdateGatewayRoute,Grants permission to update an existing gateway route for a specified service mesh and virtual gateway,Write,virtualService,,
37,UpdateMesh,Grants permission to update an existing service mesh,Write,mesh*,,
38,UpdateRoute,Grants permission to update an existing route for a specified service mesh and virtual router,Write,route*,,
39,UpdateRoute,Grants permission to update an existing route for a specified service mesh and virtual router,Write,virtualNode,,
40,UpdateVirtualGateway,Grants permission to update an existing virtual gateway in a specified service mesh,Write,virtualGateway*,,
41,UpdateVirtualNode,Grants permission to update an existing virtual node in a specified service mesh,Write,virtualNode*,,
42,UpdateVirtualRouter,Grants permission to update an existing virtual router in a specified service mesh,Write,virtualRouter*,,
43,UpdateVirtualService,Grants permission to update an existing virtual service in a specified service mesh,Write,virtualService*,,
44,UpdateVirtualService,Grants permission to update an existing virtual service in a specified service mesh,Write,virtualNode,,
45,UpdateVirtualService,Grants permission to update an existing virtual service in a specified service mesh,Write,virtualRouter,,
