,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateCustomDomain,Grants permission to associate your own domain name with the AWS App Runner subdomain URL of your App Runner service,Write,service*,,
1,CreateAutoScalingConfiguration,Grants permission to create an AWS App Runner automatic scaling configuration resource,Write,autoscalingconfiguration*,,
2,CreateAutoScalingConfiguration,Grants permission to create an AWS App Runner automatic scaling configuration resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateConnection,Grants permission to create an AWS App Runner connection resource,Write,connection*,,
4,CreateConnection,Grants permission to create an AWS App Runner connection resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateObservabilityConfiguration,Grants permission to create an AWS App Runner observability configuration resource,Write,observabilityconfiguration*,,
6,CreateObservabilityConfiguration,Grants permission to create an AWS App Runner observability configuration resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateService,Grants permission to create an AWS App Runner service resource,Write,service*,,
8,CreateService,Grants permission to create an AWS App Runner service resource,Write,autoscalingconfiguration,,
9,CreateService,Grants permission to create an AWS App Runner service resource,Write,connection,,
10,CreateService,Grants permission to create an AWS App Runner service resource,Write,observabilityconfiguration,,
11,CreateService,Grants permission to create an AWS App Runner service resource,Write,vpcconnector,,
12,CreateService,Grants permission to create an AWS App Runner service resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  apprunner:ConnectionArn  apprunner:AutoScalingConfigurationArn  apprunner:ObservabilityConfigurationArn  apprunner:VpcConnectorArn,
13,CreateVpcConnector,Grants permission to create an AWS App Runner VPC connector resource,Write,vpcconnector*,,
14,CreateVpcConnector,Grants permission to create an AWS App Runner VPC connector resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,DeleteAutoScalingConfiguration,Grants permission to delete an AWS App Runner automatic scaling configuration resource,Write,autoscalingconfiguration*,,
16,DeleteConnection,Grants permission to delete an AWS App Runner connection resource,Write,connection*,,
17,DeleteObservabilityConfiguration,Grants permission to delete an AWS App Runner observability configuration resource,Write,observabilityconfiguration*,,
18,DeleteService,Grants permission to delete an AWS App Runner service resource,Write,service*,,
19,DeleteVpcConnector,Grants permission to delete an AWS App Runner VPC connector resource,Write,vpcconnector*,,
20,DescribeAutoScalingConfiguration,Grants permission to retrieve the description of an AWS App Runner automatic scaling configuration resource,Read,autoscalingconfiguration*,,
21,DescribeCustomDomains,Grants permission to retrieve descriptions of custom domain names associated with an AWS App Runner service,Read,service*,,
22,DescribeObservabilityConfiguration,Grants permission to retrieve the description of an AWS App Runner observability configuration resource,Read,observabilityconfiguration*,,
23,DescribeOperation,Grants permission to retrieve the description of an operation that occurred on an AWS App Runner service,Read,service*,,
24,DescribeService,Grants permission to retrieve the description of an AWS App Runner service resource,Read,service*,,
25,DescribeVpcConnector,Grants permission to retrieve the description of an AWS App Runner VPC connector resource,Read,vpcconnector*,,
26,DisassociateCustomDomain,Grants permission to disassociate a custom domain name from an AWS App Runner service,Write,service*,,
27,ListAutoScalingConfigurations,Grants permission to retrieve a list of AWS App Runner automatic scaling configurations in your AWS account,List,,,
28,ListConnections,Grants permission to retrieve a list of AWS App Runner connections in your AWS account,List,,,
29,ListObservabilityConfigurations,Grants permission to retrieve a list of AWS App Runner observability configurations in your AWS account,List,,,
30,ListOperations,Grants permission to retrieve a list of operations that occurred on an AWS App Runner service resource,List,service*,,
31,ListServices,Grants permission to retrieve a list of running AWS App Runner services in your AWS account,List,,,
32,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,autoscalingconfiguration,,
33,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,connection,,
34,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,observabilityconfiguration,,
35,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,service,,
36,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,vpcconnector,,
37,ListVpcConnectors,Grants permission to retrieve a list of AWS App Runner VPC connectors in your AWS account,List,,,
38,PauseService,Grants permission to pause an active AWS App Runner service,Write,service*,,
39,ResumeService,Grants permission to resume an active AWS App Runner service,Write,service*,,
40,StartDeployment,Grants permission to initiate a manual deployemnt to an AWS App Runner service,Write,service*,,
41,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,autoscalingconfiguration,,
42,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,connection,,
43,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,observabilityconfiguration,,
44,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,service,,
45,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,vpcconnector,,
46,TagResource,"Grants permission to add tags to, or update tag values of, an AWS App Runner resource",Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
47,UntagResource,Grants permission to remove tags from an AWS App Runner resource,Tagging,autoscalingconfiguration,,
